Time [yyyy/MM/dd HH:mm:ss],Grindavik: water level (waterlevel) at Grindavik_ FlowFM [m]
2019/01/01 00:00:00,0
2019/01/01 00:05:00,3.5762E-32
2019/01/01 00:10:00,4.2204E-17
2019/01/01 00:15:00,1.5325E-09
2019/01/01 00:20:00,1.8521E-06
2019/01/01 00:25:00,3.342E-05
2019/01/01 00:30:00,0.00029862
2019/01/01 00:35:00,0.00173
2019/01/01 00:40:00,0.0072416
2019/01/01 00:45:00,0.023217
2019/01/01 00:50:00,0.05917
2019/01/01 00:55:00,0.12324
2019/01/01 01:00:00,0.21516
2019/01/01 01:05:00,0.32394
2019/01/01 01:10:00,0.43551
2019/01/01 01:15:00,0.54382
2019/01/01 01:20:00,0.65215
2019/01/01 01:25:00,0.76363
2019/01/01 01:30:00,0.87428
2019/01/01 01:35:00,0.97662
2019/01/01 01:40:00,1.0643
2019/01/01 01:45:00,1.1302
2019/01/01 01:50:00,1.1653
2019/01/01 01:55:00,1.1661
2019/01/01 02:00:00,1.1384
2019/01/01 02:05:00,1.0918
2019/01/01 02:10:00,1.0312
2019/01/01 02:15:00,0.95901
2019/01/01 02:20:00,0.87597
2019/01/01 02:25:00,0.78533
2019/01/01 02:30:00,0.6971
2019/01/01 02:35:00,0.62287
2019/01/01 02:40:00,0.56695
2019/01/01 02:45:00,0.52264
2019/01/01 02:50:00,0.47993
2019/01/01 02:55:00,0.43676
2019/01/01 03:00:00,0.40163
2019/01/01 03:05:00,0.3862
2019/01/01 03:10:00,0.39649
2019/01/01 03:15:00,0.42987
2019/01/01 03:20:00,0.47785
2019/01/01 03:25:00,0.52958
2019/01/01 03:30:00,0.57514
2019/01/01 03:35:00,0.60827
2019/01/01 03:40:00,0.62743
2019/01/01 03:45:00,0.6351
2019/01/01 03:50:00,0.63474
2019/01/01 03:55:00,0.62703
2019/01/01 04:00:00,0.61116
2019/01/01 04:05:00,0.58524
2019/01/01 04:10:00,0.54821
2019/01/01 04:15:00,0.50017
2019/01/01 04:20:00,0.44112
2019/01/01 04:25:00,0.37075
2019/01/01 04:30:00,0.28862
2019/01/01 04:35:00,0.1956
2019/01/01 04:40:00,0.09419
2019/01/01 04:45:00,-0.012453
2019/01/01 04:50:00,-0.12011
2019/01/01 04:55:00,-0.22298
2019/01/01 05:00:00,-0.31442
2019/01/01 05:05:00,-0.38876
2019/01/01 05:10:00,-0.44301
2019/01/01 05:15:00,-0.47716
2019/01/01 05:20:00,-0.4927
2019/01/01 05:25:00,-0.49133
2019/01/01 05:30:00,-0.47529
2019/01/01 05:35:00,-0.44776
2019/01/01 05:40:00,-0.41366
2019/01/01 05:45:00,-0.37829
2019/01/01 05:50:00,-0.34629
2019/01/01 05:55:00,-0.32123
2019/01/01 06:00:00,-0.30535
2019/01/01 06:05:00,-0.29996
2019/01/01 06:10:00,-0.30565
2019/01/01 06:15:00,-0.32274
2019/01/01 06:20:00,-0.35102
2019/01/01 06:25:00,-0.39003
2019/01/01 06:30:00,-0.43867
2019/01/01 06:35:00,-0.49537
2019/01/01 06:40:00,-0.55827
2019/01/01 06:45:00,-0.62508
2019/01/01 06:50:00,-0.69346
2019/01/01 06:55:00,-0.76146
2019/01/01 07:00:00,-0.82763
2019/01/01 07:05:00,-0.89088
2019/01/01 07:10:00,-0.94996
2019/01/01 07:15:00,-1.0031
2019/01/01 07:20:00,-1.0481
2019/01/01 07:25:00,-1.0829
2019/01/01 07:30:00,-1.1061
2019/01/01 07:35:00,-1.117
2019/01/01 07:40:00,-1.116
2019/01/01 07:45:00,-1.1041
2019/01/01 07:50:00,-1.0828
2019/01/01 07:55:00,-1.0536
2019/01/01 08:00:00,-1.019
2019/01/01 08:05:00,-0.98192
2019/01/01 08:10:00,-0.94556
2019/01/01 08:15:00,-0.91352
2019/01/01 08:20:00,-0.88903
2019/01/01 08:25:00,-0.8746
2019/01/01 08:30:00,-0.87142
2019/01/01 08:35:00,-0.87921
2019/01/01 08:40:00,-0.89665
2019/01/01 08:45:00,-0.92146
2019/01/01 08:50:00,-0.951
2019/01/01 08:55:00,-0.98263
2019/01/01 09:00:00,-1.0138
2019/01/01 09:05:00,-1.0419
2019/01/01 09:10:00,-1.0646
2019/01/01 09:15:00,-1.0794
2019/01/01 09:20:00,-1.0849
2019/01/01 09:25:00,-1.0802
2019/01/01 09:30:00,-1.0652
2019/01/01 09:35:00,-1.0404
2019/01/01 09:40:00,-1.007
2019/01/01 09:45:00,-0.96611
2019/01/01 09:50:00,-0.91914
2019/01/01 09:55:00,-0.86736
2019/01/01 10:00:00,-0.81188
2019/01/01 10:05:00,-0.7538
2019/01/01 10:10:00,-0.69426
2019/01/01 10:15:00,-0.63433
2019/01/01 10:20:00,-0.57513
2019/01/01 10:25:00,-0.51791
2019/01/01 10:30:00,-0.464
2019/01/01 10:35:00,-0.41475
