Time [yyyy/MM/dd HH:mm:ss],Hofn: water level (waterlevel) at Hofn_ FlowFM [m]
2019/01/01 00:00:00,0
2019/01/01 00:05:00,3.185E-52
2019/01/01 00:10:00,8.7096E-24
2019/01/01 00:15:00,1.3206E-12
2019/01/01 00:20:00,1.8425E-08
2019/01/01 00:25:00,4.9297E-07
2019/01/01 00:30:00,6.4398E-06
2019/01/01 00:35:00,5.436E-05
2019/01/01 00:40:00,0.0003318
2019/01/01 00:45:00,0.0015549
2019/01/01 00:50:00,0.0058029
2019/01/01 00:55:00,0.017672
2019/01/01 01:00:00,0.044681
2019/01/01 01:05:00,0.095074
2019/01/01 01:10:00,0.17238
2019/01/01 01:15:00,0.27002
2019/01/01 01:20:00,0.37249
2019/01/01 01:25:00,0.46588
2019/01/01 01:30:00,0.54872
2019/01/01 01:35:00,0.63
2019/01/01 01:40:00,0.71457
2019/01/01 01:45:00,0.79337
2019/01/01 01:50:00,0.84931
2019/01/01 01:55:00,0.86843
2019/01/01 02:00:00,0.84196
2019/01/01 02:05:00,0.7646
2019/01/01 02:10:00,0.64147
2019/01/01 02:15:00,0.48618
2019/01/01 02:20:00,0.31326
2019/01/01 02:25:00,0.14283
2019/01/01 02:30:00,-0.011756
2019/01/01 02:35:00,-0.15376
2019/01/01 02:40:00,-0.28617
2019/01/01 02:45:00,-0.39547
2019/01/01 02:50:00,-0.4598
2019/01/01 02:55:00,-0.46749
2019/01/01 03:00:00,-0.4241
2019/01/01 03:05:00,-0.34556
2019/01/01 03:10:00,-0.24987
2019/01/01 03:15:00,-0.15289
2019/01/01 03:20:00,-0.066728
2019/01/01 03:25:00,0.0042681
2019/01/01 03:30:00,0.078795
2019/01/01 03:35:00,0.14821
2019/01/01 03:40:00,0.19261
2019/01/01 03:45:00,0.20697
2019/01/01 03:50:00,0.189
2019/01/01 03:55:00,0.13613
2019/01/01 04:00:00,0.056695
2019/01/01 04:05:00,-0.03419
2019/01/01 04:10:00,-0.12055
2019/01/01 04:15:00,-0.20402
2019/01/01 04:20:00,-0.27862
2019/01/01 04:25:00,-0.3233
2019/01/01 04:30:00,-0.3326
2019/01/01 04:35:00,-0.32211
2019/01/01 04:40:00,-0.30707
2019/01/01 04:45:00,-0.29391
2019/01/01 04:50:00,-0.28572
2019/01/01 04:55:00,-0.28429
2019/01/01 05:00:00,-0.28958
2019/01/01 05:05:00,-0.30222
2019/01/01 05:10:00,-0.32469
2019/01/01 05:15:00,-0.35935
2019/01/01 05:20:00,-0.40775
2019/01/01 05:25:00,-0.47104
2019/01/01 05:30:00,-0.54849
2019/01/01 05:35:00,-0.63509
2019/01/01 05:40:00,-0.72061
2019/01/01 05:45:00,-0.79215
2019/01/01 05:50:00,-0.83963
2019/01/01 05:55:00,-0.85926
2019/01/01 06:00:00,-0.85267
2019/01/01 06:05:00,-0.8245
2019/01/01 06:10:00,-0.78083
2019/01/01 06:15:00,-0.72797
2019/01/01 06:20:00,-0.67117
2019/01/01 06:25:00,-0.61446
2019/01/01 06:30:00,-0.56151
2019/01/01 06:35:00,-0.51661
2019/01/01 06:40:00,-0.4804
2019/01/01 06:45:00,-0.4516
2019/01/01 06:50:00,-0.43295
2019/01/01 06:55:00,-0.42648
2019/01/01 07:00:00,-0.42921
2019/01/01 07:05:00,-0.43729
2019/01/01 07:10:00,-0.44876
2019/01/01 07:15:00,-0.46225
2019/01/01 07:20:00,-0.47674
2019/01/01 07:25:00,-0.49161
2019/01/01 07:30:00,-0.50584
2019/01/01 07:35:00,-0.51843
2019/01/01 07:40:00,-0.53002
2019/01/01 07:45:00,-0.54362
2019/01/01 07:50:00,-0.56002
2019/01/01 07:55:00,-0.57817
2019/01/01 08:00:00,-0.59849
2019/01/01 08:05:00,-0.62095
2019/01/01 08:10:00,-0.6429
2019/01/01 08:15:00,-0.66124
2019/01/01 08:20:00,-0.67361
2019/01/01 08:25:00,-0.67762
2019/01/01 08:30:00,-0.67113
