Time [yyyy/MM/dd HH:mm:ss],Husavik: water level (waterlevel) at Husavik_ FlowFM [m]
2019/01/01 00:00:00,0
2019/01/01 00:05:00,-5.9078E-35
2019/01/01 00:10:00,-1.1335E-16
2019/01/01 00:15:00,-2.146E-09
2019/01/01 00:20:00,-1.6474E-06
2019/01/01 00:25:00,-2.7153E-05
2019/01/01 00:30:00,-0.00022387
2019/01/01 00:35:00,-0.0012067
2019/01/01 00:40:00,-0.0047439
2019/01/01 00:45:00,-0.014453
2019/01/01 00:50:00,-0.035531
2019/01/01 00:55:00,-0.07273
2019/01/01 01:00:00,-0.12745
2019/01/01 01:05:00,-0.1964
2019/01/01 01:10:00,-0.27319
2019/01/01 01:15:00,-0.35118
2019/01/01 01:20:00,-0.42497
2019/01/01 01:25:00,-0.49057
2019/01/01 01:30:00,-0.54535
2019/01/01 01:35:00,-0.5877
2019/01/01 01:40:00,-0.61561
2019/01/01 01:45:00,-0.62591
2019/01/01 01:50:00,-0.6158
2019/01/01 01:55:00,-0.58515
2019/01/01 02:00:00,-0.53668
2019/01/01 02:05:00,-0.47465
2019/01/01 02:10:00,-0.40416
2019/01/01 02:15:00,-0.33046
2019/01/01 02:20:00,-0.2577
2019/01/01 02:25:00,-0.18844
2019/01/01 02:30:00,-0.12463
2019/01/01 02:35:00,-0.06848
2019/01/01 02:40:00,-0.021819
2019/01/01 02:45:00,0.01508
2019/01/01 02:50:00,0.043477
2019/01/01 02:55:00,0.064848
2019/01/01 03:00:00,0.079928
2019/01/01 03:05:00,0.088882
2019/01/01 03:10:00,0.092017
2019/01/01 03:15:00,0.090163
2019/01/01 03:20:00,0.084465
2019/01/01 03:25:00,0.075999
2019/01/01 03:30:00,0.065634
2019/01/01 03:35:00,0.054078
2019/01/01 03:40:00,0.042149
2019/01/01 03:45:00,0.031194
2019/01/01 03:50:00,0.02315
2019/01/01 03:55:00,0.019972
2019/01/01 04:00:00,0.022884
2019/01/01 04:05:00,0.032105
2019/01/01 04:10:00,0.047153
2019/01/01 04:15:00,0.067293
2019/01/01 04:20:00,0.09165
