Time [yyyy/MM/dd HH:mm:ss],Landeyjahofn: water level (waterlevel) at Landeyjahofn_ FlowFM [m]
2019/01/01 00:00:00,0
2019/01/01 00:05:00,1.6469E-29
2019/01/01 00:10:00,1.9956E-13
2019/01/01 00:15:00,4.4998E-07
2019/01/01 00:20:00,0.00011798
2019/01/01 00:25:00,0.0014334
2019/01/01 00:30:00,0.008693
2019/01/01 00:35:00,0.033909
2019/01/01 00:40:00,0.094394
2019/01/01 00:45:00,0.199
2019/01/01 00:50:00,0.33248
2019/01/01 00:55:00,0.46202
2019/01/01 01:00:00,0.56683
2019/01/01 01:05:00,0.65216
2019/01/01 01:10:00,0.72636
2019/01/01 01:15:00,0.78181
2019/01/01 01:20:00,0.81268
2019/01/01 01:25:00,0.83327
2019/01/01 01:30:00,0.85745
2019/01/01 01:35:00,0.87169
2019/01/01 01:40:00,0.84874
2019/01/01 01:45:00,0.78476
2019/01/01 01:50:00,0.70935
2019/01/01 01:55:00,0.65687
2019/01/01 02:00:00,0.63844
2019/01/01 02:05:00,0.64508
2019/01/01 02:10:00,0.66558
2019/01/01 02:15:00,0.69001
2019/01/01 02:20:00,0.70123
2019/01/01 02:25:00,0.67857
2019/01/01 02:30:00,0.61668
2019/01/01 02:35:00,0.53327
2019/01/01 02:40:00,0.45297
2019/01/01 02:45:00,0.38802
2019/01/01 02:50:00,0.33673
2019/01/01 02:55:00,0.29455
2019/01/01 03:00:00,0.26198
2019/01/01 03:05:00,0.24474
2019/01/01 03:10:00,0.25067
2019/01/01 03:15:00,0.28581
2019/01/01 03:20:00,0.34927
2019/01/01 03:25:00,0.43019
2019/01/01 03:30:00,0.50917
2019/01/01 03:35:00,0.56479
2019/01/01 03:40:00,0.58331
2019/01/01 03:45:00,0.56513
2019/01/01 03:50:00,0.52096
2019/01/01 03:55:00,0.46162
2019/01/01 04:00:00,0.39274
2019/01/01 04:05:00,0.31794
2019/01/01 04:10:00,0.24232
2019/01/01 04:15:00,0.17067
2019/01/01 04:20:00,0.10403
2019/01/01 04:25:00,0.040716
2019/01/01 04:30:00,-0.019288
2019/01/01 04:35:00,-0.072998
2019/01/01 04:40:00,-0.11805
2019/01/01 04:45:00,-0.15625
2019/01/01 04:50:00,-0.19215
2019/01/01 04:55:00,-0.22857
2019/01/01 05:00:00,-0.26462
2019/01/01 05:05:00,-0.2981
2019/01/01 05:10:00,-0.32829
2019/01/01 05:15:00,-0.35529
2019/01/01 05:20:00,-0.37758
2019/01/01 05:25:00,-0.39212
2019/01/01 05:30:00,-0.39664
2019/01/01 05:35:00,-0.39153
2019/01/01 05:40:00,-0.37988
2019/01/01 05:45:00,-0.36608
2019/01/01 05:50:00,-0.35418
2019/01/01 05:55:00,-0.34732
2019/01/01 06:00:00,-0.3481
2019/01/01 06:05:00,-0.35919
2019/01/01 06:10:00,-0.3832
2019/01/01 06:15:00,-0.42146
2019/01/01 06:20:00,-0.47299
2019/01/01 06:25:00,-0.53453
2019/01/01 06:30:00,-0.60185
2019/01/01 06:35:00,-0.67064
2019/01/01 06:40:00,-0.7366
2019/01/01 06:45:00,-0.79569
2019/01/01 06:50:00,-0.84473
2019/01/01 06:55:00,-0.88202
2019/01/01 07:00:00,-0.90746
2019/01/01 07:05:00,-0.92196
2019/01/01 07:10:00,-0.92679
2019/01/01 07:15:00,-0.9235
2019/01/01 07:20:00,-0.91436
2019/01/01 07:25:00,-0.9018
2019/01/01 07:30:00,-0.88743
2019/01/01 07:35:00,-0.87232
2019/01/01 07:40:00,-0.8577
2019/01/01 07:45:00,-0.84509
2019/01/01 07:50:00,-0.83546
2019/01/01 07:55:00,-0.8286
2019/01/01 08:00:00,-0.82333
2019/01/01 08:05:00,-0.81864
2019/01/01 08:10:00,-0.81435
2019/01/01 08:15:00,-0.81078
2019/01/01 08:20:00,-0.8082
2019/01/01 08:25:00,-0.8066
2019/01/01 08:30:00,-0.80584
2019/01/01 08:35:00,-0.80593
2019/01/01 08:40:00,-0.8072
2019/01/01 08:45:00,-0.80992
2019/01/01 08:50:00,-0.81376
2019/01/01 08:55:00,-0.81756
2019/01/01 09:00:00,-0.81991
2019/01/01 09:05:00,-0.81973
2019/01/01 09:10:00,-0.81633
2019/01/01 09:15:00,-0.80907
2019/01/01 09:20:00,-0.79733
2019/01/01 09:25:00,-0.78066
2019/01/01 09:30:00,-0.75868
2019/01/01 09:35:00,-0.7309
2019/01/01 09:40:00,-0.69683
2019/01/01 09:45:00,-0.65659
2019/01/01 09:50:00,-0.61117
2019/01/01 09:55:00,-0.56227
2019/01/01 10:00:00,-0.51177
2019/01/01 10:05:00,-0.46148
2019/01/01 10:10:00,-0.413
2019/01/01 10:15:00,-0.3676
2019/01/01 10:20:00,-0.32605
2019/01/01 10:25:00,-0.2886
2019/01/01 10:30:00,-0.25532
2019/01/01 10:35:00,-0.22628
2019/01/01 10:40:00,-0.20144
2019/01/01 10:45:00,-0.1805
2019/01/01 10:50:00,-0.16282
2019/01/01 10:55:00,-0.14745
2019/01/01 11:00:00,-0.13316
2019/01/01 11:05:00,-0.11858
2019/01/01 11:10:00,-0.1024
2019/01/01 11:15:00,-0.083571
2019/01/01 11:20:00,-0.061289
2019/01/01 11:25:00,-0.035007
2019/01/01 11:30:00,-0.0044101
2019/01/01 11:35:00,0.030541
2019/01/01 11:40:00,0.06956
2019/01/01 11:45:00,0.11209
2019/01/01 11:50:00,0.15743
2019/01/01 11:55:00,0.20477
2019/01/01 12:00:00,0.25325
2019/01/01 12:05:00,0.30204
2019/01/01 12:10:00,0.35035
2019/01/01 12:15:00,0.39733
2019/01/01 12:20:00,0.442
2019/01/01 12:25:00,0.48343
2019/01/01 12:30:00,0.52085
2019/01/01 12:35:00,0.55366
2019/01/01 12:40:00,0.58139
2019/01/01 12:45:00,0.60381
2019/01/01 12:50:00,0.62108
2019/01/01 12:55:00,0.63373
2019/01/01 13:00:00,0.64245
2019/01/01 13:05:00,0.64802
2019/01/01 13:10:00,0.65148
2019/01/01 13:15:00,0.65409
2019/01/01 13:20:00,0.65704
2019/01/01 13:25:00,0.66126
2019/01/01 13:30:00,0.66745
2019/01/01 13:35:00,0.6762
2019/01/01 13:40:00,0.68785
2019/01/01 13:45:00,0.70239
2019/01/01 13:50:00,0.71947
2019/01/01 13:55:00,0.73851
2019/01/01 14:00:00,0.75867
2019/01/01 14:05:00,0.7789
2019/01/01 14:10:00,0.79824
