Time [yyyy/MM/dd HH:mm:ss],Mjoeyrarhofn_mouthFjord: water level (waterlevel) at Mjoeyrarhofn_mouthFjord_ FlowFM [m]
2019/01/01 00:00:00,0
2019/01/01 00:05:00,-7.6031E-47
2019/01/01 00:10:00,-2.2983E-24
2019/01/01 00:15:00,-5.9031E-14
2019/01/01 00:20:00,-8.3206E-10
2019/01/01 00:25:00,-2.2876E-08
2019/01/01 00:30:00,-3.0933E-07
2019/01/01 00:35:00,-2.7246E-06
2019/01/01 00:40:00,-1.7508E-05
2019/01/01 00:45:00,-8.7242E-05
2019/01/01 00:50:00,-0.00035014
2019/01/01 00:55:00,-0.0011612
2019/01/01 01:00:00,-0.0032414
2019/01/01 01:05:00,-0.0077251
2019/01/01 01:10:00,-0.0159
2019/01/01 01:15:00,-0.028548
2019/01/01 01:20:00,-0.045134
2019/01/01 01:25:00,-0.063389
2019/01/01 01:30:00,-0.079706
2019/01/01 01:35:00,-0.090151
2019/01/01 01:40:00,-0.091502
2019/01/01 01:45:00,-0.081894
2019/01/01 01:50:00,-0.061126
2019/01/01 01:55:00,-0.030741
2019/01/01 02:00:00,0.0062393
2019/01/01 02:05:00,0.045859
2019/01/01 02:10:00,0.083567
2019/01/01 02:15:00,0.11386
2019/01/01 02:20:00,0.12985
2019/01/01 02:25:00,0.12399
2019/01/01 02:30:00,0.089949
2019/01/01 02:35:00,0.02443
2019/01/01 02:40:00,-0.071833
2019/01/01 02:45:00,-0.19346
2019/01/01 02:50:00,-0.33074
2019/01/01 02:55:00,-0.47067
2019/01/01 03:00:00,-0.59896
2019/01/01 03:05:00,-0.70277
2019/01/01 03:10:00,-0.77268
2019/01/01 03:15:00,-0.80308
2019/01/01 03:20:00,-0.7926
2019/01/01 03:25:00,-0.74449
2019/01/01 03:30:00,-0.66592
2019/01/01 03:35:00,-0.5662
2019/01/01 03:40:00,-0.45449
2019/01/01 03:45:00,-0.33854
2019/01/01 03:50:00,-0.22592
2019/01/01 03:55:00,-0.12438
2019/01/01 04:00:00,-0.040555
2019/01/01 04:05:00,0.021068
2019/01/01 04:10:00,0.058705
2019/01/01 04:15:00,0.073999
2019/01/01 04:20:00,0.071613
2019/01/01 04:25:00,0.057163
2019/01/01 04:30:00,0.035165
2019/01/01 04:35:00,0.0080614
2019/01/01 04:40:00,-0.0245
2019/01/01 04:45:00,-0.065614
2019/01/01 04:50:00,-0.11937
2019/01/01 04:55:00,-0.18856
2019/01/01 05:00:00,-0.27296
2019/01/01 05:05:00,-0.36892
2019/01/01 05:10:00,-0.47018
2019/01/01 05:15:00,-0.56923
2019/01/01 05:20:00,-0.65828
2019/01/01 05:25:00,-0.72958
2019/01/01 05:30:00,-0.77576
2019/01/01 05:35:00,-0.79056
2019/01/01 05:40:00,-0.77017
2019/01/01 05:45:00,-0.71444
2019/01/01 05:50:00,-0.62707
2019/01/01 05:55:00,-0.51484
2019/01/01 06:00:00,-0.38637
2019/01/01 06:05:00,-0.25154
2019/01/01 06:10:00,-0.12119
2019/01/01 06:15:00,-0.0057032
2019/01/01 06:20:00,0.086945
2019/01/01 06:25:00,0.15207
2019/01/01 06:30:00,0.18832
2019/01/01 06:35:00,0.19793
2019/01/01 06:40:00,0.18586
2019/01/01 06:45:00,0.15819
2019/01/01 06:50:00,0.12143
2019/01/01 06:55:00,0.082247
2019/01/01 07:00:00,0.046457
2019/01/01 07:05:00,0.01761
2019/01/01 07:10:00,-0.0033733
2019/01/01 07:15:00,-0.017764
2019/01/01 07:20:00,-0.028187
2019/01/01 07:25:00,-0.037624
2019/01/01 07:30:00,-0.048308
2019/01/01 07:35:00,-0.061009
2019/01/01 07:40:00,-0.07512
2019/01/01 07:45:00,-0.088959
2019/01/01 07:50:00,-0.10001
2019/01/01 07:55:00,-0.10518
2019/01/01 08:00:00,-0.10113
2019/01/01 08:05:00,-0.084893
2019/01/01 08:10:00,-0.054536
2019/01/01 08:15:00,-0.009751
2019/01/01 08:20:00,0.047893
2019/01/01 08:25:00,0.11502
2019/01/01 08:30:00,0.1868
2019/01/01 08:35:00,0.25729
2019/01/01 08:40:00,0.32015
2019/01/01 08:45:00,0.36983
2019/01/01 08:50:00,0.40242
2019/01/01 08:55:00,0.41613
2019/01/01 09:00:00,0.41163
2019/01/01 09:05:00,0.39212
2019/01/01 09:10:00,0.36264
2019/01/01 09:15:00,0.32934
2019/01/01 09:20:00,0.2988
2019/01/01 09:25:00,0.27712
2019/01/01 09:30:00,0.26894
2019/01/01 09:35:00,0.27673
2019/01/01 09:40:00,0.30047
2019/01/01 09:45:00,0.33785
2019/01/01 09:50:00,0.38463
2019/01/01 09:55:00,0.43529
2019/01/01 10:00:00,0.48406
2019/01/01 10:05:00,0.5255
2019/01/01 10:10:00,0.55515
2019/01/01 10:15:00,0.57004
2019/01/01 10:20:00,0.56886
2019/01/01 10:25:00,0.55231
2019/01/01 10:30:00,0.52323
2019/01/01 10:35:00,0.4861
2019/01/01 10:40:00,0.44608
2019/01/01 10:45:00,0.40811
2019/01/01 10:50:00,0.37638
2019/01/01 10:55:00,0.35357
2019/01/01 11:00:00,0.34047
2019/01/01 11:05:00,0.3361
2019/01/01 11:10:00,0.33871
2019/01/01 11:15:00,0.34641
2019/01/01 11:20:00,0.35706
2019/01/01 11:25:00,0.3683
2019/01/01 11:30:00,0.37798
2019/01/01 11:35:00,0.3845
2019/01/01 11:40:00,0.38697
2019/01/01 11:45:00,0.38546
2019/01/01 11:50:00,0.38109
2019/01/01 11:55:00,0.37581
2019/01/01 12:00:00,0.37185
2019/01/01 12:05:00,0.37123
2019/01/01 12:10:00,0.37528
2019/01/01 12:15:00,0.38449
2019/01/01 12:20:00,0.39839
2019/01/01 12:25:00,0.41565
2019/01/01 12:30:00,0.43415
2019/01/01 12:35:00,0.45132
2019/01/01 12:40:00,0.46436
2019/01/01 12:45:00,0.47053
2019/01/01 12:50:00,0.46739
2019/01/01 12:55:00,0.45297
2019/01/01 13:00:00,0.42593
2019/01/01 13:05:00,0.38591
2019/01/01 13:10:00,0.3338
2019/01/01 13:15:00,0.27175
2019/01/01 13:20:00,0.20306
2019/01/01 13:25:00,0.13172
2019/01/01 13:30:00,0.061849
2019/01/01 13:35:00,-0.0024192
2019/01/01 13:40:00,-0.056936
2019/01/01 13:45:00,-0.098092
2019/01/01 13:50:00,-0.12363
2019/01/01 13:55:00,-0.13286
2019/01/01 14:00:00,-0.12646
2019/01/01 14:05:00,-0.10649
2019/01/01 14:10:00,-0.076165
2019/01/01 14:15:00,-0.039497
2019/01/01 14:20:00,-0.00095483
2019/01/01 14:25:00,0.034798
2019/01/01 14:30:00,0.063275
2019/01/01 14:35:00,0.080787
2019/01/01 14:40:00,0.085007
2019/01/01 14:45:00,0.075144
2019/01/01 14:50:00,0.051942
2019/01/01 14:55:00,0.017516
2019/01/01 15:00:00,-0.025076
2019/01/01 15:05:00,-0.07236
2019/01/01 15:10:00,-0.12083
2019/01/01 15:15:00,-0.16727
2019/01/01 15:20:00,-0.2091
2019/01/01 15:25:00,-0.2445
2019/01/01 15:30:00,-0.2725
2019/01/01 15:35:00,-0.2929
2019/01/01 15:40:00,-0.30622
2019/01/01 15:45:00,-0.31343
2019/01/01 15:50:00,-0.31579
2019/01/01 15:55:00,-0.31472
2019/01/01 16:00:00,-0.31175
2019/01/01 16:05:00,-0.30832
2019/01/01 16:10:00,-0.30567
2019/01/01 16:15:00,-0.30473
2019/01/01 16:20:00,-0.30609
2019/01/01 16:25:00,-0.31005
2019/01/01 16:30:00,-0.31674
2019/01/01 16:35:00,-0.32618
2019/01/01 16:40:00,-0.33821
2019/01/01 16:45:00,-0.35258
2019/01/01 16:50:00,-0.36885
2019/01/01 16:55:00,-0.38637
2019/01/01 17:00:00,-0.40426
2019/01/01 17:05:00,-0.42143
2019/01/01 17:10:00,-0.43665
2019/01/01 17:15:00,-0.44866
2019/01/01 17:20:00,-0.45629
2019/01/01 17:25:00,-0.45857
2019/01/01 17:30:00,-0.45482
