Time [yyyy/MM/dd HH:mm:ss],Olafsvik: water level (waterlevel) at Olafsvik_ FlowFM [m]
2019/01/01 00:00:00,0
2019/01/01 00:05:00,-5.7548E-47
2019/01/01 00:10:00,-2.0512E-25
2019/01/01 00:15:00,4.1968E-15
2019/01/01 00:20:00,1.3501E-10
2019/01/01 00:25:00,4.1333E-09
2019/01/01 00:30:00,6.2264E-08
2019/01/01 00:35:00,6.1261E-07
2019/01/01 00:40:00,4.416E-06
2019/01/01 00:45:00,2.4823E-05
2019/01/01 00:50:00,0.00011315
2019/01/01 00:55:00,0.00042972
2019/01/01 01:00:00,0.001387
2019/01/01 01:05:00,0.0038652
2019/01/01 01:10:00,0.0094232
2019/01/01 01:15:00,0.020338
2019/01/01 01:20:00,0.039305
2019/01/01 01:25:00,0.068816
2019/01/01 01:30:00,0.11049
2019/01/01 01:35:00,0.16476
2019/01/01 01:40:00,0.2311
2019/01/01 01:45:00,0.3085
2019/01/01 01:50:00,0.3957
2019/01/01 01:55:00,0.49086
2019/01/01 02:00:00,0.59094
2019/01/01 02:05:00,0.6913
2019/01/01 02:10:00,0.78599
2019/01/01 02:15:00,0.86946
2019/01/01 02:20:00,0.93876
2019/01/01 02:25:00,0.99483
2019/01/01 02:30:00,1.0417
2019/01/01 02:35:00,1.0839
2019/01/01 02:40:00,1.1235
2019/01/01 02:45:00,1.1596
2019/01/01 02:50:00,1.1894
2019/01/01 02:55:00,1.2102
2019/01/01 03:00:00,1.2215
2019/01/01 03:05:00,1.2259
2019/01/01 03:10:00,1.2286
2019/01/01 03:15:00,1.2342
2019/01/01 03:20:00,1.2442
2019/01/01 03:25:00,1.2558
2019/01/01 03:30:00,1.2634
2019/01/01 03:35:00,1.2615
2019/01/01 03:40:00,1.2459
2019/01/01 03:45:00,1.2149
2019/01/01 03:50:00,1.1701
2019/01/01 03:55:00,1.1154
2019/01/01 04:00:00,1.056
2019/01/01 04:05:00,0.99542
2019/01/01 04:10:00,0.93511
2019/01/01 04:15:00,0.87468
2019/01/01 04:20:00,0.81344
2019/01/01 04:25:00,0.75109
