Time [yyyy/MM/dd HH:mm:ss],Sandgerdi: water level (waterlevel) at Sandgerdi_ FlowFM [m]
2019/01/01 00:00:00,0
2019/01/01 00:05:00,2.3352E-47
2019/01/01 00:10:00,1.1498E-24
2019/01/01 00:15:00,7.6649E-14
2019/01/01 00:20:00,1.7684E-09
2019/01/01 00:25:00,5.2167E-08
2019/01/01 00:30:00,7.5662E-07
2019/01/01 00:35:00,7.1522E-06
2019/01/01 00:40:00,4.9369E-05
2019/01/01 00:45:00,0.00026454
2019/01/01 00:50:00,0.0011429
2019/01/01 00:55:00,0.0040844
2019/01/01 01:00:00,0.012297
2019/01/01 01:05:00,0.031631
2019/01/01 01:10:00,0.070299
2019/01/01 01:15:00,0.13635
2019/01/01 01:20:00,0.23308
2019/01/01 01:25:00,0.35524
2019/01/01 01:30:00,0.48979
2019/01/01 01:35:00,0.62221
2019/01/01 01:40:00,0.74289
2019/01/01 01:45:00,0.84798
2019/01/01 01:50:00,0.93602
2019/01/01 01:55:00,1.0069
2019/01/01 02:00:00,1.0641
2019/01/01 02:05:00,1.1117
2019/01/01 02:10:00,1.1469
2019/01/01 02:15:00,1.157
2019/01/01 02:20:00,1.1314
2019/01/01 02:25:00,1.0789
2019/01/01 02:30:00,1.0279
2019/01/01 02:35:00,1.0098
2019/01/01 02:40:00,1.0394
2019/01/01 02:45:00,1.1096
2019/01/01 02:50:00,1.1961
2019/01/01 02:55:00,1.2677
2019/01/01 03:00:00,1.296
2019/01/01 03:05:00,1.2728
2019/01/01 03:10:00,1.2117
2019/01/01 03:15:00,1.1324
2019/01/01 03:20:00,1.0461
2019/01/01 03:25:00,0.95088
2019/01/01 03:30:00,0.84242
2019/01/01 03:35:00,0.72639
2019/01/01 03:40:00,0.61934
2019/01/01 03:45:00,0.53712
2019/01/01 03:50:00,0.48113
2019/01/01 03:55:00,0.43847
2019/01/01 04:00:00,0.39554
2019/01/01 04:05:00,0.34995
2019/01/01 04:10:00,0.30953
2019/01/01 04:15:00,0.28007
2019/01/01 04:20:00,0.25675
2019/01/01 04:25:00,0.22871
2019/01/01 04:30:00,0.1856
2019/01/01 04:35:00,0.12612
2019/01/01 04:40:00,0.057492
2019/01/01 04:45:00,-0.011069
2019/01/01 04:50:00,-0.074029
2019/01/01 04:55:00,-0.13067
2019/01/01 05:00:00,-0.18312
2019/01/01 05:05:00,-0.23407
2019/01/01 05:10:00,-0.28485
2019/01/01 05:15:00,-0.33408
2019/01/01 05:20:00,-0.37828
2019/01/01 05:25:00,-0.41427
2019/01/01 05:30:00,-0.44142
2019/01/01 05:35:00,-0.46168
2019/01/01 05:40:00,-0.47757
2019/01/01 05:45:00,-0.49003
2019/01/01 05:50:00,-0.49804
2019/01/01 05:55:00,-0.50009
2019/01/01 06:00:00,-0.49579
2019/01/01 06:05:00,-0.48641
2019/01/01 06:10:00,-0.47456
2019/01/01 06:15:00,-0.46338
2019/01/01 06:20:00,-0.45563
2019/01/01 06:25:00,-0.45294
2019/01/01 06:30:00,-0.45588
2019/01/01 06:35:00,-0.46468
2019/01/01 06:40:00,-0.47994
2019/01/01 06:45:00,-0.50261
2019/01/01 06:50:00,-0.53321
2019/01/01 06:55:00,-0.57092
2019/01/01 07:00:00,-0.61341
2019/01/01 07:05:00,-0.65763
2019/01/01 07:10:00,-0.70132
2019/01/01 07:15:00,-0.74387
2019/01/01 07:20:00,-0.78574
2019/01/01 07:25:00,-0.82708
2019/01/01 07:30:00,-0.86696
2019/01/01 07:35:00,-0.90401
2019/01/01 07:40:00,-0.93806
2019/01/01 07:45:00,-0.97153
2019/01/01 07:50:00,-1.0071
2019/01/01 07:55:00,-1.0455
2019/01/01 08:00:00,-1.0849
2019/01/01 08:05:00,-1.1224
2019/01/01 08:10:00,-1.1564
2019/01/01 08:15:00,-1.1867
2019/01/01 08:20:00,-1.2137
2019/01/01 08:25:00,-1.2368
2019/01/01 08:30:00,-1.2549
2019/01/01 08:35:00,-1.2667
2019/01/01 08:40:00,-1.2729
2019/01/01 08:45:00,-1.2754
2019/01/01 08:50:00,-1.2763
2019/01/01 08:55:00,-1.277
2019/01/01 09:00:00,-1.2781
2019/01/01 09:05:00,-1.2791
2019/01/01 09:10:00,-1.2788
2019/01/01 09:15:00,-1.2765
2019/01/01 09:20:00,-1.2719
2019/01/01 09:25:00,-1.2647
2019/01/01 09:30:00,-1.2537
2019/01/01 09:35:00,-1.2373
2019/01/01 09:40:00,-1.2139
2019/01/01 09:45:00,-1.1832
2019/01/01 09:50:00,-1.1454
2019/01/01 09:55:00,-1.1016
2019/01/01 10:00:00,-1.0536
2019/01/01 10:05:00,-1.0034
2019/01/01 10:10:00,-0.95297
2019/01/01 10:15:00,-0.9038
2019/01/01 10:20:00,-0.85686
2019/01/01 10:25:00,-0.81234
2019/01/01 10:30:00,-0.76979
2019/01/01 10:35:00,-0.72833
2019/01/01 10:40:00,-0.68696
2019/01/01 10:45:00,-0.64483
2019/01/01 10:50:00,-0.60146
2019/01/01 10:55:00,-0.5569
2019/01/01 11:00:00,-0.5116
2019/01/01 11:05:00,-0.46588
2019/01/01 11:10:00,-0.41959
2019/01/01 11:15:00,-0.37249
2019/01/01 11:20:00,-0.32465
2019/01/01 11:25:00,-0.27639
2019/01/01 11:30:00,-0.22784
2019/01/01 11:35:00,-0.17898
2019/01/01 11:40:00,-0.12987
2019/01/01 11:45:00,-0.080984
2019/01/01 11:50:00,-0.03284
2019/01/01 11:55:00,0.014355
2019/01/01 12:00:00,0.06086
2019/01/01 12:05:00,0.10708
2019/01/01 12:10:00,0.15313
2019/01/01 12:15:00,0.19863
2019/01/01 12:20:00,0.24316
2019/01/01 12:25:00,0.28673
2019/01/01 12:30:00,0.32976
2019/01/01 12:35:00,0.37234
2019/01/01 12:40:00,0.41363
2019/01/01 12:45:00,0.45228
2019/01/01 12:50:00,0.48736
2019/01/01 12:55:00,0.51891
2019/01/01 13:00:00,0.5474
2019/01/01 13:05:00,0.57309
2019/01/01 13:10:00,0.59581
2019/01/01 13:15:00,0.6155
2019/01/01 13:20:00,0.6325
2019/01/01 13:25:00,0.64744
2019/01/01 13:30:00,0.66088
2019/01/01 13:35:00,0.67316
2019/01/01 13:40:00,0.68449
2019/01/01 13:45:00,0.69501
2019/01/01 13:50:00,0.7049
2019/01/01 13:55:00,0.71442
2019/01/01 14:00:00,0.72385
2019/01/01 14:05:00,0.73351
2019/01/01 14:10:00,0.74377
2019/01/01 14:15:00,0.75482
2019/01/01 14:20:00,0.76659
2019/01/01 14:25:00,0.77883
2019/01/01 14:30:00,0.7914
2019/01/01 14:35:00,0.80452
2019/01/01 14:40:00,0.81851
2019/01/01 14:45:00,0.83344
2019/01/01 14:50:00,0.84897
2019/01/01 14:55:00,0.86453
2019/01/01 15:00:00,0.87962
2019/01/01 15:05:00,0.89375
2019/01/01 15:10:00,0.90629
2019/01/01 15:15:00,0.91644
2019/01/01 15:20:00,0.92354
2019/01/01 15:25:00,0.92733
2019/01/01 15:30:00,0.928
2019/01/01 15:35:00,0.92589
2019/01/01 15:40:00,0.92125
2019/01/01 15:45:00,0.91426
2019/01/01 15:50:00,0.90517
2019/01/01 15:55:00,0.89448
2019/01/01 16:00:00,0.88269
2019/01/01 16:05:00,0.87004
2019/01/01 16:10:00,0.85648
2019/01/01 16:15:00,0.84185
2019/01/01 16:20:00,0.82605
2019/01/01 16:25:00,0.80901
2019/01/01 16:30:00,0.79065
2019/01/01 16:35:00,0.7704
2019/01/01 16:40:00,0.74758
2019/01/01 16:45:00,0.72164
2019/01/01 16:50:00,0.69221
2019/01/01 16:55:00,0.65919
2019/01/01 17:00:00,0.62294
2019/01/01 17:05:00,0.58385
2019/01/01 17:10:00,0.5419
2019/01/01 17:15:00,0.4969
2019/01/01 17:20:00,0.44896
2019/01/01 17:25:00,0.39849
2019/01/01 17:30:00,0.34586
2019/01/01 17:35:00,0.29114
2019/01/01 17:40:00,0.23434
2019/01/01 17:45:00,0.17558
2019/01/01 17:50:00,0.11513
2019/01/01 17:55:00,0.053414
2019/01/01 18:00:00,-0.0091155
2019/01/01 18:05:00,-0.071987
2019/01/01 18:10:00,-0.13476
2019/01/01 18:15:00,-0.19696
2019/01/01 18:20:00,-0.25792
2019/01/01 18:25:00,-0.31678
2019/01/01 18:30:00,-0.37267
2019/01/01 18:35:00,-0.42487
2019/01/01 18:40:00,-0.47301
2019/01/01 18:45:00,-0.51702
2019/01/01 18:50:00,-0.55703
2019/01/01 18:55:00,-0.59315
2019/01/01 19:00:00,-0.62552
2019/01/01 19:05:00,-0.65431
2019/01/01 19:10:00,-0.67983
2019/01/01 19:15:00,-0.70258
2019/01/01 19:20:00,-0.72291
2019/01/01 19:25:00,-0.74094
2019/01/01 19:30:00,-0.75681
2019/01/01 19:35:00,-0.77077
2019/01/01 19:40:00,-0.78311
2019/01/01 19:45:00,-0.79413
2019/01/01 19:50:00,-0.80406
2019/01/01 19:55:00,-0.81297
2019/01/01 20:00:00,-0.82082
2019/01/01 20:05:00,-0.82762
2019/01/01 20:10:00,-0.83357
2019/01/01 20:15:00,-0.83886
2019/01/01 20:20:00,-0.84354
2019/01/01 20:25:00,-0.84752
2019/01/01 20:30:00,-0.85063
2019/01/01 20:35:00,-0.85281
2019/01/01 20:40:00,-0.85408
2019/01/01 20:45:00,-0.85452
2019/01/01 20:50:00,-0.85417
2019/01/01 20:55:00,-0.85297
2019/01/01 21:00:00,-0.85086
2019/01/01 21:05:00,-0.8478
2019/01/01 21:10:00,-0.84388
2019/01/01 21:15:00,-0.83923
2019/01/01 21:20:00,-0.83405
2019/01/01 21:25:00,-0.8285
2019/01/01 21:30:00,-0.82263
2019/01/01 21:35:00,-0.81637
2019/01/01 21:40:00,-0.80956
2019/01/01 21:45:00,-0.80204
2019/01/01 21:50:00,-0.7938
2019/01/01 21:55:00,-0.785
2019/01/01 22:00:00,-0.77578
2019/01/01 22:05:00,-0.76606
2019/01/01 22:10:00,-0.75545
2019/01/01 22:15:00,-0.74356
2019/01/01 22:20:00,-0.73019
2019/01/01 22:25:00,-0.71545
2019/01/01 22:30:00,-0.69954
2019/01/01 22:35:00,-0.68251
2019/01/01 22:40:00,-0.66409
2019/01/01 22:45:00,-0.64382
2019/01/01 22:50:00,-0.62122
2019/01/01 22:55:00,-0.59602
2019/01/01 23:00:00,-0.56809
2019/01/01 23:05:00,-0.53723
2019/01/01 23:10:00,-0.50306
2019/01/01 23:15:00,-0.46523
2019/01/01 23:20:00,-0.42359
2019/01/01 23:25:00,-0.37832
2019/01/01 23:30:00,-0.32983
2019/01/01 23:35:00,-0.27858
2019/01/01 23:40:00,-0.22496
2019/01/01 23:45:00,-0.16925
2019/01/01 23:50:00,-0.11166
2019/01/01 23:55:00,-0.052501
2019/01/02 00:00:00,0.00778
2019/01/02 00:05:00,0.06868
2019/01/02 00:10:00,0.1298
2019/01/02 00:15:00,0.19091
2019/01/02 00:20:00,0.25187
2019/01/02 00:25:00,0.31251
2019/01/02 00:30:00,0.37248
2019/01/02 00:35:00,0.43142
2019/01/02 00:40:00,0.48902
2019/01/02 00:45:00,0.54523
2019/01/02 00:50:00,0.60009
2019/01/02 00:55:00,0.65363
2019/01/02 01:00:00,0.70575
2019/01/02 01:05:00,0.75624
2019/01/02 01:10:00,0.80485
2019/01/02 01:15:00,0.85138
2019/01/02 01:20:00,0.8958
2019/01/02 01:25:00,0.93821
2019/01/02 01:30:00,0.97872
2019/01/02 01:35:00,1.0174
2019/01/02 01:40:00,1.0541
2019/01/02 01:45:00,1.0885
2019/01/02 01:50:00,1.1207
2019/01/02 01:55:00,1.1508
2019/01/02 02:00:00,1.1788
2019/01/02 02:05:00,1.2046
2019/01/02 02:10:00,1.228
2019/01/02 02:15:00,1.2488
2019/01/02 02:20:00,1.267
2019/01/02 02:25:00,1.2828
2019/01/02 02:30:00,1.2965
2019/01/02 02:35:00,1.3081
2019/01/02 02:40:00,1.3174
2019/01/02 02:45:00,1.3246
2019/01/02 02:50:00,1.3296
2019/01/02 02:55:00,1.3326
2019/01/02 03:00:00,1.3338
2019/01/02 03:05:00,1.3334
2019/01/02 03:10:00,1.3316
2019/01/02 03:15:00,1.329
2019/01/02 03:20:00,1.3256
2019/01/02 03:25:00,1.3214
2019/01/02 03:30:00,1.3165
2019/01/02 03:35:00,1.3107
2019/01/02 03:40:00,1.3039
2019/01/02 03:45:00,1.2959
2019/01/02 03:50:00,1.2863
2019/01/02 03:55:00,1.2752
2019/01/02 04:00:00,1.2626
2019/01/02 04:05:00,1.2492
2019/01/02 04:10:00,1.235
2019/01/02 04:15:00,1.2201
2019/01/02 04:20:00,1.2042
2019/01/02 04:25:00,1.1869
2019/01/02 04:30:00,1.168
2019/01/02 04:35:00,1.1476
2019/01/02 04:40:00,1.1254
2019/01/02 04:45:00,1.1014
2019/01/02 04:50:00,1.0751
2019/01/02 04:55:00,1.0465
2019/01/02 05:00:00,1.0157
2019/01/02 05:05:00,0.98279
2019/01/02 05:10:00,0.94794
2019/01/02 05:15:00,0.91089
2019/01/02 05:20:00,0.8714
2019/01/02 05:25:00,0.8294
2019/01/02 05:30:00,0.78506
2019/01/02 05:35:00,0.73866
2019/01/02 05:40:00,0.69034
2019/01/02 05:45:00,0.64004
2019/01/02 05:50:00,0.58789
2019/01/02 05:55:00,0.53424
2019/01/02 06:00:00,0.4794
2019/01/02 06:05:00,0.4234
2019/01/02 06:10:00,0.36616
2019/01/02 06:15:00,0.30769
2019/01/02 06:20:00,0.24816
2019/01/02 06:25:00,0.18784
2019/01/02 06:30:00,0.1269
2019/01/02 06:35:00,0.065426
2019/01/02 06:40:00,0.0034731
2019/01/02 06:45:00,-0.058751
2019/01/02 06:50:00,-0.12096
2019/01/02 06:55:00,-0.18299
2019/01/02 07:00:00,-0.24466
2019/01/02 07:05:00,-0.3057
2019/01/02 07:10:00,-0.36582
2019/01/02 07:15:00,-0.42484
2019/01/02 07:20:00,-0.48275
2019/01/02 07:25:00,-0.5396
2019/01/02 07:30:00,-0.59538
2019/01/02 07:35:00,-0.65006
2019/01/02 07:40:00,-0.70352
2019/01/02 07:45:00,-0.75555
2019/01/02 07:50:00,-0.80607
2019/01/02 07:55:00,-0.85502
2019/01/02 08:00:00,-0.90218
2019/01/02 08:05:00,-0.94726
2019/01/02 08:10:00,-0.99001
2019/01/02 08:15:00,-1.0303
2019/01/02 08:20:00,-1.068
2019/01/02 08:25:00,-1.1032
2019/01/02 08:30:00,-1.1357
2019/01/02 08:35:00,-1.1654
2019/01/02 08:40:00,-1.1924
2019/01/02 08:45:00,-1.2166
2019/01/02 08:50:00,-1.2384
2019/01/02 08:55:00,-1.2578
2019/01/02 09:00:00,-1.275
2019/01/02 09:05:00,-1.29
2019/01/02 09:10:00,-1.3031
2019/01/02 09:15:00,-1.3142
2019/01/02 09:20:00,-1.3235
2019/01/02 09:25:00,-1.331
2019/01/02 09:30:00,-1.3369
2019/01/02 09:35:00,-1.3412
2019/01/02 09:40:00,-1.3438
2019/01/02 09:45:00,-1.3448
2019/01/02 09:50:00,-1.3441
2019/01/02 09:55:00,-1.3417
2019/01/02 10:00:00,-1.3377
2019/01/02 10:05:00,-1.3319
2019/01/02 10:10:00,-1.3245
2019/01/02 10:15:00,-1.3154
2019/01/02 10:20:00,-1.3048
2019/01/02 10:25:00,-1.2925
2019/01/02 10:30:00,-1.2787
2019/01/02 10:35:00,-1.2635
2019/01/02 10:40:00,-1.2466
2019/01/02 10:45:00,-1.2283
2019/01/02 10:50:00,-1.2084
2019/01/02 10:55:00,-1.1871
2019/01/02 11:00:00,-1.1644
2019/01/02 11:05:00,-1.1404
2019/01/02 11:10:00,-1.1151
2019/01/02 11:15:00,-1.0885
2019/01/02 11:20:00,-1.0607
2019/01/02 11:25:00,-1.0317
2019/01/02 11:30:00,-1.0016
2019/01/02 11:35:00,-0.9704
2019/01/02 11:40:00,-0.93817
2019/01/02 11:45:00,-0.9049
2019/01/02 11:50:00,-0.87063
2019/01/02 11:55:00,-0.8353
2019/01/02 12:00:00,-0.79877
2019/01/02 12:05:00,-0.76095
2019/01/02 12:10:00,-0.72179
2019/01/02 12:15:00,-0.6813
2019/01/02 12:20:00,-0.63944
2019/01/02 12:25:00,-0.59623
2019/01/02 12:30:00,-0.55169
2019/01/02 12:35:00,-0.50591
2019/01/02 12:40:00,-0.45893
2019/01/02 12:45:00,-0.41079
2019/01/02 12:50:00,-0.36152
2019/01/02 12:55:00,-0.31132
2019/01/02 13:00:00,-0.26047
2019/01/02 13:05:00,-0.20918
2019/01/02 13:10:00,-0.15746
2019/01/02 13:15:00,-0.10538
2019/01/02 13:20:00,-0.053198
2019/01/02 13:25:00,-0.0012329
2019/01/02 13:30:00,0.050341
2019/01/02 13:35:00,0.10151
2019/01/02 13:40:00,0.15231
2019/01/02 13:45:00,0.20267
2019/01/02 13:50:00,0.25237
2019/01/02 13:55:00,0.30111
2019/01/02 14:00:00,0.34867
2019/01/02 14:05:00,0.39497
2019/01/02 14:10:00,0.44002
2019/01/02 14:15:00,0.48383
2019/01/02 14:20:00,0.5263
2019/01/02 14:25:00,0.56728
2019/01/02 14:30:00,0.60663
2019/01/02 14:35:00,0.64424
2019/01/02 14:40:00,0.68013
2019/01/02 14:45:00,0.71429
2019/01/02 14:50:00,0.74667
2019/01/02 14:55:00,0.77713
2019/01/02 15:00:00,0.80554
2019/01/02 15:05:00,0.83183
2019/01/02 15:10:00,0.85601
2019/01/02 15:15:00,0.87813
2019/01/02 15:20:00,0.89819
2019/01/02 15:25:00,0.91609
2019/01/02 15:30:00,0.93164
2019/01/02 15:35:00,0.94475
2019/01/02 15:40:00,0.95536
2019/01/02 15:45:00,0.96352
2019/01/02 15:50:00,0.96927
2019/01/02 15:55:00,0.97264
2019/01/02 16:00:00,0.97367
2019/01/02 16:05:00,0.97241
2019/01/02 16:10:00,0.96895
2019/01/02 16:15:00,0.96341
2019/01/02 16:20:00,0.95588
2019/01/02 16:25:00,0.94643
2019/01/02 16:30:00,0.9351
2019/01/02 16:35:00,0.92197
2019/01/02 16:40:00,0.90718
2019/01/02 16:45:00,0.89082
2019/01/02 16:50:00,0.87301
2019/01/02 16:55:00,0.8538
2019/01/02 17:00:00,0.83328
2019/01/02 17:05:00,0.81155
2019/01/02 17:10:00,0.78872
2019/01/02 17:15:00,0.76486
2019/01/02 17:20:00,0.73999
2019/01/02 17:25:00,0.71406
2019/01/02 17:30:00,0.68704
2019/01/02 17:35:00,0.65896
2019/01/02 17:40:00,0.62989
2019/01/02 17:45:00,0.59981
2019/01/02 17:50:00,0.56869
2019/01/02 17:55:00,0.5365
2019/01/02 18:00:00,0.50336
2019/01/02 18:05:00,0.46939
2019/01/02 18:10:00,0.43467
2019/01/02 18:15:00,0.39917
2019/01/02 18:20:00,0.3628
2019/01/02 18:25:00,0.32546
2019/01/02 18:30:00,0.28711
2019/01/02 18:35:00,0.2478
2019/01/02 18:40:00,0.20767
2019/01/02 18:45:00,0.16689
2019/01/02 18:50:00,0.12555
2019/01/02 18:55:00,0.083724
2019/01/02 19:00:00,0.041453
2019/01/02 19:05:00,-0.0011993
2019/01/02 19:10:00,-0.044133
2019/01/02 19:15:00,-0.087221
2019/01/02 19:20:00,-0.13035
2019/01/02 19:25:00,-0.17347
2019/01/02 19:30:00,-0.21657
2019/01/02 19:35:00,-0.25963
2019/01/02 19:40:00,-0.3026
2019/01/02 19:45:00,-0.34535
2019/01/02 19:50:00,-0.38777
2019/01/02 19:55:00,-0.42979
2019/01/02 20:00:00,-0.47141
2019/01/02 20:05:00,-0.5126
2019/01/02 20:10:00,-0.55326
2019/01/02 20:15:00,-0.59326
2019/01/02 20:20:00,-0.63246
2019/01/02 20:25:00,-0.67076
2019/01/02 20:30:00,-0.70809
2019/01/02 20:35:00,-0.74438
2019/01/02 20:40:00,-0.7795
2019/01/02 20:45:00,-0.81331
2019/01/02 20:50:00,-0.84569
2019/01/02 20:55:00,-0.87652
2019/01/02 21:00:00,-0.9057
2019/01/02 21:05:00,-0.93314
2019/01/02 21:10:00,-0.95872
2019/01/02 21:15:00,-0.98232
2019/01/02 21:20:00,-1.0039
2019/01/02 21:25:00,-1.0232
2019/01/02 21:30:00,-1.0404
2019/01/02 21:35:00,-1.0552
2019/01/02 21:40:00,-1.0676
2019/01/02 21:45:00,-1.0776
2019/01/02 21:50:00,-1.0851
2019/01/02 21:55:00,-1.0902
2019/01/02 22:00:00,-1.0928
2019/01/02 22:05:00,-1.0929
2019/01/02 22:10:00,-1.0906
2019/01/02 22:15:00,-1.0859
2019/01/02 22:20:00,-1.0789
2019/01/02 22:25:00,-1.0696
2019/01/02 22:30:00,-1.0581
2019/01/02 22:35:00,-1.0445
2019/01/02 22:40:00,-1.0288
2019/01/02 22:45:00,-1.011
2019/01/02 22:50:00,-0.99137
2019/01/02 22:55:00,-0.96993
2019/01/02 23:00:00,-0.94675
2019/01/02 23:05:00,-0.92186
2019/01/02 23:10:00,-0.8953
2019/01/02 23:15:00,-0.86713
2019/01/02 23:20:00,-0.83745
2019/01/02 23:25:00,-0.80631
2019/01/02 23:30:00,-0.77374
2019/01/02 23:35:00,-0.73977
2019/01/02 23:40:00,-0.70446
2019/01/02 23:45:00,-0.66786
2019/01/02 23:50:00,-0.63007
2019/01/02 23:55:00,-0.59117
2019/01/03 00:00:00,-0.55128
2019/01/03 00:05:00,-0.51047
2019/01/03 00:10:00,-0.46879
2019/01/03 00:15:00,-0.4263
2019/01/03 00:20:00,-0.3831
2019/01/03 00:25:00,-0.33928
2019/01/03 00:30:00,-0.29492
2019/01/03 00:35:00,-0.25009
2019/01/03 00:40:00,-0.20483
2019/01/03 00:45:00,-0.15919
2019/01/03 00:50:00,-0.11319
2019/01/03 00:55:00,-0.066822
2019/01/03 01:00:00,-0.020055
2019/01/03 01:05:00,0.027077
2019/01/03 01:10:00,0.074467
2019/01/03 01:15:00,0.12199
2019/01/03 01:20:00,0.16955
2019/01/03 01:25:00,0.21712
2019/01/03 01:30:00,0.26469
2019/01/03 01:35:00,0.31222
2019/01/03 01:40:00,0.35967
2019/01/03 01:45:00,0.40697
2019/01/03 01:50:00,0.454
2019/01/03 01:55:00,0.50071
2019/01/03 02:00:00,0.54707
2019/01/03 02:05:00,0.59306
2019/01/03 02:10:00,0.63863
2019/01/03 02:15:00,0.68368
2019/01/03 02:20:00,0.72812
2019/01/03 02:25:00,0.77187
2019/01/03 02:30:00,0.81488
2019/01/03 02:35:00,0.85708
2019/01/03 02:40:00,0.89838
2019/01/03 02:45:00,0.9386
2019/01/03 02:50:00,0.97758
2019/01/03 02:55:00,1.0152
2019/01/03 03:00:00,1.0515
2019/01/03 03:05:00,1.0861
2019/01/03 03:10:00,1.1192
2019/01/03 03:15:00,1.1506
2019/01/03 03:20:00,1.1803
2019/01/03 03:25:00,1.2082
2019/01/03 03:30:00,1.2342
2019/01/03 03:35:00,1.2582
2019/01/03 03:40:00,1.28
2019/01/03 03:45:00,1.2997
2019/01/03 03:50:00,1.3171
2019/01/03 03:55:00,1.3324
2019/01/03 04:00:00,1.3453
2019/01/03 04:05:00,1.3559
2019/01/03 04:10:00,1.3639
2019/01/03 04:15:00,1.3694
2019/01/03 04:20:00,1.3723
2019/01/03 04:25:00,1.3729
2019/01/03 04:30:00,1.3711
2019/01/03 04:35:00,1.3671
2019/01/03 04:40:00,1.3605
2019/01/03 04:45:00,1.3514
2019/01/03 04:50:00,1.3398
2019/01/03 04:55:00,1.3257
2019/01/03 05:00:00,1.3094
2019/01/03 05:05:00,1.2907
2019/01/03 05:10:00,1.2694
2019/01/03 05:15:00,1.2457
2019/01/03 05:20:00,1.2197
2019/01/03 05:25:00,1.1916
2019/01/03 05:30:00,1.1613
2019/01/03 05:35:00,1.1291
2019/01/03 05:40:00,1.0948
2019/01/03 05:45:00,1.0587
2019/01/03 05:50:00,1.0209
2019/01/03 05:55:00,0.98154
2019/01/03 06:00:00,0.94065
2019/01/03 06:05:00,0.89827
2019/01/03 06:10:00,0.85448
2019/01/03 06:15:00,0.80938
2019/01/03 06:20:00,0.76304
2019/01/03 06:25:00,0.71549
2019/01/03 06:30:00,0.66681
2019/01/03 06:35:00,0.61721
2019/01/03 06:40:00,0.56682
2019/01/03 06:45:00,0.51575
2019/01/03 06:50:00,0.46402
2019/01/03 06:55:00,0.41172
2019/01/03 07:00:00,0.35898
2019/01/03 07:05:00,0.30602
2019/01/03 07:10:00,0.25298
2019/01/03 07:15:00,0.19981
2019/01/03 07:20:00,0.14637
2019/01/03 07:25:00,0.092694
2019/01/03 07:30:00,0.039022
2019/01/03 07:35:00,-0.014371
2019/01/03 07:40:00,-0.067375
2019/01/03 07:45:00,-0.12009
2019/01/03 07:50:00,-0.17267
2019/01/03 07:55:00,-0.22512
2019/01/03 08:00:00,-0.27719
2019/01/03 08:05:00,-0.32858
2019/01/03 08:10:00,-0.37909
2019/01/03 08:15:00,-0.42867
2019/01/03 08:20:00,-0.47743
2019/01/03 08:25:00,-0.52541
2019/01/03 08:30:00,-0.5725
2019/01/03 08:35:00,-0.61851
2019/01/03 08:40:00,-0.66334
2019/01/03 08:45:00,-0.70703
2019/01/03 08:50:00,-0.74964
2019/01/03 08:55:00,-0.79115
2019/01/03 09:00:00,-0.83144
2019/01/03 09:05:00,-0.87036
2019/01/03 09:10:00,-0.90779
2019/01/03 09:15:00,-0.94366
2019/01/03 09:20:00,-0.97792
2019/01/03 09:25:00,-1.0105
2019/01/03 09:30:00,-1.0414
2019/01/03 09:35:00,-1.0706
2019/01/03 09:40:00,-1.098
2019/01/03 09:45:00,-1.1237
2019/01/03 09:50:00,-1.1474
2019/01/03 09:55:00,-1.1693
2019/01/03 10:00:00,-1.1891
2019/01/03 10:05:00,-1.2069
2019/01/03 10:10:00,-1.2227
2019/01/03 10:15:00,-1.2363
2019/01/03 10:20:00,-1.2477
2019/01/03 10:25:00,-1.2568
2019/01/03 10:30:00,-1.2634
2019/01/03 10:35:00,-1.2677
2019/01/03 10:40:00,-1.2697
2019/01/03 10:45:00,-1.2693
2019/01/03 10:50:00,-1.2665
2019/01/03 10:55:00,-1.2613
2019/01/03 11:00:00,-1.2538
2019/01/03 11:05:00,-1.244
2019/01/03 11:10:00,-1.232
2019/01/03 11:15:00,-1.2178
2019/01/03 11:20:00,-1.2014
2019/01/03 11:25:00,-1.183
2019/01/03 11:30:00,-1.1625
2019/01/03 11:35:00,-1.14
2019/01/03 11:40:00,-1.1154
2019/01/03 11:45:00,-1.0888
2019/01/03 11:50:00,-1.0602
2019/01/03 11:55:00,-1.0298
2019/01/03 12:00:00,-0.99761
2019/01/03 12:05:00,-0.9637
2019/01/03 12:10:00,-0.92816
2019/01/03 12:15:00,-0.89107
2019/01/03 12:20:00,-0.85249
2019/01/03 12:25:00,-0.81248
2019/01/03 12:30:00,-0.77113
2019/01/03 12:35:00,-0.72861
