Time [yyyy/MM/dd HH:mm:ss],Skagastrond: water level (waterlevel) at Skagastrond_ FlowFM [m]
2019/01/01 00:00:00,0
2019/01/01 00:05:00,-9.8004E-49
2019/01/01 00:10:00,-2.0666E-23
2019/01/01 00:15:00,-3.3709E-13
2019/01/01 00:20:00,-2.8663E-09
2019/01/01 00:25:00,-7.2937E-08
2019/01/01 00:30:00,-9.1424E-07
2019/01/01 00:35:00,-7.47E-06
2019/01/01 00:40:00,-4.4563E-05
2019/01/01 00:45:00,-0.00020642
2019/01/01 00:50:00,-0.00077172
2019/01/01 00:55:00,-0.0023925
2019/01/01 01:00:00,-0.0062776
2019/01/01 01:05:00,-0.014179
2019/01/01 01:10:00,-0.027995
2019/01/01 01:15:00,-0.049047
2019/01/01 01:20:00,-0.077455
2019/01/01 01:25:00,-0.11208
2019/01/01 01:30:00,-0.15111
2019/01/01 01:35:00,-0.19299
2019/01/01 01:40:00,-0.23686
2019/01/01 01:45:00,-0.28252
2019/01/01 01:50:00,-0.32975
2019/01/01 01:55:00,-0.37765
2019/01/01 02:00:00,-0.4244
2019/01/01 02:05:00,-0.4677
2019/01/01 02:10:00,-0.50536
2019/01/01 02:15:00,-0.53556
2019/01/01 02:20:00,-0.55684
2019/01/01 02:25:00,-0.56802
2019/01/01 02:30:00,-0.56832
2019/01/01 02:35:00,-0.55746
2019/01/01 02:40:00,-0.53546
2019/01/01 02:45:00,-0.50253
2019/01/01 02:50:00,-0.45893
2019/01/01 02:55:00,-0.40361
2019/01/01 03:00:00,-0.33837
2019/01/01 03:05:00,-0.26412
2019/01/01 03:10:00,-0.18143
2019/01/01 03:15:00,-0.092542
2019/01/01 03:20:00,0.00080135
2019/01/01 03:25:00,0.097219
2019/01/01 03:30:00,0.19556
2019/01/01 03:35:00,0.29558
2019/01/01 03:40:00,0.39701
2019/01/01 03:45:00,0.49867
2019/01/01 03:50:00,0.5982
2019/01/01 03:55:00,0.69238
2019/01/01 04:00:00,0.77802
2019/01/01 04:05:00,0.8529
2019/01/01 04:10:00,0.91582
2019/01/01 04:15:00,0.96628
2019/01/01 04:20:00,1.0036
2019/01/01 04:25:00,1.0266
2019/01/01 04:30:00,1.0342
2019/01/01 04:35:00,1.0256
2019/01/01 04:40:00,1.0011
2019/01/01 04:45:00,0.96187
2019/01/01 04:50:00,0.91003
2019/01/01 04:55:00,0.84829
2019/01/01 05:00:00,0.77958
2019/01/01 05:05:00,0.70639
2019/01/01 05:10:00,0.6305
2019/01/01 05:15:00,0.55316
2019/01/01 05:20:00,0.47557
2019/01/01 05:25:00,0.39988
2019/01/01 05:30:00,0.32959
2019/01/01 05:35:00,0.26792
2019/01/01 05:40:00,0.21674
2019/01/01 05:45:00,0.17661
2019/01/01 05:50:00,0.1468
2019/01/01 05:55:00,0.12636
2019/01/01 06:00:00,0.11459
2019/01/01 06:05:00,0.11073
2019/01/01 06:10:00,0.11393
2019/01/01 06:15:00,0.12341
2019/01/01 06:20:00,0.13885
2019/01/01 06:25:00,0.15963
2019/01/01 06:30:00,0.18583
2019/01/01 06:35:00,0.21728
2019/01/01 06:40:00,0.25324
2019/01/01 06:45:00,0.29298
2019/01/01 06:50:00,0.33548
2019/01/01 06:55:00,0.37952
2019/01/01 07:00:00,0.42405
2019/01/01 07:05:00,0.4683
2019/01/01 07:10:00,0.51173
2019/01/01 07:15:00,0.55368
2019/01/01 07:20:00,0.59332
2019/01/01 07:25:00,0.62978
2019/01/01 07:30:00,0.66235
2019/01/01 07:35:00,0.6905
2019/01/01 07:40:00,0.71387
2019/01/01 07:45:00,0.73227
2019/01/01 07:50:00,0.74542
2019/01/01 07:55:00,0.75284
2019/01/01 08:00:00,0.75404
2019/01/01 08:05:00,0.7487
2019/01/01 08:10:00,0.73665
2019/01/01 08:15:00,0.71793
2019/01/01 08:20:00,0.6929
2019/01/01 08:25:00,0.66196
2019/01/01 08:30:00,0.62576
2019/01/01 08:35:00,0.5851
2019/01/01 08:40:00,0.54076
2019/01/01 08:45:00,0.49355
2019/01/01 08:50:00,0.44436
2019/01/01 08:55:00,0.39389
2019/01/01 09:00:00,0.34263
2019/01/01 09:05:00,0.29082
2019/01/01 09:10:00,0.23831
2019/01/01 09:15:00,0.18467
2019/01/01 09:20:00,0.1294
2019/01/01 09:25:00,0.072178
2019/01/01 09:30:00,0.013008
2019/01/01 09:35:00,-0.04767
2019/01/01 09:40:00,-0.10903
2019/01/01 09:45:00,-0.16993
2019/01/01 09:50:00,-0.229
2019/01/01 09:55:00,-0.28482
2019/01/01 10:00:00,-0.336
2019/01/01 10:05:00,-0.38141
2019/01/01 10:10:00,-0.42016
2019/01/01 10:15:00,-0.45164
2019/01/01 10:20:00,-0.47549
2019/01/01 10:25:00,-0.49155
2019/01/01 10:30:00,-0.49992
2019/01/01 10:35:00,-0.50085
2019/01/01 10:40:00,-0.49476
2019/01/01 10:45:00,-0.4822
2019/01/01 10:50:00,-0.46402
2019/01/01 10:55:00,-0.44045
2019/01/01 11:00:00,-0.41251
2019/01/01 11:05:00,-0.38183
2019/01/01 11:10:00,-0.34931
2019/01/01 11:15:00,-0.31611
2019/01/01 11:20:00,-0.28345
2019/01/01 11:25:00,-0.25208
2019/01/01 11:30:00,-0.22237
2019/01/01 11:35:00,-0.19445
2019/01/01 11:40:00,-0.1686
2019/01/01 11:45:00,-0.14546
2019/01/01 11:50:00,-0.12577
2019/01/01 11:55:00,-0.11027
2019/01/01 12:00:00,-0.099483
2019/01/01 12:05:00,-0.09366
2019/01/01 12:10:00,-0.092924
2019/01/01 12:15:00,-0.097368
2019/01/01 12:20:00,-0.10711
2019/01/01 12:25:00,-0.12217
2019/01/01 12:30:00,-0.14206
2019/01/01 12:35:00,-0.16649
2019/01/01 12:40:00,-0.19493
2019/01/01 12:45:00,-0.22663
2019/01/01 12:50:00,-0.26102
2019/01/01 12:55:00,-0.2976
2019/01/01 13:00:00,-0.33586
2019/01/01 13:05:00,-0.37513
2019/01/01 13:10:00,-0.41449
2019/01/01 13:15:00,-0.45297
2019/01/01 13:20:00,-0.48968
2019/01/01 13:25:00,-0.52395
2019/01/01 13:30:00,-0.55518
2019/01/01 13:35:00,-0.58272
2019/01/01 13:40:00,-0.60586
2019/01/01 13:45:00,-0.62405
2019/01/01 13:50:00,-0.63701
2019/01/01 13:55:00,-0.64475
2019/01/01 14:00:00,-0.64741
2019/01/01 14:05:00,-0.64521
2019/01/01 14:10:00,-0.63844
2019/01/01 14:15:00,-0.62745
2019/01/01 14:20:00,-0.61251
2019/01/01 14:25:00,-0.59329
2019/01/01 14:30:00,-0.56996
2019/01/01 14:35:00,-0.5428
2019/01/01 14:40:00,-0.51159
2019/01/01 14:45:00,-0.47637
2019/01/01 14:50:00,-0.43738
2019/01/01 14:55:00,-0.39484
2019/01/01 15:00:00,-0.3491
2019/01/01 15:05:00,-0.30055
2019/01/01 15:10:00,-0.24974
2019/01/01 15:15:00,-0.19736
2019/01/01 15:20:00,-0.14415
2019/01/01 15:25:00,-0.091013
2019/01/01 15:30:00,-0.038885
2019/01/01 15:35:00,0.011387
2019/01/01 15:40:00,0.059064
2019/01/01 15:45:00,0.10344
2019/01/01 15:50:00,0.14383
2019/01/01 15:55:00,0.1796
2019/01/01 16:00:00,0.2102
2019/01/01 16:05:00,0.23523
2019/01/01 16:10:00,0.25448
2019/01/01 16:15:00,0.26799
2019/01/01 16:20:00,0.27601
2019/01/01 16:25:00,0.27888
2019/01/01 16:30:00,0.27696
2019/01/01 16:35:00,0.27063
2019/01/01 16:40:00,0.26046
2019/01/01 16:45:00,0.24701
2019/01/01 16:50:00,0.23078
2019/01/01 16:55:00,0.21213
2019/01/01 17:00:00,0.19128
2019/01/01 17:05:00,0.16857
2019/01/01 17:10:00,0.14456
2019/01/01 17:15:00,0.11999
2019/01/01 17:20:00,0.09572
2019/01/01 17:25:00,0.072577
2019/01/01 17:30:00,0.051273
2019/01/01 17:35:00,0.032452
2019/01/01 17:40:00,0.016742
2019/01/01 17:45:00,0.0047453
2019/01/01 17:50:00,-0.0030419
2019/01/01 17:55:00,-0.0063419
2019/01/01 18:00:00,-0.0051398
2019/01/01 18:05:00,0.00036017
2019/01/01 18:10:00,0.0099269
2019/01/01 18:15:00,0.023178
2019/01/01 18:20:00,0.039704
2019/01/01 18:25:00,0.059092
2019/01/01 18:30:00,0.080784
2019/01/01 18:35:00,0.1042
2019/01/01 18:40:00,0.12881
2019/01/01 18:45:00,0.15411
2019/01/01 18:50:00,0.17968
2019/01/01 18:55:00,0.20512
2019/01/01 19:00:00,0.22999
2019/01/01 19:05:00,0.25378
2019/01/01 19:10:00,0.27596
2019/01/01 19:15:00,0.29611
2019/01/01 19:20:00,0.31396
2019/01/01 19:25:00,0.32932
2019/01/01 19:30:00,0.34202
2019/01/01 19:35:00,0.35193
2019/01/01 19:40:00,0.35901
2019/01/01 19:45:00,0.36328
2019/01/01 19:50:00,0.36476
2019/01/01 19:55:00,0.36342
2019/01/01 20:00:00,0.35919
2019/01/01 20:05:00,0.35197
2019/01/01 20:10:00,0.34172
2019/01/01 20:15:00,0.32844
2019/01/01 20:20:00,0.31216
2019/01/01 20:25:00,0.29292
2019/01/01 20:30:00,0.27077
2019/01/01 20:35:00,0.24581
2019/01/01 20:40:00,0.21815
2019/01/01 20:45:00,0.18793
2019/01/01 20:50:00,0.15538
2019/01/01 20:55:00,0.12076
2019/01/01 21:00:00,0.084347
2019/01/01 21:05:00,0.046478
2019/01/01 21:10:00,0.0074939
2019/01/01 21:15:00,-0.032229
2019/01/01 21:20:00,-0.072274
2019/01/01 21:25:00,-0.11219
2019/01/01 21:30:00,-0.15153
2019/01/01 21:35:00,-0.18989
2019/01/01 21:40:00,-0.22692
2019/01/01 21:45:00,-0.26228
2019/01/01 21:50:00,-0.29563
2019/01/01 21:55:00,-0.32662
2019/01/01 22:00:00,-0.3549
2019/01/01 22:05:00,-0.3802
2019/01/01 22:10:00,-0.40227
2019/01/01 22:15:00,-0.42093
2019/01/01 22:20:00,-0.436
2019/01/01 22:25:00,-0.44737
2019/01/01 22:30:00,-0.45501
2019/01/01 22:35:00,-0.45891
2019/01/01 22:40:00,-0.45916
2019/01/01 22:45:00,-0.45591
2019/01/01 22:50:00,-0.44939
2019/01/01 22:55:00,-0.43979
2019/01/01 23:00:00,-0.42751
2019/01/01 23:05:00,-0.41319
2019/01/01 23:10:00,-0.39738
2019/01/01 23:15:00,-0.38072
2019/01/01 23:20:00,-0.3639
2019/01/01 23:25:00,-0.34754
2019/01/01 23:30:00,-0.33223
2019/01/01 23:35:00,-0.31847
2019/01/01 23:40:00,-0.30683
2019/01/01 23:45:00,-0.29785
2019/01/01 23:50:00,-0.29206
2019/01/01 23:55:00,-0.28988
2019/01/02 00:00:00,-0.29155
2019/01/02 00:05:00,-0.29711
2019/01/02 00:10:00,-0.30641
2019/01/02 00:15:00,-0.31926
2019/01/02 00:20:00,-0.33522
2019/01/02 00:25:00,-0.35391
2019/01/02 00:30:00,-0.37492
2019/01/02 00:35:00,-0.39774
2019/01/02 00:40:00,-0.42194
2019/01/02 00:45:00,-0.44705
2019/01/02 00:50:00,-0.47258
2019/01/02 00:55:00,-0.49808
2019/01/02 01:00:00,-0.523
2019/01/02 01:05:00,-0.54665
2019/01/02 01:10:00,-0.56825
2019/01/02 01:15:00,-0.58713
2019/01/02 01:20:00,-0.60278
2019/01/02 01:25:00,-0.6149
2019/01/02 01:30:00,-0.62334
2019/01/02 01:35:00,-0.62802
2019/01/02 01:40:00,-0.62891
2019/01/02 01:45:00,-0.62603
2019/01/02 01:50:00,-0.61948
2019/01/02 01:55:00,-0.60942
2019/01/02 02:00:00,-0.59596
2019/01/02 02:05:00,-0.57906
2019/01/02 02:10:00,-0.55937
2019/01/02 02:15:00,-0.53708
2019/01/02 02:20:00,-0.51233
2019/01/02 02:25:00,-0.48553
2019/01/02 02:30:00,-0.4569
2019/01/02 02:35:00,-0.42665
2019/01/02 02:40:00,-0.39496
2019/01/02 02:45:00,-0.36202
2019/01/02 02:50:00,-0.32817
2019/01/02 02:55:00,-0.2938
2019/01/02 03:00:00,-0.25937
2019/01/02 03:05:00,-0.22525
2019/01/02 03:10:00,-0.19166
2019/01/02 03:15:00,-0.15861
2019/01/02 03:20:00,-0.12604
2019/01/02 03:25:00,-0.093955
2019/01/02 03:30:00,-0.062403
2019/01/02 03:35:00,-0.031512
2019/01/02 03:40:00,-0.0014801
2019/01/02 03:45:00,0.0275
2019/01/02 03:50:00,0.055305
2019/01/02 03:55:00,0.081863
2019/01/02 04:00:00,0.10708
2019/01/02 04:05:00,0.13081
2019/01/02 04:10:00,0.15289
2019/01/02 04:15:00,0.17321
2019/01/02 04:20:00,0.19173
2019/01/02 04:25:00,0.20839
2019/01/02 04:30:00,0.22312
2019/01/02 04:35:00,0.23584
2019/01/02 04:40:00,0.24657
2019/01/02 04:45:00,0.25542
2019/01/02 04:50:00,0.26256
2019/01/02 04:55:00,0.26816
2019/01/02 05:00:00,0.27238
2019/01/02 05:05:00,0.27539
2019/01/02 05:10:00,0.27746
2019/01/02 05:15:00,0.27888
2019/01/02 05:20:00,0.28001
2019/01/02 05:25:00,0.2812
2019/01/02 05:30:00,0.28282
2019/01/02 05:35:00,0.28521
2019/01/02 05:40:00,0.28869
2019/01/02 05:45:00,0.29358
2019/01/02 05:50:00,0.3001
2019/01/02 05:55:00,0.30844
2019/01/02 06:00:00,0.31872
2019/01/02 06:05:00,0.33103
2019/01/02 06:10:00,0.3454
2019/01/02 06:15:00,0.36175
2019/01/02 06:20:00,0.37993
2019/01/02 06:25:00,0.39972
2019/01/02 06:30:00,0.4209
2019/01/02 06:35:00,0.44322
2019/01/02 06:40:00,0.4664
2019/01/02 06:45:00,0.49011
2019/01/02 06:50:00,0.51395
2019/01/02 06:55:00,0.53743
2019/01/02 07:00:00,0.5601
2019/01/02 07:05:00,0.58154
2019/01/02 07:10:00,0.60142
2019/01/02 07:15:00,0.61948
2019/01/02 07:20:00,0.6355
2019/01/02 07:25:00,0.64925
2019/01/02 07:30:00,0.66052
2019/01/02 07:35:00,0.66916
2019/01/02 07:40:00,0.67506
2019/01/02 07:45:00,0.67815
2019/01/02 07:50:00,0.67842
2019/01/02 07:55:00,0.67585
2019/01/02 08:00:00,0.67044
2019/01/02 08:05:00,0.66222
2019/01/02 08:10:00,0.65128
2019/01/02 08:15:00,0.63771
2019/01/02 08:20:00,0.62162
2019/01/02 08:25:00,0.60315
2019/01/02 08:30:00,0.58249
2019/01/02 08:35:00,0.55988
2019/01/02 08:40:00,0.53565
2019/01/02 08:45:00,0.51009
2019/01/02 08:50:00,0.48352
2019/01/02 08:55:00,0.45618
2019/01/02 09:00:00,0.42832
2019/01/02 09:05:00,0.4002
2019/01/02 09:10:00,0.37205
2019/01/02 09:15:00,0.34413
2019/01/02 09:20:00,0.31665
2019/01/02 09:25:00,0.2898
2019/01/02 09:30:00,0.26371
2019/01/02 09:35:00,0.2385
2019/01/02 09:40:00,0.21423
2019/01/02 09:45:00,0.19096
2019/01/02 09:50:00,0.16874
2019/01/02 09:55:00,0.14762
2019/01/02 10:00:00,0.12765
2019/01/02 10:05:00,0.10887
2019/01/02 10:10:00,0.091311
2019/01/02 10:15:00,0.075011
2019/01/02 10:20:00,0.059961
2019/01/02 10:25:00,0.046134
2019/01/02 10:30:00,0.033495
2019/01/02 10:35:00,0.021999
2019/01/02 10:40:00,0.011581
2019/01/02 10:45:00,0.0021578
2019/01/02 10:50:00,-0.006382
2019/01/02 10:55:00,-0.014195
2019/01/02 11:00:00,-0.021476
2019/01/02 11:05:00,-0.028435
2019/01/02 11:10:00,-0.035281
2019/01/02 11:15:00,-0.042211
2019/01/02 11:20:00,-0.049407
2019/01/02 11:25:00,-0.057034
2019/01/02 11:30:00,-0.065253
2019/01/02 11:35:00,-0.074221
2019/01/02 11:40:00,-0.08409
2019/01/02 11:45:00,-0.094998
2019/01/02 11:50:00,-0.10707
2019/01/02 11:55:00,-0.12039
2019/01/02 12:00:00,-0.13504
2019/01/02 12:05:00,-0.15104
2019/01/02 12:10:00,-0.16838
2019/01/02 12:15:00,-0.18699
2019/01/02 12:20:00,-0.20675
2019/01/02 12:25:00,-0.2275
2019/01/02 12:30:00,-0.24903
2019/01/02 12:35:00,-0.27112
2019/01/02 12:40:00,-0.29349
2019/01/02 12:45:00,-0.31586
2019/01/02 12:50:00,-0.33793
2019/01/02 12:55:00,-0.35941
2019/01/02 13:00:00,-0.38001
2019/01/02 13:05:00,-0.39944
2019/01/02 13:10:00,-0.41743
2019/01/02 13:15:00,-0.43374
2019/01/02 13:20:00,-0.44814
2019/01/02 13:25:00,-0.46045
2019/01/02 13:30:00,-0.4705
2019/01/02 13:35:00,-0.47817
2019/01/02 13:40:00,-0.48338
2019/01/02 13:45:00,-0.48608
2019/01/02 13:50:00,-0.48628
2019/01/02 13:55:00,-0.48401
2019/01/02 14:00:00,-0.47934
2019/01/02 14:05:00,-0.4723
2019/01/02 14:10:00,-0.46304
2019/01/02 14:15:00,-0.45176
2019/01/02 14:20:00,-0.43863
2019/01/02 14:25:00,-0.42389
