Time [yyyy/MM/dd HH:mm:ss],Skarfagardur: water level (waterlevel) at Skarfagardur_ FlowFM [m]
2019/01/01 00:00:00,0
2019/01/01 00:05:00,3.7323E-95
2019/01/01 00:10:00,5.0336E-45
2019/01/01 00:15:00,6.8128E-25
2019/01/01 00:20:00,4.0923E-17
2019/01/01 00:25:00,2.4319E-15
2019/01/01 00:30:00,7.1165E-14
2019/01/01 00:35:00,1.366E-12
2019/01/01 00:40:00,1.933E-11
2019/01/01 00:45:00,2.1493E-10
2019/01/01 00:50:00,1.9542E-09
2019/01/01 00:55:00,1.4932E-08
2019/01/01 01:00:00,9.7803E-08
2019/01/01 01:05:00,5.5734E-07
2019/01/01 01:10:00,2.7954E-06
2019/01/01 01:15:00,1.2455E-05
2019/01/01 01:20:00,4.9657E-05
2019/01/01 01:25:00,0.00017826
2019/01/01 01:30:00,0.00057914
2019/01/01 01:35:00,0.0017102
2019/01/01 01:40:00,0.0046075
2019/01/01 01:45:00,0.011365
2019/01/01 01:50:00,0.02575
2019/01/01 01:55:00,0.05377
2019/01/01 02:00:00,0.10382
2019/01/01 02:05:00,0.18586
2019/01/01 02:10:00,0.30906
2019/01/01 02:15:00,0.47813
2019/01/01 02:20:00,0.69036
2019/01/01 02:25:00,0.93585
2019/01/01 02:30:00,1.2008
2019/01/01 02:35:00,1.4687
2019/01/01 02:40:00,1.7263
2019/01/01 02:45:00,1.972
2019/01/01 02:50:00,2.199
2019/01/01 02:55:00,2.3863
2019/01/01 03:00:00,2.5147
2019/01/01 03:05:00,2.5724
2019/01/01 03:10:00,2.5537
2019/01/01 03:15:00,2.4644
2019/01/01 03:20:00,2.3045
2019/01/01 03:25:00,2.1081
2019/01/01 03:30:00,1.921
2019/01/01 03:35:00,1.7693
2019/01/01 03:40:00,1.609
2019/01/01 03:45:00,1.4185
2019/01/01 03:50:00,1.2347
2019/01/01 03:55:00,1.0628
2019/01/01 04:00:00,0.87299
2019/01/01 04:05:00,0.65427
2019/01/01 04:10:00,0.42251
2019/01/01 04:15:00,0.19276
2019/01/01 04:20:00,-0.031212
2019/01/01 04:25:00,-0.24804
2019/01/01 04:30:00,-0.44859
2019/01/01 04:35:00,-0.61527
2019/01/01 04:40:00,-0.73258
2019/01/01 04:45:00,-0.79795
2019/01/01 04:50:00,-0.81977
2019/01/01 04:55:00,-0.80585
2019/01/01 05:00:00,-0.75799
2019/01/01 05:05:00,-0.6783
2019/01/01 05:10:00,-0.57592
2019/01/01 05:15:00,-0.46395
2019/01/01 05:20:00,-0.35302
2019/01/01 05:25:00,-0.2532
2019/01/01 05:30:00,-0.1784
2019/01/01 05:35:00,-0.14322
2019/01/01 05:40:00,-0.13955
2019/01/01 05:45:00,-0.16025
