Time [yyyy/MM/dd HH:mm:ss],Torlakshofn: water level (waterlevel) at Torlakshofn_ FlowFM [m]
2019/01/01 00:00:00,0
2019/01/01 00:05:00,2.8447E-47
2019/01/01 00:10:00,5.6662E-24
2019/01/01 00:15:00,3.9957E-13
2019/01/01 00:20:00,7.8557E-09
2019/01/01 00:25:00,2.2475E-07
2019/01/01 00:30:00,3.1565E-06
2019/01/01 00:35:00,2.8835E-05
2019/01/01 00:40:00,0.0001919
2019/01/01 00:45:00,0.00098874
2019/01/01 00:50:00,0.0040949
2019/01/01 00:55:00,0.013977
2019/01/01 01:00:00,0.040012
2019/01/01 01:05:00,0.097364
2019/01/01 01:10:00,0.20362
2019/01/01 01:15:00,0.3694
2019/01/01 01:20:00,0.58629
2019/01/01 01:25:00,0.823
2019/01/01 01:30:00,1.0397
2019/01/01 01:35:00,1.2138
2019/01/01 01:40:00,1.3532
2019/01/01 01:45:00,1.4786
2019/01/01 01:50:00,1.5898
2019/01/01 01:55:00,1.6552
2019/01/01 02:00:00,1.6352
2019/01/01 02:05:00,1.5128
2019/01/01 02:10:00,1.3018
2019/01/01 02:15:00,1.0382
2019/01/01 02:20:00,0.76579
2019/01/01 02:25:00,0.52528
2019/01/01 02:30:00,0.34081
2019/01/01 02:35:00,0.21105
2019/01/01 02:40:00,0.11554
2019/01/01 02:45:00,0.034074
2019/01/01 02:50:00,-0.035749
2019/01/01 02:55:00,-0.076607
2019/01/01 03:00:00,-0.066124
2019/01/01 03:05:00,0.0072938
2019/01/01 03:10:00,0.1345
2019/01/01 03:15:00,0.28761
2019/01/01 03:20:00,0.43025
2019/01/01 03:25:00,0.53159
2019/01/01 03:30:00,0.58154
2019/01/01 03:35:00,0.59919
2019/01/01 03:40:00,0.62411
2019/01/01 03:45:00,0.69005
2019/01/01 03:50:00,0.79972
2019/01/01 03:55:00,0.91945
2019/01/01 04:00:00,0.99875
2019/01/01 04:05:00,0.99886
2019/01/01 04:10:00,0.91714
2019/01/01 04:15:00,0.78325
2019/01/01 04:20:00,0.62737
2019/01/01 04:25:00,0.45999
2019/01/01 04:30:00,0.2773
2019/01/01 04:35:00,0.075967
2019/01/01 04:40:00,-0.13817
2019/01/01 04:45:00,-0.35101
2019/01/01 04:50:00,-0.54565
2019/01/01 04:55:00,-0.70608
2019/01/01 05:00:00,-0.81768
2019/01/01 05:05:00,-0.869
2019/01/01 05:10:00,-0.85434
2019/01/01 05:15:00,-0.77817
2019/01/01 05:20:00,-0.66241
2019/01/01 05:25:00,-0.5355
2019/01/01 05:30:00,-0.42203
2019/01/01 05:35:00,-0.33624
2019/01/01 05:40:00,-0.27844
2019/01/01 05:45:00,-0.23725
2019/01/01 05:50:00,-0.19947
2019/01/01 05:55:00,-0.15972
2019/01/01 06:00:00,-0.12353
2019/01/01 06:05:00,-0.10303
2019/01/01 06:10:00,-0.10931
2019/01/01 06:15:00,-0.14651
2019/01/01 06:20:00,-0.21019
2019/01/01 06:25:00,-0.29123
2019/01/01 06:30:00,-0.38139
2019/01/01 06:35:00,-0.47649
2019/01/01 06:40:00,-0.57638
2019/01/01 06:45:00,-0.68279
2019/01/01 06:50:00,-0.79663
2019/01/01 06:55:00,-0.91612
2019/01/01 07:00:00,-1.0358
2019/01/01 07:05:00,-1.1474
2019/01/01 07:10:00,-1.2418
2019/01/01 07:15:00,-1.3115
2019/01/01 07:20:00,-1.3511
2019/01/01 07:25:00,-1.3577
2019/01/01 07:30:00,-1.331
2019/01/01 07:35:00,-1.2748
2019/01/01 07:40:00,-1.1972
2019/01/01 07:45:00,-1.108
2019/01/01 07:50:00,-1.0164
2019/01/01 07:55:00,-0.92925
2019/01/01 08:00:00,-0.85074
2019/01/01 08:05:00,-0.7826
2019/01/01 08:10:00,-0.72582
2019/01/01 08:15:00,-0.68202
2019/01/01 08:20:00,-0.65418
2019/01/01 08:25:00,-0.6459
2019/01/01 08:30:00,-0.66004
2019/01/01 08:35:00,-0.69662
2019/01/01 08:40:00,-0.75183
2019/01/01 08:45:00,-0.81895
2019/01/01 08:50:00,-0.89014
2019/01/01 08:55:00,-0.95838
2019/01/01 09:00:00,-1.019
2019/01/01 09:05:00,-1.07
2019/01/01 09:10:00,-1.1112
2019/01/01 09:15:00,-1.1427
2019/01/01 09:20:00,-1.1639
2019/01/01 09:25:00,-1.1725
2019/01/01 09:30:00,-1.1651
2019/01/01 09:35:00,-1.1375
2019/01/01 09:40:00,-1.0878
2019/01/01 09:45:00,-1.0171
2019/01/01 09:50:00,-0.92975
2019/01/01 09:55:00,-0.83148
2019/01/01 10:00:00,-0.7281
2019/01/01 10:05:00,-0.62441
2019/01/01 10:10:00,-0.5241
2019/01/01 10:15:00,-0.42994
2019/01/01 10:20:00,-0.34408
2019/01/01 10:25:00,-0.26859
2019/01/01 10:30:00,-0.20589
2019/01/01 10:35:00,-0.1585
2019/01/01 10:40:00,-0.12805
2019/01/01 10:45:00,-0.11429
2019/01/01 10:50:00,-0.115
2019/01/01 10:55:00,-0.12665
2019/01/01 11:00:00,-0.1455
2019/01/01 11:05:00,-0.16813
2019/01/01 11:10:00,-0.19172
2019/01/01 11:15:00,-0.21386
2019/01/01 11:20:00,-0.23218
2019/01/01 11:25:00,-0.24405
2019/01/01 11:30:00,-0.24642
