 Timabil 	 Flodatafla (m)	Sjavarhaed (m)	Vindur (m/s)	Hvida (m/s)	Vindatt (deg)	Loftthrystingur (hpa)	Lofthiti (degC)	Sjavarhiti (degC)	
00:00 01.01.2020 	 2,75 	 2,98 	 12 	 15 	 205 	 800 	 4,5 	 2,4 	  
23:50 31.12.2019 	 2,83 	 3,1 	 12 	 16 	 202 	 800 	 4,6 	 2,4 	  
23:40 31.12.2019 	 2,91 	 3,16 	 11 	 13 	 200 	 800 	 4,5 	 2,4 	  
23:30 31.12.2019 	 2,97 	 3,21 	 10 	 13 	 196 	 800 	 4,5 	 2,4 	  
23:20 31.12.2019 	 3,03 	 3,29 	 10 	 12 	 192 	 800 	 4,4 	 2,4 	  
23:10 31.12.2019 	 3,09 	 3,31 	 10 	 12 	 193 	 800 	 4,4 	 2,4 	  
23:00 31.12.2019 	 3,14 	 3,32 	 10 	 12 	 191 	 800 	 4,5 	 2,4 	  
22:50 31.12.2019 	 3,18 	 3,36 	 10 	 12 	 190 	 800 	 4,5 	 2,4 	  
22:40 31.12.2019 	 3,22 	 3,38 	 9 	 11 	 188 	 800 	 4,4 	 2,4 	  
22:30 31.12.2019 	 3,24 	 3,44 	 9 	 10 	 189 	 800 	 4,4 	 2,4 	  
22:20 31.12.2019 	 3,26 	 3,4 	 9 	 10 	 184 	 800 	 4,4 	 2,4 	  
22:00 31.12.2019 	 3,28 	 3,41 	 9 	 10 	 196 	 800 	 4,5 	 2,4 	  
21:50 31.12.2019 	 3,28 	 3,41 	 10 	 12 	 201 	 800 	 4,5 	 2,4 	  
21:40 31.12.2019 	 3,26 	 3,39 	 11 	 13 	 203 	 800 	 4,8 	 2,4 	  
21:30 31.12.2019 	 3,24 	 3,35 	 9 	 11 	 198 	 800 	 4,5 	 2,4 	  
21:20 31.12.2019 	 3,22 	 3,33 	 10 	 12 	 202 	 800 	 4,5 	 2,4 	  
21:10 31.12.2019 	 3,18 	 3,33 	 11 	 14 	 199 	 800 	 4,6 	 2,4 	  
21:00 31.12.2019 	 3,14 	 3,27 	 10 	 11 	 198 	 800 	 4,6 	 2,4 	  
20:50 31.12.2019 	 3,09 	 3,25 	 10 	 12 	 197 	 800 	 4,7 	 2,4 	  
20:40 31.12.2019 	 3,04 	 3,21 	 12 	 14 	 201 	 800 	 4,9 	 2,4 	  
20:30 31.12.2019 	 2,97 	 3,12 	 11 	 16 	 191 	 800 	 4,8 	 2,4 	  
20:20 31.12.2019 	 2,91 	 3,08 	 9 	 12 	 188 	 800 	 4,5 	 2,5 	  
20:10 31.12.2019 	 2,83 	 3 	 11 	 12 	 184 	 800 	 4,6 	 2,4 	  
20:00 31.12.2019 	 2,76 	 2,94 	 9 	 12 	 185 	 800 	 4,6 	 2,4 	  
19:50 31.12.2019 	 2,67 	 2,86 	 9 	 11 	 186 	 800 	 4,6 	 2,4 	  
19:40 31.12.2019 	 2,59 	 2,74 	 9 	 10 	 188 	 800 	 4,4 	 2,4 	  
19:30 31.12.2019 	 2,5 	 2,64 	 8 	 10 	 185 	 800 	 4,5 	 2,4 	  
19:20 31.12.2019 	 2,41 	 2,54 	 8 	 10 	 181 	 800 	 4,3 	 2,4 	  
19:10 31.12.2019 	 2,31 	 2,44 	 8 	 10 	 181 	 800 	 4,3 	 2,4 	  
19:00 31.12.2019 	 2,22 	 2,3 	 9 	 10 	 185 	 800 	 4,2 	 2,4 	  
18:50 31.12.2019 	 2,12 	 2,21 	 8 	 12 	 179 	 800 	 4,4 	 2,4 	  
18:40 31.12.2019 	 2,02 	 2,08 	 8 	 10 	 177 	 800 	 4,3 	 2,4 	  
18:30 31.12.2019 	 1,93 	 1,98 	 9 	 10 	 177 	 800 	 4,3 	 2,4 	  
18:20 31.12.2019 	 1,83 	 1,83 	 9 	 10 	 178 	 800 	 4,2 	 2,4 	  
18:10 31.12.2019 	 1,74 	 1,77 	 8 	 9 	 178 	 800 	 4,2 	 2,4 	  
18:00 31.12.2019 	 1,65 	 1,66 	 8 	 9 	 177 	 800 	 4 	 2,4 	  
17:50 31.12.2019 	 1,56 	 1,58 	 8 	 10 	 179 	 800 	 4,1 	 2,4 	  
17:40 31.12.2019 	 1,48 	 1,48 	 8 	 10 	 179 	 800 	 4 	 2,4 	  
17:30 31.12.2019 	 1,4 	 1,41 	 8 	 9 	 177 	 800 	 3,7 	 2,4 	  
17:20 31.12.2019 	 1,32 	 1,32 	 7 	 8 	 178 	 800 	 3,5 	 2,4 	  
17:10 31.12.2019 	 1,26 	 1,27 	 7 	 8 	 180 	 800 	 3,6 	 2,4 	  
17:00 31.12.2019 	 1,19 	 1,19 	 6 	 7 	 179 	 800 	 3,5 	 2,4 	  
16:50 31.12.2019 	 1,14 	 1,18 	 6 	 7 	 181 	 800 	 3,5 	 2,4 	  
16:40 31.12.2019 	 1,1 	 1,15 	 6 	 7 	 191 	 800 	 3,5 	 2,4 	  
16:30 31.12.2019 	 1,06 	 1,11 	 5 	 6 	 191 	 800 	 3,5 	 2,4 	  
16:20 31.12.2019 	 1,03 	 1,14 	 5 	 6 	 195 	 800 	 3,5 	 2,4 	  
16:10 31.12.2019 	 1,01 	 1,12 	 5 	 6 	 207 	 800 	 3,6 	 2,4 	  
16:00 31.12.2019 	 1 	 1,09 	 5 	 6 	 213 	 800 	 3,6 	 2,4 	  
15:50 31.12.2019 	 1 	 1,11 	 5 	 6 	 219 	 800 	 3,6 	 2,4 	  
15:40 31.12.2019 	 1,01 	 1,16 	 4 	 5 	 231 	 800 	 3,7 	 2,4 	  
15:30 31.12.2019 	 1,03 	 1,11 	 4 	 5 	 216 	 800 	 3,6 	 2,4 	  
15:20 31.12.2019 	 1,06 	 1,19 	 4 	 6 	 210 	 800 	 3,6 	 2,4 	  
15:10 31.12.2019 	 1,09 	 1,18 	 4 	 5 	 204 	 800 	 3,5 	 2,4 	  
15:00 31.12.2019 	 1,14 	 1,26 	 4 	 5 	 211 	 800 	 3,5 	 2,4 	  
14:50 31.12.2019 	 1,2 	 1,28 	 4 	 5 	 213 	 800 	 3,6 	 2,4 	  
14:40 31.12.2019 	 1,26 	 1,42 	 4 	 4 	 212 	 800 	 3,6 	 2,3 	  
14:30 31.12.2019 	 1,33 	 1,46 	 4 	 5 	 206 	 800 	 3,5 	 2,3 	  
14:20 31.12.2019 	 1,41 	 1,53 	 4 	 5 	 215 	 800 	 3,6 	 2,3 	  
14:10 31.12.2019 	 1,5 	 1,65 	 3 	 4 	 216 	 800 	 3,6 	 2,3 	  
14:00 31.12.2019 	 1,59 	 1,77 	 3 	 3 	 210 	 800 	 3,5 	 2,3 	  
13:50 31.12.2019 	 1,69 	 1,83 	 3 	 4 	 206 	 800 	 3,4 	 2,3 	  
13:40 31.12.2019 	 1,79 	 1,98 	 3 	 4 	 200 	 800 	 3,5 	 2,3 	  
13:30 31.12.2019 	 1,89 	 2,08 	 3 	 4 	 200 	 800 	 3,5 	 2,3 	  
13:20 31.12.2019 	 2 	 2,14 	 3 	 4 	 204 	 800 	 3,4 	 2,3 	  
13:10 31.12.2019 	 2,11 	 2,3 	 3 	 3 	 204 	 800 	 3,3 	 2,3 	  
13:00 31.12.2019 	 2,22 	 2,37 	 3 	 3 	 189 	 800 	 3,4 	 2,3 	  
12:50 31.12.2019 	 2,33 	 2,49 	 3 	 4 	 186 	 800 	 3,6 	 2,3 	  
12:40 31.12.2019 	 2,44 	 2,6 	 3 	 4 	 195 	 800 	 3,6 	 2,3 	  
12:30 31.12.2019 	 2,56 	 2,71 	 3 	 4 	 199 	 800 	 3,6 	 2,3 	  
12:20 31.12.2019 	 2,66 	 2,82 	 3 	 4 	 207 	 800 	 3,6 	 2,3 	  
12:10 31.12.2019 	 2,77 	 2,98 	 4 	 4 	 207 	 800 	 3,6 	 2,3 	  
12:00 31.12.2019 	 2,87 	 3,03 	 4 	 5 	 203 	 800 	 3,8 	 2,3 	  
11:50 31.12.2019 	 2,97 	 3,16 	 5 	 5 	 193 	 800 	 4 	 2,3 	  
11:40 31.12.2019 	 3,07 	 3,24 	 5 	 6 	 191 	 800 	 4,1 	 2,3 	  
11:30 31.12.2019 	 3,16 	 3,35 	 6 	 7 	 185 	 800 	 4,2 	 2,3 	  
11:20 31.12.2019 	 3,24 	 3,45 	 5 	 6 	 166 	 800 	 3,8 	 2,3 	  
11:10 31.12.2019 	 3,32 	 3,49 	 5 	 6 	 160 	 800 	 3,7 	 2,3 	  
11:00 31.12.2019 	 3,39 	 3,58 	 5 	 6 	 163 	 800 	 3,6 	 2,3 	  
10:50 31.12.2019 	 3,45 	 3,6 	 5 	 5 	 175 	 800 	 4 	 2,3 	  
10:40 31.12.2019 	 3,51 	 3,65 	 5 	 6 	 175 	 800 	 4 	 2,3 	  
10:30 31.12.2019 	 3,55 	 3,67 	 5 	 5 	 167 	 800 	 3,9 	 2,3 	  
10:20 31.12.2019 	 3,59 	 3,72 	 6 	 6 	 180 	 800 	 4 	 2,3 	  
10:10 31.12.2019 	 3,63 	 3,76 	 5 	 6 	 181 	 800 	 4,3 	 2,3 	  
10:00 31.12.2019 	 3,65 	 3,76 	 6 	 8 	 174 	 800 	 4,3 	 2,3 	  
09:50 31.12.2019 	 3,66 	 3,76 	 6 	 8 	 164 	 800 	 4,6 	 2,3 	  
09:40 31.12.2019 	 3,67 	 3,77 	 7 	 9 	 151 	 800 	 4,6 	 2,3 	  
09:30 31.12.2019 	 3,66 	 3,79 	 7 	 9 	 158 	 800 	 4,3 	 2,3 	  
09:20 31.12.2019 	 3,65 	 3,74 	 6 	 8 	 161 	 800 	 4 	 2,3 	  
09:10 31.12.2019 	 3,63 	 3,71 	 6 	 7 	 159 	 800 	 3,8 	 2,3 	  
09:00 31.12.2019 	 3,6 	 3,69 	 7 	 9 	 150 	 800 	 3,8 	 2,2 	  
08:50 31.12.2019 	 3,57 	 3,66 	 5 	 8 	 152 	 800 	 3,7 	 2,2 	  
08:40 31.12.2019 	 3,52 	 3,6 	 4 	 6 	 161 	 800 	 3,7 	 2,2 	  
08:30 31.12.2019 	 3,47 	 3,58 	 6 	 8 	 166 	 800 	 3,8 	 2,2 	  
08:20 31.12.2019 	 3,41 	 3,51 	 8 	 9 	 174 	 800 	 4 	 2,2 	  
08:10 31.12.2019 	 3,34 	 3,46 	 8 	 9 	 184 	 800 	 4,1 	 2,2 	  
08:00 31.12.2019 	 3,27 	 3,4 	 9 	 11 	 190 	 800 	 4,2 	 2,2 	  
07:50 31.12.2019 	 3,19 	 3,29 	 10 	 12 	 192 	 800 	 4,3 	 2,2 	  
07:40 31.12.2019 	 3,1 	 3,23 	 11 	 13 	 188 	 800 	 4,4 	 2,2 	  
07:30 31.12.2019 	 3,01 	 3,1 	 11 	 13 	 185 	 800 	 4,4 	 2,2 	  
07:20 31.12.2019 	 2,91 	 3,01 	 11 	 13 	 183 	 800 	 4,4 	 2,2 	  
07:10 31.12.2019 	 2,81 	 2,9 	 12 	 15 	 187 	 800 	 4,3 	 2,2 	  
07:00 31.12.2019 	 2,71 	 2,73 	 12 	 14 	 187 	 800 	 4,5 	 2,2 	  
06:50 31.12.2019 	 2,6 	 2,65 	 13 	 16 	 188 	 800 	 4,5 	 2,2 	  
06:40 31.12.2019 	 2,5 	 2,5 	 13 	 15 	 189 	 800 	 4,4 	 2,2 	  
06:30 31.12.2019 	 2,38 	 2,37 	 12 	 15 	 183 	 800 	 4,5 	 2,2 	  
06:20 31.12.2019 	 2,27 	 2,24 	 11 	 13 	 178 	 800 	 4,4 	 2,2 	  
06:10 31.12.2019 	 2,16 	 2,15 	 8 	 11 	 172 	 800 	 4,3 	 2,2 	  
06:00 31.12.2019 	 2,05 	 2,01 	 9 	 10 	 156 	 800 	 4,2 	 2,2 	  
05:50 31.12.2019 	 1,94 	 1,88 	 9 	 12 	 148 	 800 	 4 	 2,2 	  
05:40 31.12.2019 	 1,83 	 1,8 	 9 	 11 	 145 	 800 	 3,8 	 2,2 	  
05:30 31.12.2019 	 1,73 	 1,65 	 9 	 12 	 144 	 800 	 3,7 	 2,2 	  
05:20 31.12.2019 	 1,63 	 1,57 	 8 	 11 	 141 	 800 	 3,7 	 2,2 	  
05:10 31.12.2019 	 1,53 	 1,46 	 8 	 11 	 143 	 800 	 3,5 	 2,2 	  
05:00 31.12.2019 	 1,44 	 1,4 	 8 	 11 	 144 	 800 	 3,4 	 2,2 	  
04:50 31.12.2019 	 1,35 	 1,3 	 9 	 12 	 146 	 800 	 3,5 	 2,2 	  
04:40 31.12.2019 	 1,27 	 1,18 	 9 	 11 	 148 	 800 	 3,4 	 2,2 	  
04:30 31.12.2019 	 1,2 	 1,11 	 10 	 12 	 150 	 800 	 3,5 	 2,2 	  
04:20 31.12.2019 	 1,14 	 1,03 	 10 	 13 	 150 	 800 	 3,5 	 2,2 	  
04:10 31.12.2019 	 1,08 	 0,96 	 10 	 12 	 149 	 800 	 3,5 	 2,2 	  
04:00 31.12.2019 	 1,04 	 0,92 	 10 	 13 	 146 	 800 	 3,5 	 2,2 	  
03:50 31.12.2019 	 1 	 0,87 	 8 	 12 	 143 	 800 	 3,4 	 2,2 	  
03:40 31.12.2019 	 0,97 	 0,87 	 8 	 12 	 140 	 800 	 3,2 	 2,2 	  
03:30 31.12.2019 	 0,95 	 0,8 	 8 	 11 	 140 	 800 	 3,2 	 2,2 	  
03:20 31.12.2019 	 0,94 	 0,84 	 7 	 10 	 139 	 800 	 3 	 2,2 	  
03:10 31.12.2019 	 0,95 	 0,79 	 6 	 10 	 138 	 800 	 2,8 	 2,3 	  
03:00 31.12.2019 	 0,96 	 0,82 	 7 	 10 	 139 	 800 	 2,9 	 2,3 	  
02:50 31.12.2019 	 0,98 	 0,86 	 7 	 10 	 146 	 800 	 2,9 	 2,3 	  
02:40 31.12.2019 	 1,01 	 0,89 	 8 	 11 	 162 	 800 	 3,1 	 2,3 	  
02:30 31.12.2019 	 1,05 	 0,91 	 8 	 12 	 165 	 800 	 3 	 2,3 	  
02:20 31.12.2019 	 1,11 	 0,96 	 8 	 11 	 171 	 800 	 3,1 	 2,3 	  
02:10 31.12.2019 	 1,16 	 1,03 	 8 	 11 	 167 	 800 	 3 	 2,3 	  
02:00 31.12.2019 	 1,23 	 1,09 	 9 	 12 	 171 	 800 	 3,1 	 2,3 	  
01:50 31.12.2019 	 1,31 	 1,18 	 7 	 8 	 163 	 800 	 2,9 	 2,3 	  
01:40 31.12.2019 	 1,39 	 1,27 	 7 	 8 	 185 	 800 	 3,1 	 2,3 	  
01:30 31.12.2019 	 1,48 	 1,37 	 8 	 10 	 199 	 800 	 3,1 	 2,3 	  
01:20 31.12.2019 	 1,57 	 1,48 	 10 	 12 	 203 	 800 	 3,3 	 2,3 	  
01:10 31.12.2019 	 1,67 	 1,6 	 9 	 11 	 196 	 800 	 3,4 	 2,3 	  
01:00 31.12.2019 	 1,77 	 1,71 	 9 	 11 	 190 	 800 	 3,2 	 2,3 	  
00:50 31.12.2019 	 1,87 	 1,81 	 9 	 11 	 188 	 800 	 3,2 	 2,3 	  
00:40 31.12.2019 	 1,98 	 1,91 	 9 	 12 	 187 	 800 	 3,2 	 2,3 	  
00:30 31.12.2019 	 2,09 	 2,06 	 8 	 11 	 160 	 800 	 3,1 	 2,3 	  
00:20 31.12.2019 	 2,2 	 2,13 	 7 	 8 	 155 	 800 	 3 	 2,3 	  
00:10 31.12.2019 	 2,31 	 2,28 	 7 	 8 	 150 	 800 	 3 	 2,3 	  
00:00 31.12.2019 	 2,41 	 2,38 	 7 	 8 	 151 	 800 	 3,1 	 2,3 	  
23:50 30.12.2019 	 2,52 	 2,48 	 7 	 9 	 154 	 800 	 3,1 	 2,3 	  
23:40 30.12.2019 	 2,62 	 2,56 	 7 	 9 	 161 	 800 	 3,2 	 2,3 	  
23:30 30.12.2019 	 2,72 	 2,68 	 8 	 10 	 177 	 800 	 3,3 	 2,3 	  
23:20 30.12.2019 	 2,82 	 2,79 	 7 	 9 	 182 	 800 	 3,3 	 2,3 	  
23:10 30.12.2019 	 2,91 	 2,87 	 7 	 9 	 188 	 800 	 3,3 	 2,3 	  
23:00 30.12.2019 	 2,99 	 2,91 	 8 	 10 	 198 	 800 	 3,3 	 2,3 	  
22:50 30.12.2019 	 3,07 	 3,04 	 9 	 12 	 189 	 800 	 3,4 	 2,3 	  
22:40 30.12.2019 	 3,14 	 3,1 	 7 	 8 	 173 	 800 	 3 	 2,3 	  
22:30 30.12.2019 	 3,21 	 3,15 	 7 	 9 	 184 	 800 	 3,2 	 2,3 	  
22:20 30.12.2019 	 3,26 	 3,16 	 7 	 8 	 184 	 800 	 3,2 	 2,3 	  
22:10 30.12.2019 	 3,31 	 3,23 	 6 	 8 	 182 	 800 	 3,1 	 2,3 	  
22:00 30.12.2019 	 3,36 	 3,25 	 7 	 9 	 196 	 800 	 3,1 	 2,2 	  
21:50 30.12.2019 	 3,39 	 3,27 	 8 	 11 	 205 	 800 	 3,1 	 2,2 	  
21:40 30.12.2019 	 3,41 	 3,3 	 8 	 9 	 190 	 800 	 3,2 	 2,2 	  
21:30 30.12.2019 	 3,43 	 3,35 	 8 	 9 	 191 	 800 	 3,1 	 2,2 	  
21:20 30.12.2019 	 3,44 	 3,32 	 6 	 9 	 197 	 800 	 3,3 	 2,2 	  
21:10 30.12.2019 	 3,43 	 3,34 	 6 	 7 	 199 	 800 	 3,2 	 2,2 	  
21:00 30.12.2019 	 3,42 	 3,34 	 7 	 9 	 197 	 800 	 3,3 	 2,2 	  
20:50 30.12.2019 	 3,4 	 3,32 	 7 	 9 	 197 	 800 	 3,3 	 2,3 	  
20:40 30.12.2019 	 3,37 	 3,3 	 7 	 9 	 196 	 800 	 3,1 	 2,3 	  
20:30 30.12.2019 	 3,34 	 3,28 	 6 	 8 	 198 	 800 	 3,2 	 2,3 	  
20:20 30.12.2019 	 3,29 	 3,23 	 7 	 8 	 223 	 800 	 3,4 	 2,3 	  
20:10 30.12.2019 	 3,24 	 3,19 	 7 	 9 	 237 	 800 	 3,6 	 2,3 	  
20:00 30.12.2019 	 3,18 	 3,15 	 9 	 12 	 238 	 800 	 3,6 	 2,3 	  
19:50 30.12.2019 	 3,11 	 3,05 	 8 	 10 	 226 	 800 	 3,8 	 2,3 	  
19:40 30.12.2019 	 3,03 	 3 	 7 	 8 	 215 	 800 	 3,5 	 2,3 	  
19:30 30.12.2019 	 2,95 	 2,91 	 5 	 7 	 203 	 800 	 3,2 	 2,3 	  
19:20 30.12.2019 	 2,86 	 2,82 	 6 	 7 	 225 	 800 	 3,3 	 2,3 	  
19:10 30.12.2019 	 2,77 	 2,73 	 7 	 11 	 200 	 800 	 2,9 	 2,3 	  
19:00 30.12.2019 	 2,67 	 2,63 	 9 	 11 	 175 	 800 	 2,5 	 2,3 	  
18:50 30.12.2019 	 2,57 	 2,52 	 9 	 11 	 184 	 800 	 2,6 	 2,3 	  
18:40 30.12.2019 	 2,46 	 2,38 	 9 	 12 	 180 	 800 	 2,4 	 2,3 	  
18:30 30.12.2019 	 2,36 	 2,25 	 11 	 14 	 174 	 800 	 2,6 	 2,3 	  
18:20 30.12.2019 	 2,24 	 2,15 	 10 	 13 	 164 	 800 	 2,6 	 2,3 	  
18:10 30.12.2019 	 2,13 	 2,02 	 8 	 10 	 150 	 800 	 2,6 	 2,3 	  
18:00 30.12.2019 	 2,02 	 1,85 	 7 	 9 	 145 	 800 	 2,6 	 2,3 	  
17:50 30.12.2019 	 1,91 	 1,76 	 6 	 9 	 142 	 800 	 2,5 	 2,4 	  
17:40 30.12.2019 	 1,8 	 1,63 	 5 	 8 	 139 	 800 	 2,4 	 2,4 	  
17:30 30.12.2019 	 1,69 	 1,53 	 6 	 9 	 140 	 800 	 2,3 	 2,4 	  
17:20 30.12.2019 	 1,58 	 1,41 	 7 	 10 	 143 	 800 	 2,3 	 2,4 	  
17:10 30.12.2019 	 1,48 	 1,34 	 6 	 8 	 144 	 800 	 2,3 	 2,4 	  
17:00 30.12.2019 	 1,38 	 1,23 	 6 	 8 	 148 	 800 	 2,2 	 2,4 	  
16:50 30.12.2019 	 1,29 	 1,16 	 8 	 10 	 156 	 800 	 2,4 	 2,4 	  
16:40 30.12.2019 	 1,21 	 1,04 	 7 	 10 	 149 	 800 	 2,7 	 2,5 	  
16:30 30.12.2019 	 1,13 	 1,03 	 6 	 8 	 148 	 800 	 2,7 	 2,5 	  
16:20 30.12.2019 	 1,06 	 0,96 	 7 	 10 	 159 	 800 	 2,7 	 2,5 	  
16:10 30.12.2019 	 1 	 0,88 	 6 	 9 	 147 	 800 	 2,8 	 2,5 	  
16:00 30.12.2019 	 0,95 	 0,85 	 5 	 8 	 151 	 800 	 2,8 	 2,5 	  
15:50 30.12.2019 	 0,9 	 0,85 	 5 	 7 	 145 	 800 	 2,2 	 2,5 	  
15:40 30.12.2019 	 0,87 	 0,81 	 6 	 7 	 152 	 800 	 2,7 	 2,5 	  
15:30 30.12.2019 	 0,85 	 0,8 	 6 	 7 	 148 	 800 	 2,7 	 2,5 	  
15:20 30.12.2019 	 0,84 	 0,79 	 3 	 6 	 139 	 800 	 2,4 	 2,5 	  
15:10 30.12.2019 	 0,83 	 0,83 	 3 	 4 	 128 	 800 	 2,1 	 2,5 	  
15:00 30.12.2019 	 0,85 	 0,8 	 3 	 5 	 132 	 800 	 2,2 	 2,5 	  
14:50 30.12.2019 	 0,87 	 0,82 	 3 	 5 	 137 	 800 	 2,3 	 2,5 	  
14:40 30.12.2019 	 0,9 	 0,85 	 4 	 6 	 146 	 800 	 2,5 	 2,4 	  
14:30 30.12.2019 	 0,94 	 0,92 	 4 	 6 	 146 	 800 	 2,4 	 2,5 	  
14:20 30.12.2019 	 1 	 0,91 	 4 	 6 	 143 	 800 	 2,3 	 2,5 	  
14:10 30.12.2019 	 1,06 	 1,02 	 5 	 6 	 162 	 800 	 2,4 	 2,5 	  
14:00 30.12.2019 	 1,13 	 1,06 	 5 	 6 	 166 	 800 	 2,4 	 2,5 	  
13:50 30.12.2019 	 1,21 	 1,17 	 5 	 6 	 180 	 800 	 2,6 	 2,5 	  
13:40 30.12.2019 	 1,3 	 1,25 	 5 	 5 	 184 	 800 	 2,6 	 2,5 	  
13:30 30.12.2019 	 1,4 	 1,36 	 5 	 5 	 189 	 800 	 2,6 	 2,5 	  
13:20 30.12.2019 	 1,51 	 1,45 	 5 	 6 	 204 	 800 	 2,6 	 2,5 	  
13:10 30.12.2019 	 1,62 	 1,58 	 5 	 6 	 213 	 800 	 2,6 	 2,5 	  
13:00 30.12.2019 	 1,73 	 1,7 	 6 	 8 	 214 	 800 	 2,7 	 2,4 	  
12:50 30.12.2019 	 1,85 	 1,85 	 5 	 8 	 215 	 800 	 2,6 	 2,4 	  
12:40 30.12.2019 	 1,98 	 1,98 	 6 	 9 	 217 	 800 	 2,7 	 2,5 	  
12:30 30.12.2019 	 2,1 	 2,12 	 5 	 8 	 222 	 800 	 2,7 	 2,5 	  
12:20 30.12.2019 	 2,23 	 2,23 	 4 	 7 	 213 	 800 	 2,5 	 2,5 	  
12:10 30.12.2019 	 2,36 	 2,39 	 3 	 3 	 205 	 800 	 2,5 	 2,5 	  
12:00 30.12.2019 	 2,49 	 2,5 	 2 	 3 	 219 	 800 	 2,5 	 2,5 	  
11:50 30.12.2019 	 2,61 	 2,62 	 3 	 6 	 217 	 800 	 2,5 	 2,5 	  
11:40 30.12.2019 	 2,74 	 2,77 	 3 	 5 	 229 	 800 	 2,6 	 2,5 	  
11:30 30.12.2019 	 2,86 	 2,91 	 2 	 4 	 226 	 800 	 2,5 	 2,5 	  
11:20 30.12.2019 	 2,97 	 3 	 3 	 7 	 245 	 800 	 2,5 	 2,5 	  
11:10 30.12.2019 	 3,08 	 3,13 	 3 	 4 	 224 	 800 	 2,5 	 2,5 	  
11:00 30.12.2019 	 3,19 	 3,23 	 2 	 2 	 230 	 800 	 2,5 	 2,5 	  
10:50 30.12.2019 	 3,29 	 3,34 	 2 	 3 	 252 	 800 	 2,4 	 2,5 	  
