 Timabil 	 Flodatafla (m)	Vindur (m/s)	Hvida (m/s)	Vindatt (deg)	Lofthiti (degC)	
00:00 01.01.2020 	 2,97 	 12 	 16 	 202 	 5 	  
23:50 31.12.2019 	 3,03 	 14 	 18 	 198 	 5,4 	  
23:40 31.12.2019 	 3,09 	 13 	 16 	 197 	 5,5 	  
23:30 31.12.2019 	 3,14 	 13 	 17 	 195 	 5,5 	  
23:20 31.12.2019 	 3,18 	 13 	 16 	 198 	 5,6 	  
23:10 31.12.2019 	 3,22 	 13 	 17 	 198 	 5,6 	  
23:00 31.12.2019 	 3,24 	 11 	 14 	 200 	 5,8 	  
22:50 31.12.2019 	 3,26 	 12 	 17 	 199 	 5,8 	  
22:40 31.12.2019 	 3,28 	 13 	 16 	 195 	 5,8 	  
22:30 31.12.2019 	 3,28 	 13 	 16 	 197 	 5,7 	  
22:20 31.12.2019 	 3,28 	 12 	 16 	 197 	 5,9 	  
22:10 31.12.2019 	 3,26 	 13 	 17 	 197 	 5,6 	  
22:00 31.12.2019 	 3,24 	 13 	 17 	 199 	 5,6 	  
21:50 31.12.2019 	 3,22 	 13 	 17 	 199 	 5,5 	  
21:40 31.12.2019 	 3,18 	 14 	 17 	 194 	 5,6 	  
21:30 31.12.2019 	 3,14 	 11 	 15 	 204 	 5,4 	  
21:20 31.12.2019 	 3,09 	 12 	 16 	 200 	 5,5 	  
21:10 31.12.2019 	 3,04 	 12 	 16 	 201 	 5,3 	  
21:00 31.12.2019 	 2,97 	 13 	 17 	 198 	 5,4 	  
20:50 31.12.2019 	 2,91 	 12 	 16 	 201 	 5,8 	  
20:40 31.12.2019 	 2,83 	 12 	 16 	 200 	 5,6 	  
20:30 31.12.2019 	 2,76 	 12 	 15 	 197 	 5,9 	  
20:20 31.12.2019 	 2,67 	 13 	 16 	 195 	 5,8 	  
20:10 31.12.2019 	 2,59 	 13 	 16 	 195 	 5,7 	  
20:00 31.12.2019 	 2,5 	 12 	 16 	 195 	 5,9 	  
19:50 31.12.2019 	 2,41 	 12 	 14 	 196 	 5,6 	  
19:40 31.12.2019 	 2,31 	 12 	 15 	 196 	 5,6 	  
19:30 31.12.2019 	 2,22 	 12 	 14 	 197 	 5,5 	  
19:20 31.12.2019 	 2,12 	 12 	 15 	 203 	 5,4 	  
19:10 31.12.2019 	 2,02 	 11 	 14 	 205 	 5 	  
19:00 31.12.2019 	 1,93 	 11 	 13 	 202 	 5,2 	  
18:50 31.12.2019 	 1,83 	 11 	 14 	 201 	 5,1 	  
18:40 31.12.2019 	 1,74 	 11 	 13 	 198 	 5,5 	  
18:30 31.12.2019 	 1,65 	 11 	 14 	 197 	 5,5 	  
18:20 31.12.2019 	 1,56 	 11 	 14 	 200 	 5,4 	  
18:10 31.12.2019 	 1,48 	 12 	 15 	 199 	 5,4 	  
18:00 31.12.2019 	 1,4 	 12 	 16 	 198 	 5,6 	  
17:50 31.12.2019 	 1,32 	 11 	 14 	 198 	 5,2 	  
17:40 31.12.2019 	 1,26 	 11 	 15 	 204 	 5,5 	  
17:30 31.12.2019 	 1,19 	 10 	 13 	 202 	 5,5 	  
17:20 31.12.2019 	 1,14 	 9 	 12 	 202 	 5,2 	  
17:10 31.12.2019 	 1,1 	 9 	 11 	 201 	 5,1 	  
17:00 31.12.2019 	 1,06 	 8 	 11 	 203 	 4,9 	  
