 Timabil 	 Flodatafla (m)	Vindur (m/s)	Hvida (m/s)	Vindatt (deg)	
00:00 01.01.2020 	 2,75 	 6 	 11 	 188 	  
23:50 31.12.2019 	 2,83 	 6 	 8 	 187 	  
23:40 31.12.2019 	 2,91 	 7 	 11 	 184 	  
23:30 31.12.2019 	 2,97 	 6 	 10 	 183 	  
23:20 31.12.2019 	 3,03 	 7 	 10 	 186 	  
23:10 31.12.2019 	 3,09 	 7 	 10 	 182 	  
23:00 31.12.2019 	 3,14 	 7 	 10 	 174 	  
22:50 31.12.2019 	 3,18 	 7 	 12 	 177 	  
22:40 31.12.2019 	 3,22 	 7 	 11 	 177 	  
22:30 31.12.2019 	 3,24 	 8 	 12 	 174 	  
22:20 31.12.2019 	 3,26 	 7 	 10 	 176 	  
22:10 31.12.2019 	 3,28 	 6 	 10 	 175 	  
22:00 31.12.2019 	 3,28 	 6 	 9 	 179 	  
21:50 31.12.2019 	 3,28 	 6 	 9 	 174 	  
21:40 31.12.2019 	 3,26 	 6 	 9 	 177 	  
21:30 31.12.2019 	 3,24 	 5 	 8 	 182 	  
21:20 31.12.2019 	 3,22 	 6 	 11 	 190 	  
21:10 31.12.2019 	 3,18 	 7 	 11 	 192 	  
21:00 31.12.2019 	 3,14 	 7 	 11 	 186 	  
20:50 31.12.2019 	 3,09 	 8 	 13 	 181 	  
20:40 31.12.2019 	 3,04 	 7 	 11 	 187 	  
20:30 31.12.2019 	 2,97 	 7 	 10 	 173 	  
20:20 31.12.2019 	 2,91 	 7 	 11 	 171 	  
20:10 31.12.2019 	 2,83 	 7 	 10 	 170 	  
20:00 31.12.2019 	 2,76 	 6 	 10 	 169 	  
19:50 31.12.2019 	 2,67 	 6 	 10 	 177 	  
19:40 31.12.2019 	 2,59 	 6 	 11 	 177 	  
19:30 31.12.2019 	 2,5 	 7 	 10 	 174 	  
19:20 31.12.2019 	 2,41 	 6 	 10 	 178 	  
19:10 31.12.2019 	 2,31 	 6 	 9 	 178 	  
19:00 31.12.2019 	 2,22 	 7 	 11 	 171 	  
18:50 31.12.2019 	 2,12 	 7 	 10 	 169 	  
18:40 31.12.2019 	 2,02 	 6 	 9 	 168 	  
18:30 31.12.2019 	 1,93 	 6 	 7 	 166 	  
18:20 31.12.2019 	 1,83 	 5 	 8 	 167 	  
18:10 31.12.2019 	 1,74 	 5 	 8 	 167 	  
18:00 31.12.2019 	 1,65 	 5 	 7 	 168 	  
