 Timabil 	 Flodatafla (m)	Sjavarhaed (m)	Vindur (m/s)	Hvida (m/s)	Vindatt (deg)	Loftthrystingur (hpa)	Lofthiti (degC)	Sjavarhiti (degC)	
00:00 01.01.2020 	 2,75 	 3,01 	 4 	 8 	 203 	 984 	 5,8 	 3,2 	  
23:50 31.12.2019 	 2,83 	 3,05 	 5 	 9 	 202 	 985 	 5,9 	 3,2 	  
23:40 31.12.2019 	 2,91 	 3,12 	 5 	 8 	 200 	 984 	 5,9 	 3,2 	  
23:30 31.12.2019 	 2,97 	 3,2 	 5 	 9 	 195 	 983 	 6 	 3,1 	  
23:20 31.12.2019 	 3,03 	 3,25 	 6 	 10 	 198 	 985 	 6 	 3,2 	  
23:10 31.12.2019 	 3,09 	 3,26 	 5 	 9 	 198 	 985 	 5,7 	 3,2 	  
23:00 31.12.2019 	 3,14 	 3,29 	 5 	 10 	 190 	 985 	 5,7 	 3,1 	  
22:50 31.12.2019 	 3,18 	 3,36 	 5 	 10 	 194 	 985 	 5,6 	 3,1 	  
22:40 31.12.2019 	 3,22 	 3,36 	 5 	 10 	 193 	 986 	 5,4 	 3,1 	  
22:30 31.12.2019 	 3,24 	 3,41 	 6 	 12 	 191 	 986 	 5,6 	 3,1 	  
22:20 31.12.2019 	 3,26 	 3,37 	 5 	 9 	 193 	 986 	 6,2 	 3,1 	  
22:10 31.12.2019 	 3,28 	 3,42 	 5 	 8 	 192 	 986 	 6,1 	 3,1 	  
22:00 31.12.2019 	 3,28 	 3,43 	 4 	 8 	 192 	 987 	 5,9 	 3,1 	  
21:50 31.12.2019 	 3,28 	 3,39 	 5 	 10 	 193 	 987 	 6,1 	 3,1 	  
21:40 31.12.2019 	 3,26 	 3,37 	 4 	 9 	 195 	 987 	 6,1 	 3,1 	  
21:30 31.12.2019 	 3,24 	 3,31 	 5 	 9 	 196 	 988 	 6 	 3,1 	  
21:20 31.12.2019 	 3,22 	 3,32 	 4 	 9 	 200 	 988 	 5,7 	 3,1 	  
21:10 31.12.2019 	 3,18 	 3,29 	 5 	 11 	 207 	 988 	 5,5 	 3,1 	  
21:00 31.12.2019 	 3,14 	 3,27 	 6 	 10 	 202 	 988 	 5,5 	 3,1 	  
20:50 31.12.2019 	 3,09 	 3,25 	 7 	 12 	 198 	 989 	 5,6 	 3,1 	  
20:40 31.12.2019 	 3,04 	 3,2 	 6 	 12 	 200 	 989 	 5,7 	 3,1 	  
20:30 31.12.2019 	 2,97 	 3,15 	 5 	 10 	 191 	 989 	 5,6 	 3,1 	  
20:20 31.12.2019 	 2,91 	 3,06 	 5 	 9 	 188 	 989 	 5,5 	 3,1 	  
20:10 31.12.2019 	 2,83 	 2,95 	 4 	 8 	 189 	 989 	 6,1 	 3,1 	  
20:00 31.12.2019 	 2,76 	 2,94 	 4 	 9 	 186 	 989 	 5,9 	 3,1 	  
19:50 31.12.2019 	 2,67 	 2,86 	 5 	 9 	 193 	 989 	 5,8 	 3,1 	  
19:40 31.12.2019 	 2,59 	 2,81 	 5 	 10 	 194 	 990 	 5,6 	 3,1 	  
19:30 31.12.2019 	 2,5 	 2,67 	 5 	 9 	 192 	 990 	 5,4 	 3,1 	  
19:20 31.12.2019 	 2,41 	 2,55 	 5 	 9 	 195 	 990 	 5,4 	 3,1 	  
19:10 31.12.2019 	 2,31 	 2,39 	 5 	 9 	 197 	 990 	 5,2 	 3,1 	  
19:00 31.12.2019 	 2,22 	 2,31 	 5 	 9 	 189 	 990 	 5 	 3,1 	  
18:50 31.12.2019 	 2,12 	 2,2 	 4 	 8 	 187 	 990 	 4,7 	 3,1 	  
18:40 31.12.2019 	 2,02 	 2,12 	 4 	 7 	 186 	 990 	 4,5 	 3,1 	  
18:30 31.12.2019 	 1,93 	 1,99 	 3 	 6 	 182 	 991 	 4,4 	 3,1 	  
18:20 31.12.2019 	 1,83 	 1,9 	 3 	 6 	 178 	 990 	 4 	 3,1 	  
18:10 31.12.2019 	 1,74 	 1,76 	 3 	 5 	 182 	 991 	 3,9 	 3,1 	  
18:00 31.12.2019 	 1,65 	 1,64 	 3 	 5 	 183 	 991 	 3,8 	 3,1 	  
17:50 31.12.2019 	 1,56 	 1,59 	 3 	 6 	 186 	 991 	 3,8 	 3,1 	  
17:40 31.12.2019 	 1,48 	 1,53 	 2 	 6 	 185 	 991 	 3,6 	 3,1 	  
17:30 31.12.2019 	 1,4 	 1,45 	 3 	 5 	 187 	 991 	 3,4 	 3,1 	  
17:20 31.12.2019 	 1,32 	 1,37 	 2 	 4 	 187 	 991 	 3,2 	 3,1 	  
17:10 31.12.2019 	 1,26 	 1,28 	 2 	 4 	 188 	 991 	 3,1 	 3,1 	  
