 Timabil 	 Flodatafla (m)	Sjavarhaed (m)	Vindur (m/s)	Hvida (m/s)	Vindatt (deg)	Loftthrystingur (hpa)	Lofthiti (degC)	Sjavarhiti (degC)	Selta (PSU)	
00:00 01.01.2020 	 2,85 	 3,33 	 10 	 15 	 133 	 983 	 5,6 	 2,8 	 27,37 	  
23:50 31.12.2019 	 2,93 	 3,39 	 9 	 14 	 131 	 983 	 5,6 	 2,8 	 27,32 	  
23:40 31.12.2019 	 3,01 	 3,45 	 8 	 12 	 131 	 983 	 5,5 	 2,8 	 27,25 	  
23:30 31.12.2019 	 3,07 	 3,54 	 8 	 14 	 131 	 983 	 5,6 	 2,8 	 27,28 	  
23:20 31.12.2019 	 3,13 	 3,59 	 7 	 14 	 130 	 983 	 5,9 	 2,8 	 27,28 	  
23:10 31.12.2019 	 3,19 	 3,64 	 7 	 13 	 129 	 983 	 6,1 	 2,8 	 27,29 	  
23:00 31.12.2019 	 3,24 	 3,66 	 8 	 15 	 131 	 983 	 5,8 	 2,8 	 27,31 	  
22:50 31.12.2019 	 3,28 	 3,69 	 7 	 13 	 130 	 984 	 6 	 2,8 	 27,29 	  
22:40 31.12.2019 	 3,32 	 3,68 	 6 	 13 	 129 	 984 	 6,4 	 2,8 	 27,32 	  
22:30 31.12.2019 	 3,34 	 3,71 	 8 	 13 	 131 	 984 	 6,2 	 2,8 	 27,33 	  
22:20 31.12.2019 	 3,36 	 3,73 	 7 	 13 	 130 	 984 	 6,2 	 2,8 	 27,35 	  
22:10 31.12.2019 	 3,38 	 3,73 	 6 	 11 	 138 	 985 	 5,8 	 2,8 	 27,37 	  
22:00 31.12.2019 	 3,38 	 3,7 	 5 	 9 	 148 	 985 	 5,2 	 2,8 	 27,41 	  
21:50 31.12.2019 	 3,38 	 3,69 	 5 	 7 	 143 	 985 	 4,9 	 2,8 	 27,34 	  
21:40 31.12.2019 	 3,36 	 3,69 	 5 	 7 	 144 	 986 	 4,9 	 2,8 	 27,36 	  
21:30 31.12.2019 	 3,34 	 3,66 	 6 	 9 	 140 	 986 	 5 	 2,8 	 27,33 	  
21:20 31.12.2019 	 3,32 	 3,64 	 9 	 12 	 135 	 986 	 5,3 	 2,8 	 27,21 	  
21:10 31.12.2019 	 3,28 	 3,61 	 10 	 12 	 133 	 987 	 5,4 	 2,8 	 27,18 	  
21:00 31.12.2019 	 3,24 	 3,58 	 11 	 14 	 133 	 987 	 5,6 	 2,8 	 27,19 	  
20:50 31.12.2019 	 3,19 	 3,54 	 10 	 15 	 133 	 987 	 5,6 	 2,8 	 27,18 	  
20:40 31.12.2019 	 3,14 	 3,5 	 6 	 15 	 128 	 987 	 6,4 	 2,8 	 27,02 	  
20:30 31.12.2019 	 3,07 	 3,44 	 7 	 14 	 129 	 987 	 6,6 	 2,7 	 26,32 	  
20:20 31.12.2019 	 3,01 	 3,37 	 6 	 14 	 128 	 987 	 6,6 	 2,7 	 26,7 	  
20:10 31.12.2019 	 2,93 	 3,31 	 6 	 13 	 129 	 987 	 6,7 	 2,8 	 27,08 	  
20:00 31.12.2019 	 2,86 	 3,23 	 6 	 11 	 128 	 988 	 6,6 	 2,8 	 27,11 	  
19:50 31.12.2019 	 2,77 	 3,17 	 6 	 13 	 129 	 988 	 6,3 	 2,7 	 27,1 	  
19:40 31.12.2019 	 2,69 	 3,07 	 9 	 14 	 131 	 988 	 6,4 	 2,7 	 27,08 	  
19:30 31.12.2019 	 2,6 	 2,97 	 9 	 15 	 131 	 988 	 6,4 	 2,7 	 27,1 	  
19:20 31.12.2019 	 2,51 	 2,84 	 6 	 12 	 128 	 988 	 6,4 	 2,7 	 27,17 	  
19:10 31.12.2019 	 2,41 	 2,73 	 7 	 13 	 129 	 988 	 6,4 	 2,7 	 27,17 	  
19:00 31.12.2019 	 2,32 	 2,6 	 5 	 12 	 129 	 988 	 6,2 	 2,7 	 27,2 	  
18:50 31.12.2019 	 2,22 	 2,48 	 7 	 12 	 130 	 989 	 6,2 	 2,7 	 27,18 	  
18:40 31.12.2019 	 2,12 	 2,34 	 8 	 13 	 131 	 989 	 6,2 	 2,7 	 27,17 	  
18:30 31.12.2019 	 2,03 	 2,22 	 8 	 14 	 131 	 989 	 6,2 	 2,7 	 27,11 	  
18:20 31.12.2019 	 1,93 	 2,08 	 9 	 14 	 132 	 989 	 6,3 	 2,7 	 27,08 	  
18:10 31.12.2019 	 1,84 	 1,96 	 9 	 12 	 133 	 989 	 6 	 2,7 	 27,16 	  
