 Timabil 	 Flodatafla (m)	Sjavarhaed (m)	
00:00 01.01.2020 	 0,72 	 0,49 	  
23:50 31.12.2019 	 0,77 	 0,52 	  
23:40 31.12.2019 	 0,81 	 0,58 	  
23:30 31.12.2019 	 0,85 	 0,59 	  
23:20 31.12.2019 	 0,89 	 0,62 	  
23:10 31.12.2019 	 0,93 	 0,67 	  
23:00 31.12.2019 	 0,97 	 0,67 	  
22:50 31.12.2019 	 1 	 0,74 	  
22:40 31.12.2019 	 1,04 	 0,81 	  
22:30 31.12.2019 	 1,07 	 0,75 	  
22:20 31.12.2019 	 1,09 	 0,77 	  
22:10 31.12.2019 	 1,12 	 0,83 	  
22:00 31.12.2019 	 1,14 	 0,81 	  
21:50 31.12.2019 	 1,16 	 0,77 	  
21:40 31.12.2019 	 1,18 	 0,8 	  
21:30 31.12.2019 	 1,19 	 0,83 	  
21:20 31.12.2019 	 1,2 	 0,84 	  
21:10 31.12.2019 	 1,21 	 0,81 	  
21:00 31.12.2019 	 1,21 	 0,79 	  
20:50 31.12.2019 	 1,21 	 0,77 	  
20:40 31.12.2019 	 1,2 	 0,81 	  
20:30 31.12.2019 	 1,19 	 0,79 	  
20:20 31.12.2019 	 1,18 	 0,76 	  
20:10 31.12.2019 	 1,16 	 0,74 	  
20:00 31.12.2019 	 1,14 	 0,73 	  
19:50 31.12.2019 	 1,12 	 0,65 	  
19:40 31.12.2019 	 1,1 	 0,69 	  
19:30 31.12.2019 	 1,07 	 0,65 	  
19:20 31.12.2019 	 1,04 	 0,63 	  
19:10 31.12.2019 	 1 	 0,59 	  
19:00 31.12.2019 	 0,97 	 0,54 	  
18:50 31.12.2019 	 0,93 	 0,55 	  
18:40 31.12.2019 	 0,89 	 0,48 	  
18:30 31.12.2019 	 0,85 	 0,48 	  
18:20 31.12.2019 	 0,81 	 0,41 	  
18:10 31.12.2019 	 0,76 	 0,31 	  
18:00 31.12.2019 	 0,72 	 0,32 	  
17:50 31.12.2019 	 0,68 	 0,28 	  
17:40 31.12.2019 	 0,63 	 0,22 	  
17:30 31.12.2019 	 0,59 	 0,18 	  
17:20 31.12.2019 	 0,54 	 0,13 	  
17:10 31.12.2019 	 0,5 	 0,12 	  
17:00 31.12.2019 	 0,46 	 0,06 	  
16:50 31.12.2019 	 0,42 	 0,03 	  
16:40 31.12.2019 	 0,38 	 -0,03 	  
16:30 31.12.2019 	 0,34 	 -0,07 	  
16:20 31.12.2019 	 0,31 	 -0,1 	  
16:10 31.12.2019 	 0,28 	 -0,14 	  
16:00 31.12.2019 	 0,25 	 -0,2 	  
15:50 31.12.2019 	 0,22 	 -0,22 	  
15:40 31.12.2019 	 0,21 	 -0,21 	  
15:30 31.12.2019 	 0,19 	 -0,25 	  
15:20 31.12.2019 	 0,17 	 -0,24 	  
15:10 31.12.2019 	 0,16 	 -0,26 	  
15:00 31.12.2019 	 0,16 	 -0,28 	  
14:50 31.12.2019 	 0,16 	 -0,23 	  
14:40 31.12.2019 	 0,16 	 -0,19 	  
