 Timabil 	 Flodatafla (m)	Sjavarhaed (m)	Vindur (m/s)	Hvida (m/s)	Vindatt (deg)	Loftthrystingur (hpa)	Lofthiti (degC)	
00:00 01.01.2020 	 0,75 	 1,19 	 7 	 10 	 141 	 982 	 5,5 	  
23:50 31.12.2019 	 0,72 	 1,12 	 9 	 13 	 167 	 982 	 6,9 	  
23:40 31.12.2019 	 0,69 	 1,06 	 8 	 11 	 158 	 982 	 5,4 	  
23:30 31.12.2019 	 0,67 	 1,02 	 11 	 17 	 177 	 982 	 6,3 	  
23:20 31.12.2019 	 0,64 	 0,97 	 11 	 15 	 175 	 983 	 7,6 	  
23:10 31.12.2019 	 0,61 	 1,02 	 11 	 14 	 173 	 983 	 7,2 	  
23:00 31.12.2019 	 0,58 	 0,96 	 11 	 14 	 171 	 983 	 6,7 	  
22:50 31.12.2019 	 0,55 	 0,92 	 9 	 12 	 169 	 984 	 6,3 	  
22:40 31.12.2019 	 0,52 	 0,89 	 8 	 11 	 164 	 984 	 6 	  
22:30 31.12.2019 	 0,5 	 0,86 	 9 	 11 	 154 	 984 	 5,9 	  
22:20 31.12.2019 	 0,47 	 0,82 	 9 	 11 	 151 	 985 	 5,9 	  
22:10 31.12.2019 	 0,44 	 0,8 	 8 	 11 	 158 	 985 	 5,4 	  
22:00 31.12.2019 	 0,42 	 0,74 	 9 	 11 	 166 	 985 	 5,5 	  
21:50 31.12.2019 	 0,4 	 0,72 	 8 	 11 	 164 	 985 	 5,5 	  
21:40 31.12.2019 	 0,38 	 0,69 	 9 	 11 	 159 	 986 	 5,8 	  
21:30 31.12.2019 	 0,36 	 0,67 	 9 	 11 	 154 	 986 	 5,2 	  
21:20 31.12.2019 	 0,34 	 0,63 	 9 	 12 	 151 	 986 	 5,7 	  
21:10 31.12.2019 	 0,33 	 0,6 	 9 	 11 	 154 	 986 	 5,4 	  
21:00 31.12.2019 	 0,32 	 0,6 	 10 	 12 	 154 	 986 	 5,4 	  
20:50 31.12.2019 	 0,31 	 0,61 	 9 	 11 	 153 	 986 	 5,4 	  
20:40 31.12.2019 	 0,3 	 0,57 	 8 	 11 	 159 	 987 	 5,7 	  
20:30 31.12.2019 	 0,3 	 0,55 	 7 	 9 	 156 	 987 	 5,3 	  
20:20 31.12.2019 	 0,3 	 0,53 	 6 	 8 	 143 	 987 	 4,9 	  
20:10 31.12.2019 	 0,3 	 0,56 	 7 	 8 	 159 	 987 	 4,6 	  
20:00 31.12.2019 	 0,31 	 0,59 	 7 	 8 	 166 	 987 	 4,9 	  
19:50 31.12.2019 	 0,32 	 0,62 	 8 	 10 	 165 	 987 	 5,4 	  
19:40 31.12.2019 	 0,33 	 0,63 	 5 	 10 	 153 	 987 	 5,7 	  
19:30 31.12.2019 	 0,34 	 0,6 	 2 	 5 	 147 	 987 	 5,1 	  
19:20 31.12.2019 	 0,36 	 0,63 	 1 	 3 	 78 	 988 	 4,3 	  
19:10 31.12.2019 	 0,38 	 0,69 	 1 	 2 	 81 	 988 	 4,4 	  
19:00 31.12.2019 	 0,4 	 0,73 	 3 	 5 	 86 	 987 	 4,4 	  
18:50 31.12.2019 	 0,42 	 0,76 	 4 	 5 	 85 	 987 	 4,5 	  
18:40 31.12.2019 	 0,45 	 0,84 	 3 	 5 	 102 	 987 	 4,4 	  
18:30 31.12.2019 	 0,48 	 0,9 	 3 	 5 	 90 	 987 	 4,8 	  
18:20 31.12.2019 	 0,51 	 0,86 	 5 	 6 	 94 	 987 	 4,5 	  
18:10 31.12.2019 	 0,54 	 0,91 	 3 	 5 	 97 	 987 	 4,5 	  
18:00 31.12.2019 	 0,57 	 0,95 	 2 	 3 	 81 	 987 	 4,8 	  
17:50 31.12.2019 	 0,6 	 0,98 	 1 	 3 	 41 	 987 	 4,5 	  
