 Timabil 	 Flodatafla (m)	Vindur (m/s)	Hvida (m/s)	Vindatt (deg)	Lofthiti (degC)	
00:00 01.01.2020 	 2,75 	 6 	 11 	 189 	 6,2 	  
23:50 31.12.2019 	 2,83 	 6 	 9 	 184 	 6,1 	  
23:40 31.12.2019 	 2,91 	 6 	 9 	 183 	 6,2 	  
23:30 31.12.2019 	 2,97 	 6 	 10 	 182 	 6,2 	  
23:20 31.12.2019 	 3,03 	 6 	 11 	 179 	 6,2 	  
23:10 31.12.2019 	 3,09 	 7 	 11 	 181 	 6,2 	  
23:00 31.12.2019 	 3,14 	 5 	 9 	 180 	 6,1 	  
22:50 31.12.2019 	 3,18 	 6 	 11 	 180 	 6,2 	  
22:40 31.12.2019 	 3,22 	 5 	 9 	 177 	 6,2 	  
22:30 31.12.2019 	 3,24 	 6 	 10 	 180 	 6,3 	  
22:20 31.12.2019 	 3,26 	 6 	 11 	 178 	 6,4 	  
22:10 31.12.2019 	 3,28 	 7 	 10 	 183 	 6,4 	  
22:00 31.12.2019 	 3,28 	 7 	 11 	 181 	 6,4 	  
21:50 31.12.2019 	 3,28 	 6 	 11 	 180 	 6,5 	  
21:40 31.12.2019 	 3,26 	 6 	 11 	 177 	 6,6 	  
21:30 31.12.2019 	 3,24 	 6 	 10 	 183 	 6,6 	  
21:20 31.12.2019 	 3,22 	 5 	 10 	 190 	 6,7 	  
21:10 31.12.2019 	 3,18 	 4 	 8 	 196 	 6,5 	  
21:00 31.12.2019 	 3,14 	 4 	 7 	 206 	 6,4 	  
20:50 31.12.2019 	 3,09 	 6 	 12 	 190 	 6,7 	  
20:40 31.12.2019 	 3,04 	 7 	 11 	 176 	 6,9 	  
20:30 31.12.2019 	 2,97 	 6 	 12 	 174 	 6,6 	  
20:20 31.12.2019 	 2,91 	 6 	 10 	 171 	 6,6 	  
20:10 31.12.2019 	 2,83 	 5 	 9 	 173 	 6,7 	  
20:00 31.12.2019 	 2,76 	 5 	 10 	 173 	 6,7 	  
19:50 31.12.2019 	 2,67 	 5 	 10 	 175 	 6,5 	  
19:40 31.12.2019 	 2,59 	 5 	 10 	 179 	 6,6 	  
19:30 31.12.2019 	 2,5 	 6 	 10 	 177 	 6,5 	  
19:20 31.12.2019 	 2,41 	 6 	 10 	 178 	 6,7 	  
19:10 31.12.2019 	 2,31 	 5 	 7 	 176 	 6,5 	  
19:00 31.12.2019 	 2,22 	 5 	 7 	 172 	 6,4 	  
18:50 31.12.2019 	 2,12 	 5 	 8 	 171 	 6,3 	  
18:40 31.12.2019 	 2,02 	 4 	 7 	 170 	 6,2 	  
18:30 31.12.2019 	 1,93 	 4 	 6 	 169 	 6,1 	  
18:20 31.12.2019 	 1,83 	 4 	 6 	 167 	 6 	  
18:10 31.12.2019 	 1,74 	 4 	 6 	 172 	 5,9 	  
18:00 31.12.2019 	 1,65 	 4 	 6 	 170 	 5,8 	  
17:50 31.12.2019 	 1,56 	 3 	 5 	 175 	 5,8 	  
17:40 31.12.2019 	 1,48 	 3 	 5 	 175 	 5,6 	  
17:30 31.12.2019 	 1,4 	 3 	 4 	 172 	 5,3 	  
17:20 31.12.2019 	 1,32 	 3 	 4 	 167 	 5,2 	  
17:10 31.12.2019 	 1,26 	 3 	 5 	 173 	 5,4 	  
17:00 31.12.2019 	 1,19 	 3 	 5 	 177 	 5,4 	  
16:50 31.12.2019 	 1,14 	 3 	 6 	 185 	 5,6 	  
16:40 31.12.2019 	 1,1 	 3 	 5 	 199 	 5,5 	  
16:30 31.12.2019 	 1,06 	 3 	 5 	 200 	 5,4 	  
16:20 31.12.2019 	 1,03 	 3 	 6 	 205 	 5,3 	  
16:10 31.12.2019 	 1,01 	 3 	 6 	 208 	 5,3 	  
16:00 31.12.2019 	 1 	 3 	 5 	 207 	 5,3 	  
15:50 31.12.2019 	 1 	 4 	 7 	 209 	 5,2 	  
15:40 31.12.2019 	 1,01 	 4 	 7 	 217 	 5,3 	  
15:30 31.12.2019 	 1,03 	 5 	 7 	 223 	 5,4 	  
15:20 31.12.2019 	 1,06 	 4 	 7 	 220 	 5,4 	  
15:10 31.12.2019 	 1,09 	 4 	 8 	 216 	 5,5 	  
15:00 31.12.2019 	 1,14 	 4 	 6 	 219 	 5,5 	  
14:50 31.12.2019 	 1,2 	 3 	 7 	 214 	 5,5 	  
14:40 31.12.2019 	 1,26 	 2 	 4 	 214 	 5,4 	  
14:30 31.12.2019 	 1,33 	 2 	 4 	 207 	 5,5 	  
14:20 31.12.2019 	 1,41 	 2 	 4 	 226 	 5,4 	  
14:10 31.12.2019 	 1,5 	 3 	 5 	 220 	 5,5 	  
14:00 31.12.2019 	 1,59 	 3 	 5 	 228 	 5,6 	  
13:50 31.12.2019 	 1,69 	 2 	 4 	 230 	 5,7 	  
13:40 31.12.2019 	 1,79 	 2 	 4 	 223 	 5,8 	  
13:30 31.12.2019 	 1,89 	 2 	 4 	 213 	 5,8 	  
13:20 31.12.2019 	 2 	 2 	 3 	 208 	 5,8 	  
13:10 31.12.2019 	 2,11 	 2 	 3 	 202 	 5,9 	  
13:00 31.12.2019 	 2,22 	 1 	 2 	 220 	 5,9 	  
12:50 31.12.2019 	 2,33 	 2 	 3 	 238 	 5,9 	  
12:40 31.12.2019 	 2,44 	 2 	 3 	 235 	 6 	  
12:30 31.12.2019 	 2,56 	 2 	 4 	 230 	 6,1 	  
12:20 31.12.2019 	 2,66 	 2 	 3 	 231 	 6,2 	  
12:10 31.12.2019 	 2,77 	 2 	 4 	 232 	 6,3 	  
12:00 31.12.2019 	 2,87 	 3 	 4 	 242 	 6,3 	  
11:50 31.12.2019 	 2,97 	 3 	 5 	 233 	 6,4 	  
11:40 31.12.2019 	 3,07 	 3 	 5 	 221 	 6,9 	  
11:30 31.12.2019 	 3,16 	 2 	 4 	 165 	 7,2 	  
11:20 31.12.2019 	 3,24 	 2 	 4 	 177 	 7,1 	  
11:10 31.12.2019 	 3,32 	 3 	 5 	 198 	 7,1 	  
11:00 31.12.2019 	 3,39 	 4 	 6 	 218 	 7,2 	  
10:50 31.12.2019 	 3,45 	 5 	 9 	 211 	 7,2 	  
10:40 31.12.2019 	 3,51 	 4 	 8 	 177 	 7,7 	  
10:30 31.12.2019 	 3,55 	 3 	 6 	 168 	 7,2 	  
10:20 31.12.2019 	 3,59 	 3 	 5 	 161 	 6,8 	  
10:10 31.12.2019 	 3,63 	 4 	 9 	 174 	 7 	  
10:00 31.12.2019 	 3,65 	 5 	 8 	 183 	 7,2 	  
09:50 31.12.2019 	 3,66 	 6 	 10 	 178 	 7,5 	  
09:40 31.12.2019 	 3,67 	 5 	 8 	 175 	 7,3 	  
09:30 31.12.2019 	 3,66 	 5 	 8 	 173 	 7,4 	  
09:20 31.12.2019 	 3,65 	 5 	 7 	 174 	 7,3 	  
09:10 31.12.2019 	 3,63 	 4 	 7 	 176 	 7,1 	  
09:00 31.12.2019 	 3,6 	 4 	 8 	 165 	 6,7 	  
08:50 31.12.2019 	 3,57 	 3 	 4 	 91 	 5,7 	  
08:40 31.12.2019 	 3,52 	 3 	 4 	 123 	 6 	  
08:30 31.12.2019 	 3,47 	 3 	 6 	 138 	 6 	  
08:20 31.12.2019 	 3,41 	 3 	 5 	 137 	 6 	  
08:10 31.12.2019 	 3,34 	 5 	 7 	 163 	 6,2 	  
08:00 31.12.2019 	 3,27 	 6 	 10 	 172 	 6,2 	  
07:50 31.12.2019 	 3,19 	 5 	 9 	 175 	 6 	  
07:40 31.12.2019 	 3,1 	 5 	 9 	 173 	 5,9 	  
07:30 31.12.2019 	 3,01 	 6 	 10 	 175 	 6 	  
07:20 31.12.2019 	 2,91 	 8 	 15 	 175 	 6,1 	  
07:10 31.12.2019 	 2,81 	 8 	 11 	 173 	 6 	  
07:00 31.12.2019 	 2,71 	 7 	 12 	 177 	 6 	  
06:50 31.12.2019 	 2,6 	 8 	 15 	 174 	 5,9 	  
06:40 31.12.2019 	 2,5 	 9 	 15 	 174 	 5,9 	  
06:30 31.12.2019 	 2,38 	 8 	 15 	 175 	 6,2 	  
06:20 31.12.2019 	 2,27 	 7 	 13 	 178 	 6 	  
06:10 31.12.2019 	 2,16 	 8 	 14 	 173 	 6,1 	  
06:00 31.12.2019 	 2,05 	 8 	 14 	 172 	 6,3 	  
05:50 31.12.2019 	 1,94 	 6 	 10 	 172 	 6,3 	  
05:40 31.12.2019 	 1,83 	 7 	 13 	 169 	 6,3 	  
05:30 31.12.2019 	 1,73 	 6 	 10 	 164 	 6,2 	  
05:20 31.12.2019 	 1,63 	 4 	 8 	 150 	 5,5 	  
05:10 31.12.2019 	 1,53 	 4 	 6 	 124 	 4,7 	  
05:00 31.12.2019 	 1,44 	 4 	 6 	 119 	 4,5 	  
04:50 31.12.2019 	 1,35 	 3 	 6 	 127 	 4,5 	  
04:40 31.12.2019 	 1,27 	 2 	 4 	 126 	 4,4 	  
04:30 31.12.2019 	 1,2 	 2 	 3 	 135 	 4,2 	  
04:20 31.12.2019 	 1,14 	 2 	 4 	 130 	 4,4 	  
04:10 31.12.2019 	 1,08 	 2 	 3 	 133 	 4,3 	  
04:00 31.12.2019 	 1,04 	 2 	 4 	 120 	 4,2 	  
03:50 31.12.2019 	 1 	 3 	 5 	 124 	 4,1 	  
03:40 31.12.2019 	 0,97 	 3 	 4 	 110 	 3,8 	  
03:30 31.12.2019 	 0,95 	 3 	 4 	 101 	 3,7 	  
03:20 31.12.2019 	 0,94 	 4 	 5 	 111 	 3,7 	  
03:10 31.12.2019 	 0,95 	 3 	 4 	 88 	 3,2 	  
03:00 31.12.2019 	 0,96 	 4 	 5 	 85 	 3,1 	  
02:50 31.12.2019 	 0,98 	 4 	 5 	 82 	 3 	  
02:40 31.12.2019 	 1,01 	 3 	 5 	 97 	 3,2 	  
02:30 31.12.2019 	 1,05 	 3 	 4 	 114 	 3,2 	  
02:20 31.12.2019 	 1,11 	 3 	 5 	 133 	 3,5 	  
02:10 31.12.2019 	 1,16 	 4 	 5 	 139 	 3,5 	  
02:00 31.12.2019 	 1,23 	 3 	 5 	 144 	 3,5 	  
01:50 31.12.2019 	 1,31 	 3 	 5 	 151 	 3,6 	  
01:40 31.12.2019 	 1,39 	 3 	 6 	 159 	 3,7 	  
01:30 31.12.2019 	 1,48 	 3 	 5 	 145 	 3,7 	  
01:20 31.12.2019 	 1,57 	 3 	 4 	 124 	 3,5 	  
01:10 31.12.2019 	 1,67 	 3 	 4 	 139 	 3,5 	  
01:00 31.12.2019 	 1,77 	 3 	 5 	 160 	 3,7 	  
00:50 31.12.2019 	 1,87 	 3 	 5 	 171 	 3,8 	  
00:40 31.12.2019 	 1,98 	 4 	 7 	 185 	 4 	  
00:30 31.12.2019 	 2,09 	 4 	 9 	 175 	 4,2 	  
00:20 31.12.2019 	 2,2 	 4 	 8 	 164 	 4,2 	  
00:10 31.12.2019 	 2,31 	 3 	 5 	 141 	 3,7 	  
00:00 31.12.2019 	 2,41 	 3 	 5 	 145 	 3,7 	  
23:50 30.12.2019 	 2,52 	 3 	 5 	 153 	 3,7 	  
23:40 30.12.2019 	 2,62 	 3 	 4 	 148 	 3,6 	  
23:30 30.12.2019 	 2,72 	 3 	 5 	 145 	 3,6 	  
23:20 30.12.2019 	 2,82 	 3 	 5 	 148 	 3,7 	  
23:10 30.12.2019 	 2,91 	 3 	 5 	 167 	 3,9 	  
23:00 30.12.2019 	 2,99 	 3 	 6 	 164 	 3,7 	  
22:50 30.12.2019 	 3,07 	 3 	 5 	 164 	 3,5 	  
22:40 30.12.2019 	 3,14 	 3 	 4 	 155 	 3,4 	  
22:30 30.12.2019 	 3,21 	 3 	 4 	 166 	 3,3 	  
22:20 30.12.2019 	 3,26 	 3 	 5 	 162 	 3,1 	  
22:10 30.12.2019 	 3,31 	 2 	 3 	 162 	 3 	  
22:00 30.12.2019 	 3,36 	 3 	 5 	 170 	 3,2 	  
21:50 30.12.2019 	 3,39 	 3 	 5 	 165 	 3,2 	  
21:40 30.12.2019 	 3,41 	 3 	 4 	 172 	 3,3 	  
21:30 30.12.2019 	 3,43 	 3 	 5 	 183 	 3,7 	  
21:20 30.12.2019 	 3,44 	 3 	 6 	 183 	 3,7 	  
21:10 30.12.2019 	 3,43 	 2 	 4 	 174 	 3,2 	  
21:00 30.12.2019 	 3,42 	 2 	 4 	 172 	 3,2 	  
20:50 30.12.2019 	 3,4 	 3 	 4 	 171 	 3,4 	  
20:40 30.12.2019 	 3,37 	 3 	 4 	 180 	 3,3 	  
20:30 30.12.2019 	 3,34 	 4 	 6 	 184 	 3,5 	  
20:20 30.12.2019 	 3,29 	 3 	 6 	 187 	 3,5 	  
20:10 30.12.2019 	 3,24 	 4 	 9 	 197 	 3,5 	  
20:00 30.12.2019 	 3,18 	 3 	 5 	 155 	 2,8 	  
19:50 30.12.2019 	 3,11 	 3 	 4 	 153 	 2,9 	  
19:40 30.12.2019 	 3,03 	 2 	 3 	 168 	 3 	  
19:30 30.12.2019 	 2,95 	 3 	 4 	 175 	 3,2 	  
19:20 30.12.2019 	 2,86 	 4 	 8 	 198 	 3,4 	  
19:10 30.12.2019 	 2,77 	 3 	 6 	 201 	 3,4 	  
19:00 30.12.2019 	 2,67 	 4 	 10 	 208 	 3,4 	  
18:50 30.12.2019 	 2,57 	 2 	 3 	 94 	 2 	  
18:40 30.12.2019 	 2,46 	 3 	 3 	 70 	 1,7 	  
18:30 30.12.2019 	 2,36 	 3 	 5 	 73 	 1,3 	  
18:20 30.12.2019 	 2,24 	 4 	 5 	 76 	 1,3 	  
18:10 30.12.2019 	 2,13 	 4 	 6 	 66 	 1,5 	  
18:00 30.12.2019 	 2,02 	 5 	 7 	 71 	 1,7 	  
17:50 30.12.2019 	 1,91 	 5 	 8 	 70 	 1,7 	  
17:40 30.12.2019 	 1,8 	 5 	 6 	 72 	 2 	  
17:30 30.12.2019 	 1,69 	 5 	 7 	 71 	 1,9 	  
17:20 30.12.2019 	 1,58 	 4 	 6 	 77 	 1,9 	  
17:10 30.12.2019 	 1,48 	 4 	 6 	 79 	 1,8 	  
17:00 30.12.2019 	 1,38 	 4 	 5 	 81 	 1,8 	  
16:50 30.12.2019 	 1,29 	 3 	 5 	 92 	 2 	  
16:40 30.12.2019 	 1,21 	 2 	 3 	 89 	 2,3 	  
16:30 30.12.2019 	 1,13 	 3 	 4 	 110 	 2,2 	  
16:20 30.12.2019 	 1,06 	 3 	 4 	 119 	 2,3 	  
16:10 30.12.2019 	 1 	 3 	 3 	 116 	 2,2 	  
16:00 30.12.2019 	 0,95 	 3 	 4 	 119 	 2,1 	  
15:50 30.12.2019 	 0,9 	 2 	 3 	 101 	 2,1 	  
15:40 30.12.2019 	 0,87 	 2 	 3 	 95 	 2,3 	  
15:30 30.12.2019 	 0,85 	 2 	 2 	 111 	 2 	  
15:20 30.12.2019 	 0,84 	 1 	 2 	 109 	 2,1 	  
15:10 30.12.2019 	 0,83 	 2 	 2 	 77 	 2 	  
15:00 30.12.2019 	 0,85 	 2 	 4 	 78 	 1,9 	  
14:50 30.12.2019 	 0,87 	 2 	 4 	 64 	 2,1 	  
14:40 30.12.2019 	 0,9 	 3 	 4 	 80 	 2,1 	  
14:30 30.12.2019 	 0,94 	 2 	 4 	 102 	 1,9 	  
14:20 30.12.2019 	 1 	 2 	 4 	 100 	 2 	  
