 Timabil 	 Flodatafla (m)	Sjavarhaed (m)	Vindur (m/s)	Hvida (m/s)	Vindatt (deg)	Loftthrystingur (hpa)	Lofthiti (degC)	
00:00 01.01.2020 	 1,69 	 1,35 	 5 	 7 	 188 	 986 	 5,6 	  
23:50 31.12.2019 	 1,75 	 1,55 	 5 	 6 	 180 	 986 	 5,7 	  
23:40 31.12.2019 	 1,81 	 1,65 	 5 	 6 	 186 	 986 	 5,5 	  
23:30 31.12.2019 	 1,87 	 1,63 	 5 	 7 	 190 	 987 	 5,6 	  
23:20 31.12.2019 	 1,93 	 1,7 	 5 	 6 	 193 	 987 	 5,5 	  
23:10 31.12.2019 	 1,98 	 1,7 	 5 	 7 	 206 	 987 	 5,5 	  
23:00 31.12.2019 	 2,04 	 1,83 	 5 	 7 	 195 	 987 	 5,7 	  
22:50 31.12.2019 	 2,08 	 2,05 	 6 	 7 	 193 	 988 	 5,7 	  
22:40 31.12.2019 	 2,12 	 1,88 	 6 	 8 	 200 	 988 	 5,8 	  
22:30 31.12.2019 	 2,16 	 1,75 	 6 	 8 	 201 	 988 	 5,9 	  
22:20 31.12.2019 	 2,2 	 1,89 	 6 	 8 	 198 	 988 	 5,9 	  
22:10 31.12.2019 	 2,23 	 2 	 6 	 9 	 189 	 989 	 6 	  
22:00 31.12.2019 	 2,25 	 1,91 	 6 	 9 	 188 	 989 	 6,1 	  
21:50 31.12.2019 	 2,27 	 1,74 	 7 	 10 	 185 	 989 	 6,1 	  
21:40 31.12.2019 	 2,28 	 2,19 	 7 	 9 	 188 	 990 	 6,2 	  
21:30 31.12.2019 	 2,3 	 1,97 	 8 	 10 	 188 	 990 	 6,2 	  
21:20 31.12.2019 	 2,3 	 1,97 	 7 	 10 	 185 	 990 	 6,5 	  
21:10 31.12.2019 	 2,3 	 1,83 	 6 	 10 	 193 	 991 	 6,4 	  
21:00 31.12.2019 	 2,28 	 2 	 6 	 10 	 200 	 991 	 6,5 	  
20:50 31.12.2019 	 2,27 	 2,01 	 6 	 8 	 201 	 991 	 6,5 	  
20:40 31.12.2019 	 2,25 	 1,97 	 6 	 8 	 193 	 991 	 6,6 	  
20:30 31.12.2019 	 2,23 	 1,96 	 5 	 7 	 182 	 991 	 6,7 	  
20:20 31.12.2019 	 2,2 	 1,86 	 5 	 7 	 183 	 991 	 6,7 	  
20:10 31.12.2019 	 2,16 	 2,15 	 6 	 8 	 185 	 992 	 6,7 	  
20:00 31.12.2019 	 2,13 	 1,83 	 6 	 7 	 180 	 992 	 6,7 	  
19:50 31.12.2019 	 2,08 	 1,89 	 5 	 6 	 178 	 992 	 6,7 	  
19:40 31.12.2019 	 2,04 	 1,96 	 5 	 7 	 185 	 992 	 6,6 	  
19:30 31.12.2019 	 1,98 	 1,87 	 4 	 6 	 190 	 992 	 6,6 	  
19:20 31.12.2019 	 1,93 	 1,71 	 5 	 6 	 199 	 993 	 6,7 	  
19:10 31.12.2019 	 1,87 	 1,64 	 5 	 8 	 205 	 993 	 6,7 	  
19:00 31.12.2019 	 1,81 	 1,63 	 6 	 8 	 210 	 993 	 6,7 	  
18:50 31.12.2019 	 1,75 	 1,48 	 5 	 7 	 213 	 993 	 6,7 	  
18:40 31.12.2019 	 1,69 	 1,63 	 4 	 6 	 215 	 993 	 6,7 	  
18:30 31.12.2019 	 1,62 	 1,5 	 4 	 6 	 221 	 993 	 6,7 	  
18:20 31.12.2019 	 1,55 	 1,21 	 4 	 6 	 227 	 993 	 6,7 	  
18:10 31.12.2019 	 1,48 	 1,43 	 5 	 7 	 228 	 993 	 6,6 	  
18:00 31.12.2019 	 1,41 	 1,34 	 6 	 8 	 230 	 993 	 6,6 	  
17:50 31.12.2019 	 1,35 	 1,02 	 6 	 8 	 228 	 993 	 6,7 	  
17:40 31.12.2019 	 1,28 	 1,17 	 6 	 9 	 231 	 993 	 6,6 	  
17:30 31.12.2019 	 1,22 	 0,94 	 5 	 7 	 238 	 993 	 6,6 	  
17:20 31.12.2019 	 1,16 	 1,08 	 7 	 9 	 241 	 993 	 6,5 	  
17:10 31.12.2019 	 1,09 	 0,83 	 7 	 10 	 238 	 992 	 6,6 	  
17:00 31.12.2019 	 1,04 	 1,12 	 8 	 11 	 241 	 992 	 6,6 	  
16:50 31.12.2019 	 0,98 	 0,91 	 8 	 12 	 240 	 992 	 6,7 	  
16:40 31.12.2019 	 0,92 	 0,72 	 8 	 12 	 241 	 992 	 6,8 	  
16:30 31.12.2019 	 0,88 	 0,57 	 9 	 12 	 241 	 992 	 6,9 	  
16:20 31.12.2019 	 0,83 	 0,74 	 9 	 13 	 240 	 992 	 7 	  
16:10 31.12.2019 	 0,8 	 0,55 	 10 	 14 	 232 	 992 	 7,3 	  
16:00 31.12.2019 	 0,77 	 0,74 	 10 	 14 	 224 	 992 	 7,6 	  
15:50 31.12.2019 	 0,74 	 0,8 	 12 	 18 	 221 	 992 	 7,8 	  
15:40 31.12.2019 	 0,72 	 0,45 	 12 	 17 	 219 	 991 	 7,8 	  
15:30 31.12.2019 	 0,71 	 0,89 	 13 	 18 	 217 	 991 	 8 	  
15:20 31.12.2019 	 0,7 	 0,73 	 12 	 17 	 219 	 991 	 7,9 	  
15:10 31.12.2019 	 0,7 	 0,8 	 12 	 17 	 219 	 991 	 8 	  
15:00 31.12.2019 	 0,71 	 0,55 	 14 	 20 	 214 	 991 	 8,3 	  
14:50 31.12.2019 	 0,72 	 0,49 	 13 	 19 	 207 	 991 	 8,4 	  
14:40 31.12.2019 	 0,74 	 0,85 	 14 	 20 	 209 	 991 	 8,5 	  
14:30 31.12.2019 	 0,76 	 0,76 	 15 	 20 	 209 	 991 	 8,5 	  
14:20 31.12.2019 	 0,8 	 0,81 	 14 	 23 	 207 	 991 	 8,4 	  
14:10 31.12.2019 	 0,84 	 0,72 	 15 	 20 	 206 	 992 	 8,5 	  
14:00 31.12.2019 	 0,88 	 1 	 15 	 20 	 207 	 992 	 8,5 	  
13:50 31.12.2019 	 0,93 	 0,75 	 15 	 21 	 206 	 992 	 8,6 	  
13:40 31.12.2019 	 0,99 	 0,94 	 15 	 21 	 204 	 992 	 8,5 	  
13:30 31.12.2019 	 1,05 	 0,89 	 15 	 21 	 206 	 992 	 8,4 	  
13:20 31.12.2019 	 1,11 	 0,98 	 15 	 22 	 203 	 992 	 8,3 	  
13:10 31.12.2019 	 1,18 	 1,01 	 14 	 21 	 201 	 992 	 8,3 	  
13:00 31.12.2019 	 1,25 	 1,25 	 14 	 19 	 198 	 993 	 8,1 	  
12:50 31.12.2019 	 1,32 	 1,27 	 14 	 20 	 196 	 993 	 8,1 	  
