 Timabil 	 Flodatafla (m)	Sjavarhaed (m)	Vindur (m/s)	Hvida (m/s)	Vindatt (deg)	Loftthrystingur (hpa)	Lofthiti (degC)	
00:00 01.01.2020 	 3,14 	 3,27 	 10 	 17 	 240 	 981 	 5,5 	  
23:50 31.12.2019 	 3,2 	 3,32 	 11 	 16 	 237 	 981 	 5,5 	  
23:40 31.12.2019 	 3,26 	 3,39 	 12 	 18 	 234 	 981 	 5,5 	  
23:30 31.12.2019 	 3,31 	 3,4 	 10 	 15 	 234 	 981 	 5,5 	  
23:20 31.12.2019 	 3,35 	 3,44 	 10 	 16 	 242 	 981 	 5,4 	  
23:10 31.12.2019 	 3,39 	 3,51 	 11 	 15 	 237 	 981 	 5,5 	  
23:00 31.12.2019 	 3,41 	 3,51 	 12 	 18 	 234 	 981 	 5,5 	  
22:50 31.12.2019 	 3,43 	 3,51 	 14 	 20 	 232 	 982 	 5,8 	  
22:40 31.12.2019 	 3,45 	 3,53 	 12 	 19 	 235 	 982 	 5,9 	  
22:30 31.12.2019 	 3,45 	 3,53 	 13 	 22 	 232 	 982 	 5,9 	  
22:20 31.12.2019 	 3,45 	 3,57 	 13 	 19 	 231 	 982 	 6 	  
22:10 31.12.2019 	 3,43 	 3,57 	 12 	 19 	 231 	 982 	 5,9 	  
22:00 31.12.2019 	 3,41 	 3,54 	 12 	 19 	 230 	 982 	 6,2 	  
21:50 31.12.2019 	 3,39 	 3,53 	 13 	 20 	 233 	 983 	 6,2 	  
21:40 31.12.2019 	 3,35 	 3,47 	 14 	 20 	 229 	 983 	 6,3 	  
21:30 31.12.2019 	 3,31 	 3,44 	 13 	 18 	 230 	 983 	 5,9 	  
21:20 31.12.2019 	 3,26 	 3,38 	 10 	 21 	 230 	 984 	 6 	  
21:10 31.12.2019 	 3,21 	 3,33 	 12 	 19 	 220 	 984 	 6,4 	  
21:00 31.12.2019 	 3,14 	 3,27 	 12 	 18 	 224 	 984 	 6,5 	  
20:50 31.12.2019 	 3,08 	 3,19 	 11 	 17 	 226 	 984 	 6,4 	  
20:40 31.12.2019 	 3 	 3,12 	 11 	 18 	 222 	 984 	 6,6 	  
20:30 31.12.2019 	 2,93 	 3,05 	 12 	 19 	 222 	 984 	 6,6 	  
20:20 31.12.2019 	 2,84 	 2,98 	 11 	 16 	 227 	 985 	 6,2 	  
20:10 31.12.2019 	 2,76 	 2,87 	 11 	 16 	 224 	 985 	 6,3 	  
20:00 31.12.2019 	 2,67 	 2,8 	 9 	 12 	 229 	 985 	 6 	  
19:50 31.12.2019 	 2,58 	 2,66 	 11 	 15 	 228 	 985 	 6,1 	  
19:40 31.12.2019 	 2,48 	 2,57 	 13 	 18 	 234 	 986 	 6,2 	  
19:30 31.12.2019 	 2,39 	 2,49 	 10 	 14 	 232 	 986 	 6,2 	  
19:20 31.12.2019 	 2,29 	 2,37 	 10 	 15 	 229 	 986 	 6,6 	  
19:10 31.12.2019 	 2,19 	 2,25 	 11 	 15 	 218 	 986 	 6,8 	  
19:00 31.12.2019 	 2,1 	 2,17 	 9 	 13 	 205 	 986 	 6,6 	  
18:50 31.12.2019 	 2 	 2,07 	 11 	 16 	 214 	 986 	 6,9 	  
18:40 31.12.2019 	 1,91 	 1,95 	 11 	 16 	 218 	 986 	 7,1 	  
18:30 31.12.2019 	 1,82 	 1,84 	 10 	 15 	 225 	 986 	 7,1 	  
18:20 31.12.2019 	 1,73 	 1,77 	 10 	 16 	 228 	 986 	 6,9 	  
18:10 31.12.2019 	 1,65 	 1,65 	 10 	 14 	 227 	 987 	 7 	  
18:00 31.12.2019 	 1,57 	 1,57 	 9 	 15 	 231 	 987 	 6,8 	  
17:50 31.12.2019 	 1,49 	 1,52 	 10 	 14 	 232 	 987 	 6,9 	  
17:40 31.12.2019 	 1,43 	 1,42 	 9 	 13 	 231 	 987 	 7 	  
17:30 31.12.2019 	 1,36 	 1,36 	 9 	 14 	 233 	 987 	 6,9 	  
17:20 31.12.2019 	 1,31 	 1,31 	 8 	 11 	 231 	 987 	 6,7 	  
17:10 31.12.2019 	 1,27 	 1,25 	 8 	 12 	 231 	 987 	 6,5 	  
17:00 31.12.2019 	 1,23 	 1,22 	 9 	 12 	 232 	 988 	 6,7 	  
16:50 31.12.2019 	 1,2 	 1,24 	 9 	 11 	 234 	 988 	 6,6 	  
