 Timabil 	 Flodatafla (m)	Sjavarhaed (m)	Vindur (m/s)	Hvida (m/s)	Vindatt (deg)	Loftthrystingur (hpa)	Lofthiti (degC)	
00:00 01.01.2020 	 2,67 	 2,49 	 13 	 19 	 205 	 985 	 4,9 	  
23:50 31.12.2019 	 2,75 	 2,57 	 11 	 15 	 194 	 985 	 5,8 	  
23:40 31.12.2019 	 2,83 	 2,64 	 10 	 13 	 194 	 985 	 5,7 	  
23:30 31.12.2019 	 2,91 	 2,74 	 10 	 13 	 194 	 985 	 5,7 	  
23:20 31.12.2019 	 2,97 	 2,79 	 10 	 13 	 194 	 986 	 5,7 	  
23:10 31.12.2019 	 3,03 	 2,85 	 10 	 13 	 192 	 986 	 5,8 	  
23:00 31.12.2019 	 3,09 	 2,78 	 9 	 13 	 194 	 986 	 5,9 	  
22:50 31.12.2019 	 3,14 	 2,88 	 9 	 13 	 191 	 986 	 5,9 	  
22:40 31.12.2019 	 3,18 	 3 	 9 	 13 	 186 	 986 	 6 	  
22:30 31.12.2019 	 3,22 	 2,94 	 9 	 12 	 183 	 986 	 5,9 	  
22:20 31.12.2019 	 3,24 	 2,99 	 9 	 12 	 183 	 986 	 5,8 	  
22:10 31.12.2019 	 3,26 	 3,08 	 10 	 13 	 186 	 987 	 6 	  
22:00 31.12.2019 	 3,28 	 3,01 	 9 	 12 	 184 	 987 	 6,1 	  
21:50 31.12.2019 	 3,28 	 3,07 	 8 	 11 	 186 	 987 	 6,1 	  
21:40 31.12.2019 	 3,28 	 2,89 	 9 	 12 	 189 	 988 	 5,9 	  
21:30 31.12.2019 	 3,26 	 3,02 	 10 	 15 	 187 	 988 	 6,1 	  
21:20 31.12.2019 	 3,24 	 3,03 	 10 	 14 	 187 	 988 	 6 	  
21:10 31.12.2019 	 3,22 	 2,98 	 10 	 13 	 187 	 988 	 6,1 	  
21:00 31.12.2019 	 3,18 	 2,97 	 10 	 13 	 185 	 989 	 6,2 	  
20:50 31.12.2019 	 3,14 	 2,94 	 10 	 13 	 190 	 989 	 6,1 	  
20:40 31.12.2019 	 3,09 	 2,85 	 9 	 11 	 198 	 989 	 6 	  
20:30 31.12.2019 	 3,04 	 2,81 	 10 	 13 	 196 	 990 	 5,9 	  
20:20 31.12.2019 	 2,97 	 2,77 	 9 	 12 	 188 	 990 	 5,8 	  
20:10 31.12.2019 	 2,91 	 2,71 	 10 	 14 	 187 	 990 	 5,7 	  
20:00 31.12.2019 	 2,83 	 2,57 	 10 	 14 	 190 	 990 	 6,1 	  
19:50 31.12.2019 	 2,76 	 2,59 	 9 	 13 	 184 	 990 	 6,1 	  
19:40 31.12.2019 	 2,67 	 2,51 	 9 	 12 	 179 	 990 	 6,2 	  
19:30 31.12.2019 	 2,59 	 2,35 	 9 	 12 	 180 	 990 	 6,1 	  
19:20 31.12.2019 	 2,5 	 2,36 	 9 	 12 	 178 	 990 	 6,2 	  
19:10 31.12.2019 	 2,41 	 2,21 	 9 	 12 	 177 	 990 	 6,1 	  
19:00 31.12.2019 	 2,31 	 2,1 	 9 	 11 	 180 	 991 	 6,1 	  
18:50 31.12.2019 	 2,22 	 2,02 	 9 	 11 	 183 	 991 	 6 	  
18:40 31.12.2019 	 2,12 	 1,95 	 8 	 11 	 184 	 991 	 6 	  
18:30 31.12.2019 	 2,02 	 1,88 	 9 	 12 	 185 	 991 	 6 	  
18:20 31.12.2019 	 1,93 	 1,71 	 9 	 13 	 186 	 991 	 6,1 	  
18:10 31.12.2019 	 1,83 	 1,69 	 9 	 12 	 185 	 991 	 6,2 	  
18:00 31.12.2019 	 1,74 	 1,56 	 9 	 12 	 184 	 991 	 5,9 	  
17:50 31.12.2019 	 1,65 	 1,51 	 8 	 12 	 189 	 992 	 5,7 	  
17:40 31.12.2019 	 1,56 	 1,43 	 7 	 12 	 184 	 992 	 5,9 	  
17:30 31.12.2019 	 1,48 	 1,36 	 7 	 9 	 182 	 992 	 5,8 	  
17:20 31.12.2019 	 1,4 	 1,25 	 7 	 8 	 179 	 992 	 5,8 	  
17:10 31.12.2019 	 1,32 	 1,21 	 6 	 8 	 180 	 992 	 5,7 	  
17:00 31.12.2019 	 1,26 	 1,11 	 6 	 9 	 184 	 992 	 5,7 	  
16:50 31.12.2019 	 1,19 	 1,12 	 6 	 9 	 186 	 992 	 5,7 	  
16:40 31.12.2019 	 1,14 	 1,07 	 6 	 9 	 186 	 992 	 5,7 	  
16:30 31.12.2019 	 1,1 	 0,98 	 6 	 8 	 189 	 992 	 5,6 	  
16:20 31.12.2019 	 1,06 	 1,03 	 6 	 7 	 191 	 992 	 5,6 	  
16:10 31.12.2019 	 1,03 	 0,91 	 6 	 7 	 195 	 992 	 5,4 	  
16:00 31.12.2019 	 1,01 	 0,94 	 5 	 6 	 193 	 992 	 5,3 	  
15:50 31.12.2019 	 1 	 0,92 	 5 	 6 	 194 	 992 	 5,2 	  
15:40 31.12.2019 	 1 	 0,97 	 5 	 6 	 194 	 992 	 5,1 	  
15:30 31.12.2019 	 1,01 	 0,97 	 4 	 5 	 195 	 992 	 5,1 	  
15:20 31.12.2019 	 1,03 	 0,95 	 4 	 5 	 204 	 992 	 5,1 	  
15:10 31.12.2019 	 1,06 	 1,06 	 4 	 5 	 213 	 992 	 5,2 	  
15:00 31.12.2019 	 1,09 	 0,99 	 4 	 5 	 221 	 992 	 5,3 	  
14:50 31.12.2019 	 1,14 	 1,09 	 5 	 6 	 222 	 992 	 5,3 	  
14:40 31.12.2019 	 1,2 	 1,13 	 5 	 6 	 220 	 992 	 5,3 	  
14:30 31.12.2019 	 1,26 	 1,19 	 5 	 6 	 223 	 992 	 5,4 	  
14:20 31.12.2019 	 1,33 	 1,19 	 5 	 7 	 223 	 992 	 5,4 	  
14:10 31.12.2019 	 1,41 	 1,43 	 4 	 7 	 215 	 992 	 5,2 	  
14:00 31.12.2019 	 1,5 	 1,41 	 4 	 6 	 215 	 992 	 5,2 	  
13:50 31.12.2019 	 1,59 	 1,45 	 4 	 5 	 215 	 992 	 5 	  
13:40 31.12.2019 	 1,69 	 1,56 	 5 	 6 	 201 	 992 	 4,9 	  
13:30 31.12.2019 	 1,79 	 1,75 	 5 	 5 	 195 	 992 	 5 	  
13:20 31.12.2019 	 1,89 	 1,7 	 4 	 5 	 195 	 992 	 4,9 	  
