 Timabil 	 Flodatafla (m)	Sjavarhaed (m)	Vindur (m/s)	Hvida (m/s)	Vindatt (deg)	Loftthrystingur (hpa)	Lofthiti (degC)	
00:00 01.01.2020 	 1,13 	 1,15 	 13 	 17 	 175 	 982 	 4,5 	  
23:50 31.12.2019 	 1,1 	 1,14 	 12 	 15 	 174 	 982 	 4,6 	  
23:40 31.12.2019 	 1,07 	 1,11 	 13 	 16 	 178 	 983 	 4,5 	  
23:30 31.12.2019 	 1,04 	 1,09 	 14 	 18 	 176 	 983 	 4,8 	  
23:20 31.12.2019 	 1 	 1,04 	 13 	 16 	 175 	 983 	 4,6 	  
23:10 31.12.2019 	 0,96 	 1 	 13 	 17 	 174 	 983 	 4,5 	  
23:00 31.12.2019 	 0,92 	 1 	 14 	 17 	 174 	 983 	 4,5 	  
22:50 31.12.2019 	 0,89 	 0,95 	 14 	 17 	 178 	 984 	 4,6 	  
22:40 31.12.2019 	 0,85 	 0,94 	 14 	 18 	 175 	 984 	 4,6 	  
22:30 31.12.2019 	 0,81 	 0,9 	 12 	 15 	 169 	 984 	 4,5 	  
22:20 31.12.2019 	 0,77 	 0,86 	 13 	 16 	 172 	 984 	 4,6 	  
22:10 31.12.2019 	 0,73 	 0,82 	 15 	 19 	 174 	 985 	 4,8 	  
22:00 31.12.2019 	 0,7 	 0,77 	 14 	 17 	 177 	 985 	 5,1 	  
21:50 31.12.2019 	 0,66 	 0,72 	 14 	 18 	 175 	 985 	 5,1 	  
21:40 31.12.2019 	 0,62 	 0,69 	 14 	 17 	 174 	 985 	 4,8 	  
21:30 31.12.2019 	 0,59 	 0,65 	 14 	 18 	 179 	 985 	 4,5 	  
21:20 31.12.2019 	 0,56 	 0,61 	 15 	 19 	 182 	 986 	 4,4 	  
21:10 31.12.2019 	 0,53 	 0,57 	 14 	 19 	 183 	 986 	 4,8 	  
21:00 31.12.2019 	 0,5 	 0,52 	 13 	 18 	 185 	 986 	 4,4 	  
20:50 31.12.2019 	 0,48 	 0,5 	 14 	 18 	 180 	 986 	 4,3 	  
20:40 31.12.2019 	 0,46 	 0,45 	 13 	 16 	 181 	 987 	 4,6 	  
20:30 31.12.2019 	 0,44 	 0,42 	 12 	 14 	 176 	 987 	 4,5 	  
20:20 31.12.2019 	 0,42 	 0,42 	 11 	 14 	 179 	 987 	 4,5 	  
20:10 31.12.2019 	 0,41 	 0,4 	 13 	 16 	 188 	 987 	 4,2 	  
20:00 31.12.2019 	 0,4 	 0,38 	 12 	 17 	 187 	 988 	 4,1 	  
19:50 31.12.2019 	 0,4 	 0,36 	 10 	 14 	 176 	 988 	 4,3 	  
19:40 31.12.2019 	 0,4 	 0,37 	 10 	 13 	 179 	 988 	 4,1 	  
19:30 31.12.2019 	 0,4 	 0,4 	 11 	 14 	 176 	 988 	 3,9 	  
19:20 31.12.2019 	 0,41 	 0,39 	 8 	 11 	 157 	 988 	 3,4 	  
19:10 31.12.2019 	 0,42 	 0,43 	 9 	 11 	 174 	 988 	 4 	  
19:00 31.12.2019 	 0,44 	 0,46 	 9 	 11 	 177 	 989 	 4 	  
18:50 31.12.2019 	 0,46 	 0,48 	 4 	 7 	 150 	 989 	 3,8 	  
