 Timabil 	 Flodatafla (m)	Sjavarhaed (m)	Vindur (m/s)	Hvida (m/s)	Vindatt (deg)	Lofthiti (°C)	
00:00 01.01.2020 	 2,75 	 3,2 	 6 	 10 	 204 	 6,3 	  
23:50 31.12.2019 	 2,83 	 3,25 	 5 	 9 	 201 	 6,2 	  
23:40 31.12.2019 	 2,91 	 3,33 	 6 	 9 	 202 	 6,2 	  
23:30 31.12.2019 	 2,97 	 3,42 	 6 	 10 	 198 	 6,3 	  
23:20 31.12.2019 	 3,03 	 3,48 	 6 	 10 	 196 	 6,4 	  
23:10 31.12.2019 	 3,09 	 3,53 	 6 	 9 	 196 	 6,4 	  
23:00 31.12.2019 	 3,14 	 3,55 	 6 	 10 	 196 	 6,3 	  
22:50 31.12.2019 	 3,18 	 3,55 	 6 	 9 	 198 	 6,3 	  
22:40 31.12.2019 	 3,22 	 3,54 	 6 	 9 	 193 	 6,3 	  
22:30 31.12.2019 	 3,24 	 3,58 	 6 	 9 	 193 	 6,4 	  
22:20 31.12.2019 	 3,26 	 3,62 	 5 	 9 	 196 	 6,6 	  
22:10 31.12.2019 	 3,28 	 3,66 	 6 	 10 	 198 	 6,6 	  
22:00 31.12.2019 	 3,28 	 3,65 	 6 	 10 	 195 	 6,5 	  
21:50 31.12.2019 	 3,28 	 3,62 	 6 	 10 	 197 	 6,7 	  
21:40 31.12.2019 	 3,26 	 3,58 	 5 	 7 	 195 	 6,8 	  
21:30 31.12.2019 	 3,24 	 3,54 	 5 	 9 	 201 	 6,7 	  
21:20 31.12.2019 	 3,22 	 3,56 	 6 	 10 	 210 	 6,8 	  
21:10 31.12.2019 	 3,18 	 3,54 	 6 	 10 	 211 	 6,6 	  
21:00 31.12.2019 	 3,14 	 3,5 	 6 	 10 	 209 	 6,5 	  
20:50 31.12.2019 	 3,09 	 3,45 	 6 	 10 	 206 	 6,8 	  
20:40 31.12.2019 	 3,04 	 3,4 	 6 	 9 	 193 	 7 	  
20:30 31.12.2019 	 2,97 	 3,36 	 5 	 9 	 184 	 6,7 	  
20:20 31.12.2019 	 2,91 	 3,29 	 5 	 7 	 177 	 6,8 	  
20:10 31.12.2019 	 2,83 	 3,22 	 5 	 8 	 183 	 6,9 	  
20:00 31.12.2019 	 2,76 	 3,17 	 5 	 9 	 186 	 6,9 	  
19:50 31.12.2019 	 2,67 	 3,09 	 5 	 9 	 192 	 6,9 	  
19:40 31.12.2019 	 2,59 	 3,01 	 4 	 7 	 188 	 6,7 	  
19:30 31.12.2019 	 2,5 	 2,89 	 5 	 9 	 189 	 6,7 	  
19:20 31.12.2019 	 2,41 	 2,77 	 5 	 9 	 191 	 6,8 	  
19:10 31.12.2019 	 2,31 	 2,64 	 4 	 7 	 188 	 6,8 	  
19:00 31.12.2019 	 2,22 	 2,54 	 5 	 8 	 186 	 6,8 	  
18:50 31.12.2019 	 2,12 	 2,43 	 3 	 6 	 178 	 6,5 	  
18:40 31.12.2019 	 2,02 	 2,33 	 3 	 6 	 170 	 6,4 	  
18:30 31.12.2019 	 1,93 	 2,23 	 3 	 6 	 160 	 6,3 	  
18:20 31.12.2019 	 1,83 	 2,13 	 3 	 6 	 172 	 6,4 	  
18:10 31.12.2019 	 1,74 	 1,98 	 4 	 6 	 177 	 6,3 	  
18:00 31.12.2019 	 1,65 	 1,87 	 4 	 6 	 178 	 6,2 	  
17:50 31.12.2019 	 1,56 	 1,8 	 3 	 5 	 175 	 6,1 	  
17:40 31.12.2019 	 1,48 	 1,72 	 3 	 5 	 180 	 6,1 	  
17:30 31.12.2019 	 1,4 	 1,66 	 3 	 6 	 178 	 5,9 	  
