 Timabil 	 Flodatafla (m)	Sjavarhaed (m)	Vindur (m/s)	Hvida (m/s)	Vindatt (deg)	Loftthrystingur (hpa)	Lofthiti (degC)	
00:00 01.01.2020 	 1,88 	 1,83 	 7 	 10 	 207 	 985 	 6,4 	  
23:50 31.12.2019 	 1,94 	 1,96 	 7 	 11 	 207 	 986 	 6,3 	  
23:40 31.12.2019 	 2 	 1,8 	 7 	 11 	 208 	 986 	 6,4 	  
23:30 31.12.2019 	 2,06 	 2,19 	 7 	 11 	 207 	 986 	 6,3 	  
23:20 31.12.2019 	 2,12 	 2,08 	 7 	 11 	 203 	 986 	 6,3 	  
23:10 31.12.2019 	 2,18 	 2,16 	 7 	 10 	 205 	 986 	 6,3 	  
23:00 31.12.2019 	 2,23 	 2,3 	 7 	 10 	 205 	 987 	 6,3 	  
22:50 31.12.2019 	 2,27 	 2,16 	 7 	 10 	 202 	 987 	 6,4 	  
22:40 31.12.2019 	 2,32 	 2,33 	 7 	 10 	 204 	 987 	 6,5 	  
22:30 31.12.2019 	 2,36 	 2,43 	 7 	 10 	 206 	 987 	 6,5 	  
22:20 31.12.2019 	 2,39 	 2,42 	 6 	 10 	 208 	 988 	 6,3 	  
22:10 31.12.2019 	 2,42 	 2,39 	 8 	 11 	 206 	 988 	 6,5 	  
22:00 31.12.2019 	 2,43 	 2,37 	 8 	 11 	 204 	 988 	 6,5 	  
21:50 31.12.2019 	 2,45 	 2,27 	 8 	 12 	 204 	 988 	 6,6 	  
21:40 31.12.2019 	 2,46 	 2,51 	 8 	 12 	 206 	 989 	 6,6 	  
21:30 31.12.2019 	 2,46 	 2,2 	 8 	 11 	 205 	 989 	 6,8 	  
21:20 31.12.2019 	 2,46 	 2,46 	 8 	 12 	 202 	 989 	 6,7 	  
21:10 31.12.2019 	 2,45 	 2,69 	 8 	 12 	 204 	 990 	 6,8 	  
21:00 31.12.2019 	 2,43 	 2,3 	 8 	 13 	 202 	 990 	 6,8 	  
20:50 31.12.2019 	 2,42 	 2,18 	 8 	 11 	 198 	 990 	 6,8 	  
20:40 31.12.2019 	 2,39 	 2,38 	 8 	 10 	 197 	 990 	 6,8 	  
20:30 31.12.2019 	 2,36 	 2,47 	 8 	 11 	 198 	 990 	 6,8 	  
20:20 31.12.2019 	 2,32 	 2,19 	 7 	 11 	 194 	 990 	 6,8 	  
20:10 31.12.2019 	 2,28 	 2,08 	 7 	 10 	 196 	 991 	 6,8 	  
20:00 31.12.2019 	 2,23 	 2,29 	 7 	 9 	 198 	 991 	 6,8 	  
19:50 31.12.2019 	 2,18 	 2,18 	 7 	 10 	 199 	 991 	 6,8 	  
19:40 31.12.2019 	 2,12 	 2,19 	 7 	 9 	 198 	 991 	 6,7 	  
19:30 31.12.2019 	 2,07 	 2,05 	 7 	 9 	 199 	 991 	 6,8 	  
19:20 31.12.2019 	 2 	 1,9 	 7 	 9 	 196 	 991 	 6,7 	  
19:10 31.12.2019 	 1,94 	 1,91 	 6 	 9 	 197 	 992 	 6,6 	  
19:00 31.12.2019 	 1,88 	 1,9 	 6 	 8 	 199 	 992 	 6,6 	  
18:50 31.12.2019 	 1,81 	 1,77 	 5 	 7 	 203 	 992 	 6,5 	  
18:40 31.12.2019 	 1,73 	 1,47 	 4 	 6 	 206 	 992 	 6,4 	  
18:30 31.12.2019 	 1,67 	 1,54 	 4 	 6 	 208 	 992 	 6,4 	  
