 Timabil 	 Flodatafla (m)	Sjavarhaed (m)	Vindur (m/s)	Hvida (m/s)	Vindatt (deg)	Loftthrystingur (hpa)	Lofthiti (degC)	
00:00 01.01.2020 	 1,69 	 1,75 	 3 	 5 	 177 	 988 	 7,6 	  
23:50 31.12.2019 	 1,75 	 1,92 	 4 	 8 	 183 	 988 	 7,6 	  
23:40 31.12.2019 	 1,81 	 2,08 	 3 	 6 	 185 	 988 	 7,7 	  
23:30 31.12.2019 	 1,87 	 1,97 	 4 	 7 	 185 	 988 	 7,8 	  
23:20 31.12.2019 	 1,93 	 1,91 	 3 	 7 	 171 	 989 	 7,8 	  
23:10 31.12.2019 	 1,98 	 2,2 	 3 	 5 	 177 	 989 	 7,8 	  
23:00 31.12.2019 	 2,04 	 2,22 	 2 	 5 	 178 	 989 	 7,9 	  
22:50 31.12.2019 	 2,08 	 2 	 3 	 5 	 179 	 989 	 7,8 	  
22:40 31.12.2019 	 2,12 	 2,27 	 3 	 6 	 183 	 990 	 7,9 	  
22:30 31.12.2019 	 2,16 	 2,4 	 4 	 7 	 189 	 990 	 7,9 	  
22:20 31.12.2019 	 2,2 	 2,27 	 4 	 7 	 188 	 990 	 7,9 	  
22:10 31.12.2019 	 2,23 	 2,31 	 5 	 9 	 185 	 991 	 8 	  
22:00 31.12.2019 	 2,25 	 2,42 	 5 	 9 	 189 	 991 	 8,1 	  
21:50 31.12.2019 	 2,27 	 2,59 	 4 	 8 	 180 	 991 	 8,2 	  
21:40 31.12.2019 	 2,28 	 2,35 	 4 	 8 	 181 	 992 	 8,4 	  
21:30 31.12.2019 	 2,3 	 2,27 	 5 	 8 	 176 	 992 	 8,4 	  
21:20 31.12.2019 	 2,3 	 2,5 	 4 	 9 	 176 	 992 	 8,5 	  
21:10 31.12.2019 	 2,3 	 2,46 	 4 	 10 	 181 	 992 	 8,6 	  
21:00 31.12.2019 	 2,28 	 2,3 	 4 	 7 	 177 	 993 	 8,8 	  
20:50 31.12.2019 	 2,27 	 2,36 	 4 	 7 	 184 	 993 	 8,9 	  
20:40 31.12.2019 	 2,25 	 2,48 	 4 	 7 	 179 	 993 	 9 	  
20:30 31.12.2019 	 2,23 	 2,42 	 4 	 7 	 177 	 993 	 8,9 	  
20:20 31.12.2019 	 2,2 	 2,27 	 3 	 7 	 176 	 993 	 8,9 	  
20:10 31.12.2019 	 2,16 	 2,2 	 3 	 6 	 170 	 993 	 9 	  
20:00 31.12.2019 	 2,13 	 2,25 	 4 	 7 	 174 	 994 	 9,1 	  
