 Timabil 	 Flodatafla (m)	Vindur (m/s)	Hvida (m/s)	Vindatt (deg)	
00:00 01.01.2020 	 2,75 	 5 	 10 	 198 	  
23:50 31.12.2019 	 2,83 	 6 	 9 	 192 	  
23:40 31.12.2019 	 2,91 	 5 	 8 	 192 	  
23:30 31.12.2019 	 2,97 	 6 	 10 	 196 	  
23:20 31.12.2019 	 3,03 	 6 	 9 	 191 	  
23:10 31.12.2019 	 3,09 	 6 	 10 	 190 	  
23:00 31.12.2019 	 3,14 	 5 	 8 	 187 	  
22:50 31.12.2019 	 3,18 	 5 	 9 	 188 	  
22:40 31.12.2019 	 3,22 	 5 	 9 	 185 	  
22:30 31.12.2019 	 3,24 	 5 	 9 	 187 	  
22:20 31.12.2019 	 3,26 	 5 	 10 	 189 	  
22:10 31.12.2019 	 3,28 	 6 	 10 	 194 	  
22:00 31.12.2019 	 3,28 	 7 	 12 	 193 	  
21:50 31.12.2019 	 3,28 	 6 	 11 	 191 	  
21:40 31.12.2019 	 3,26 	 5 	 9 	 185 	  
21:30 31.12.2019 	 3,24 	 5 	 8 	 190 	  
21:20 31.12.2019 	 3,22 	 6 	 11 	 201 	  
21:10 31.12.2019 	 3,18 	 5 	 10 	 207 	  
21:00 31.12.2019 	 3,14 	 6 	 11 	 199 	  
20:50 31.12.2019 	 3,09 	 6 	 10 	 201 	  
20:40 31.12.2019 	 3,04 	 6 	 10 	 186 	  
20:30 31.12.2019 	 2,97 	 6 	 11 	 183 	  
20:20 31.12.2019 	 2,91 	 5 	 10 	 182 	  
20:10 31.12.2019 	 2,83 	 5 	 9 	 184 	  
20:00 31.12.2019 	 2,76 	 5 	 10 	 187 	  
19:50 31.12.2019 	 2,67 	 5 	 9 	 186 	  
19:40 31.12.2019 	 2,59 	 4 	 7 	 186 	  
19:30 31.12.2019 	 2,5 	 5 	 8 	 189 	  
19:20 31.12.2019 	 2,41 	 4 	 7 	 185 	  
19:10 31.12.2019 	 2,31 	 4 	 8 	 187 	  
19:00 31.12.2019 	 2,22 	 5 	 8 	 186 	  
18:50 31.12.2019 	 2,12 	 4 	 8 	 182 	  
18:40 31.12.2019 	 2,02 	 4 	 7 	 182 	  
18:30 31.12.2019 	 1,93 	 3 	 6 	 181 	  
18:20 31.12.2019 	 1,83 	 3 	 6 	 179 	  
18:10 31.12.2019 	 1,74 	 4 	 5 	 182 	  
18:00 31.12.2019 	 1,65 	 3 	 5 	 184 	  
17:50 31.12.2019 	 1,56 	 3 	 5 	 185 	  
17:40 31.12.2019 	 1,48 	 3 	 4 	 190 	  
17:30 31.12.2019 	 1,4 	 3 	 4 	 191 	  
17:20 31.12.2019 	 1,32 	 2 	 3 	 183 	  
17:10 31.12.2019 	 1,26 	 2 	 3 	 180 	  
17:00 31.12.2019 	 1,19 	 2 	 4 	 178 	  
16:50 31.12.2019 	 1,14 	 2 	 4 	 189 	  
16:40 31.12.2019 	 1,1 	 3 	 5 	 200 	  
16:30 31.12.2019 	 1,06 	 2 	 4 	 201 	  
16:20 31.12.2019 	 1,03 	 3 	 6 	 218 	  
16:10 31.12.2019 	 1,01 	 3 	 5 	 220 	  
16:00 31.12.2019 	 1 	 3 	 5 	 220 	  
15:50 31.12.2019 	 1 	 4 	 6 	 221 	  
15:40 31.12.2019 	 1,01 	 3 	 7 	 224 	  
15:30 31.12.2019 	 1,03 	 4 	 7 	 230 	  
15:20 31.12.2019 	 1,06 	 3 	 7 	 232 	  
15:10 31.12.2019 	 1,09 	 3 	 7 	 227 	  
