 Timabil 	 Flodatafla (m)	Sjavarhaed (m)	Vindur (m/s)	Hvida (m/s)	Vindatt (deg)	Loftthrystingur (hpa)	Lofthiti (degC)	Sjavarhiti (degC)	
00:00 01.02.2019 	 1,71 	 1,6 	 7 	 11 	 75 	 1014 	 -3,6 	 1,3 	  
23:50 31.01.2019 	 1,64 	 1,55 	 7 	 10 	 78 	 1014 	 -3,9 	 1,3 	  
23:40 31.01.2019 	 1,58 	 1,5 	 6 	 9 	 67 	 1014 	 -3,3 	 1,3 	  
23:30 31.01.2019 	 1,52 	 1,45 	 4 	 6 	 53 	 1014 	 -3,9 	 1,3 	  
23:20 31.01.2019 	 1,47 	 1,4 	 5 	 9 	 65 	 1014 	 -3,6 	 1,4 	  
23:10 31.01.2019 	 1,42 	 1,33 	 7 	 9 	 75 	 1013 	 -3,1 	 1,3 	  
23:00 31.01.2019 	 1,38 	 1,27 	 8 	 11 	 55 	 1013 	 -3 	 1,4 	  
22:50 31.01.2019 	 1,35 	 1,23 	 8 	 12 	 68 	 1013 	 -3,1 	 1,4 	  
22:40 31.01.2019 	 1,32 	 1,19 	 7 	 11 	 64 	 1013 	 -3,3 	 1,3 	  
22:30 31.01.2019 	 1,3 	 1,16 	 8 	 11 	 71 	 1013 	 -3,1 	 1,1 	  
22:20 31.01.2019 	 1,29 	 1,13 	 7 	 9 	 63 	 1013 	 -3,3 	 1,5 	  
22:10 31.01.2019 	 1,28 	 1,13 	 7 	 9 	 61 	 1013 	 -3,2 	 1,6 	  
22:00 31.01.2019 	 1,28 	 1,14 	 5 	 8 	 51 	 1013 	 -3,5 	 1,3 	  
21:50 31.01.2019 	 1,29 	 1,1 	 6 	 8 	 55 	 1013 	 -3,3 	 1,3 	  
21:40 31.01.2019 	 1,3 	 1,16 	 6 	 8 	 45 	 1013 	 -3,3 	 1,5 	  
21:30 31.01.2019 	 1,32 	 1,16 	 6 	 9 	 45 	 1013 	 -3,4 	 1,2 	  
21:20 31.01.2019 	 1,35 	 1,21 	 6 	 9 	 46 	 1013 	 -3,2 	 1,2 	  
21:10 31.01.2019 	 1,38 	 1,27 	 6 	 8 	 45 	 1013 	 -3,6 	 1,4 	  
21:00 31.01.2019 	 1,42 	 1,32 	 6 	 9 	 49 	 1013 	 -3,6 	 1,4 	  
20:50 31.01.2019 	 1,47 	 1,39 	 6 	 9 	 52 	 1013 	 -3,4 	 1,3 	  
20:40 31.01.2019 	 1,52 	 1,45 	 7 	 10 	 50 	 1013 	 -3,2 	 1,2 	  
20:30 31.01.2019 	 1,57 	 1,51 	 7 	 10 	 48 	 1013 	 -3,3 	 1,3 	  
20:20 31.01.2019 	 1,63 	 1,58 	 8 	 10 	 54 	 1013 	 -3,1 	 1,3 	  
20:10 31.01.2019 	 1,7 	 1,64 	 8 	 11 	 56 	 1012 	 -3,2 	 1,5 	  
20:00 31.01.2019 	 1,76 	 1,7 	 7 	 10 	 55 	 1012 	 -3,1 	 1,3 	  
19:50 31.01.2019 	 1,83 	 1,78 	 7 	 10 	 55 	 1012 	 -3,3 	 1,5 	  
19:40 31.01.2019 	 1,91 	 1,86 	 7 	 9 	 60 	 1012 	 -3,3 	 1,3 	  
19:30 31.01.2019 	 1,98 	 1,92 	 8 	 11 	 58 	 1012 	 -3,1 	 1,2 	  
19:20 31.01.2019 	 2,05 	 1,97 	 7 	 10 	 52 	 1012 	 -3,2 	 1,4 	  
19:10 31.01.2019 	 2,13 	 2,09 	 7 	 11 	 57 	 1012 	 -3,2 	 1,4 	  
19:00 31.01.2019 	 2,2 	 2,09 	 8 	 12 	 54 	 1012 	 -3,1 	 1,5 	  
18:50 31.01.2019 	 2,28 	 2,18 	 8 	 11 	 50 	 1011 	 -3 	 1,5 	  
18:40 31.01.2019 	 2,35 	 2,24 	 8 	 12 	 48 	 1011 	 -2,8 	 1,3 	  
18:30 31.01.2019 	 2,42 	 2,33 	 8 	 12 	 51 	 1011 	 -2,8 	 1,5 	  
18:20 31.01.2019 	 2,49 	 2,42 	 8 	 13 	 50 	 1011 	 -2,9 	 1,4 	  
18:10 31.01.2019 	 2,56 	 2,48 	 8 	 13 	 52 	 1011 	 -3 	 1,4 	  
18:00 31.01.2019 	 2,62 	 2,57 	 8 	 11 	 50 	 1011 	 -2,7 	 1,5 	  
17:50 31.01.2019 	 2,68 	 2,63 	 9 	 13 	 53 	 1011 	 -2,6 	 1,5 	  
17:40 31.01.2019 	 2,74 	 2,7 	 8 	 14 	 54 	 1011 	 -2,6 	 1,4 	  
17:30 31.01.2019 	 2,79 	 2,77 	 8 	 13 	 56 	 1011 	 -2,5 	 1,4 	  
17:20 31.01.2019 	 2,84 	 2,83 	 8 	 12 	 58 	 1010 	 -2,2 	 1,5 	  
17:10 31.01.2019 	 2,88 	 2,87 	 8 	 13 	 57 	 1010 	 -2,2 	 1,4 	  
17:00 31.01.2019 	 2,92 	 2,95 	 7 	 10 	 54 	 1010 	 -2,1 	 1,6 	  
16:50 31.01.2019 	 2,96 	 2,99 	 7 	 10 	 60 	 1010 	 -1,8 	 1,6 	  
16:40 31.01.2019 	 2,98 	 3,05 	 7 	 11 	 43 	 1010 	 -1,9 	 1,4 	  
16:30 31.01.2019 	 3,01 	 3,06 	 6 	 11 	 42 	 1010 	 -1,9 	 1,3 	  
16:20 31.01.2019 	 3,03 	 3,06 	 6 	 10 	 47 	 1010 	 -1,7 	 1,3 	  
16:10 31.01.2019 	 3,04 	 3,08 	 7 	 12 	 45 	 1010 	 -1,9 	 1,4 	  
16:00 31.01.2019 	 3,05 	 3,08 	 7 	 10 	 46 	 1010 	 -1,9 	 1,4 	  
15:50 31.01.2019 	 3,05 	 3,11 	 7 	 10 	 43 	 1009 	 -1,9 	 1,4 	  
15:40 31.01.2019 	 3,05 	 3,05 	 6 	 10 	 48 	 1010 	 -1,6 	 1,5 	  
15:30 31.01.2019 	 3,04 	 3,11 	 5 	 8 	 39 	 1009 	 -1,8 	 1,5 	  
15:20 31.01.2019 	 3,03 	 3,05 	 6 	 9 	 42 	 1009 	 -1,7 	 1,5 	  
15:10 31.01.2019 	 3,01 	 3,01 	 7 	 11 	 47 	 1009 	 -1,8 	 1,6 	  
15:00 31.01.2019 	 2,98 	 2,99 	 6 	 9 	 50 	 1009 	 -1,9 	 1,4 	  
14:50 31.01.2019 	 2,95 	 2,95 	 5 	 9 	 47 	 1009 	 -1,7 	 1,6 	  
14:40 31.01.2019 	 2,91 	 2,93 	 4 	 7 	 46 	 1009 	 -1,9 	 1,3 	  
14:30 31.01.2019 	 2,87 	 2,85 	 4 	 5 	 38 	 1009 	 -2,1 	 1,3 	  
14:20 31.01.2019 	 2,82 	 2,78 	 5 	 9 	 50 	 1009 	 -2,2 	 1,4 	  
