 Timabil 	 Flodatafla (m)	Sjavarhaed (m)	Vindur (m/s)	Hvida (m/s)	Vindatt (deg)	Loftthrystingur (hpa)	Lofthiti (degC)	
00:00 01.02.2019 	 1,42 	 1,45 	 7 	 14 	 3 	 1011 	 -0,7 	  
23:50 31.01.2019 	 1,36 	 1,38 	 8 	 13 	 359 	 1011 	 -0,4 	  
23:40 31.01.2019 	 1,3 	 1,4 	 7 	 13 	 1 	 1011 	 -0,4 	  
23:30 31.01.2019 	 1,25 	 1,29 	 7 	 14 	 358 	 1011 	 -0,3 	  
23:20 31.01.2019 	 1,2 	 1,17 	 7 	 12 	 358 	 1011 	 -0,5 	  
23:10 31.01.2019 	 1,15 	 1,19 	 6 	 12 	 7 	 1011 	 -0,4 	  
23:00 31.01.2019 	 1,11 	 1,19 	 7 	 12 	 0 	 1011 	 -0,3 	  
22:50 31.01.2019 	 1,06 	 1,04 	 7 	 13 	 0 	 1011 	 -0,2 	  
22:40 31.01.2019 	 1,03 	 1,06 	 6 	 13 	 4 	 1011 	 0,1 	  
22:30 31.01.2019 	 0,99 	 1,09 	 4 	 12 	 13 	 1011 	 0,4 	  
22:20 31.01.2019 	 0,97 	 0,98 	 3 	 8 	 68 	 1011 	 0,6 	  
22:10 31.01.2019 	 0,95 	 1,02 	 3 	 9 	 44 	 1011 	 0,4 	  
22:00 31.01.2019 	 0,92 	 1,04 	 3 	 9 	 25 	 1011 	 0,2 	  
21:50 31.01.2019 	 0,91 	 0,93 	 6 	 10 	 353 	 1011 	 0,2 	  
21:40 31.01.2019 	 0,9 	 0,95 	 3 	 7 	 57 	 1010 	 1,5 	  
21:30 31.01.2019 	 0,9 	 0,94 	 3 	 6 	 65 	 1010 	 2,2 	  
21:20 31.01.2019 	 0,9 	 0,86 	 4 	 7 	 36 	 1010 	 2,5 	  
21:10 31.01.2019 	 0,9 	 0,95 	 4 	 9 	 58 	 1010 	 1,7 	  
21:00 31.01.2019 	 0,91 	 1,04 	 4 	 8 	 65 	 1010 	 1,3 	  
20:50 31.01.2019 	 0,92 	 0,94 	 5 	 10 	 8 	 1010 	 1 	  
20:40 31.01.2019 	 0,95 	 0,91 	 3 	 6 	 70 	 1010 	 2,2 	  
20:30 31.01.2019 	 0,97 	 1,04 	 3 	 7 	 31 	 1010 	 1,2 	  
20:20 31.01.2019 	 0,99 	 1,05 	 4 	 8 	 43 	 1009 	 1,9 	  
20:10 31.01.2019 	 1,03 	 1,05 	 4 	 8 	 74 	 1009 	 2 	  
20:00 31.01.2019 	 1,06 	 1,09 	 4 	 8 	 71 	 1009 	 2,1 	  
19:50 31.01.2019 	 1,1 	 1,18 	 5 	 10 	 66 	 1009 	 2 	  
19:40 31.01.2019 	 1,14 	 1,16 	 5 	 8 	 58 	 1009 	 1,9 	  
19:30 31.01.2019 	 1,19 	 1,21 	 4 	 8 	 46 	 1009 	 1,7 	  
19:20 31.01.2019 	 1,23 	 1,28 	 5 	 8 	 31 	 1009 	 1,5 	  
19:10 31.01.2019 	 1,28 	 1,34 	 4 	 8 	 12 	 1009 	 0,9 	  
19:00 31.01.2019 	 1,34 	 1,38 	 4 	 8 	 67 	 1009 	 0,7 	  
18:50 31.01.2019 	 1,39 	 1,46 	 3 	 7 	 43 	 1009 	 0,8 	  
18:40 31.01.2019 	 1,44 	 1,49 	 4 	 10 	 4 	 1008 	 0,9 	  
18:30 31.01.2019 	 1,49 	 1,47 	 3 	 9 	 17 	 1009 	 1,1 	  
18:20 31.01.2019 	 1,54 	 1,62 	 4 	 13 	 22 	 1008 	 1,2 	  
18:10 31.01.2019 	 1,6 	 1,65 	 5 	 12 	 44 	 1008 	 1,4 	  
18:00 31.01.2019 	 1,65 	 1,68 	 4 	 9 	 64 	 1008 	 1,6 	  
17:50 31.01.2019 	 1,69 	 1,78 	 6 	 11 	 63 	 1008 	 1,5 	  
17:40 31.01.2019 	 1,74 	 1,85 	 6 	 11 	 57 	 1008 	 1,9 	  
17:30 31.01.2019 	 1,79 	 1,78 	 6 	 11 	 40 	 1008 	 2,1 	  
17:20 31.01.2019 	 1,83 	 1,86 	 5 	 9 	 38 	 1008 	 2,1 	  
17:10 31.01.2019 	 1,88 	 1,98 	 4 	 10 	 30 	 1008 	 0,4 	  
17:00 31.01.2019 	 1,92 	 2,09 	 5 	 11 	 5 	 1007 	 0,7 	  
16:50 31.01.2019 	 1,95 	 1,98 	 8 	 13 	 358 	 1007 	 0,8 	  
16:40 31.01.2019 	 1,99 	 1,94 	 8 	 15 	 356 	 1007 	 0,8 	  
16:30 31.01.2019 	 2,02 	 2,14 	 8 	 13 	 352 	 1007 	 0,7 	  
16:20 31.01.2019 	 2,04 	 2,18 	 9 	 14 	 353 	 1007 	 0,6 	  
16:10 31.01.2019 	 2,07 	 2,03 	 9 	 12 	 350 	 1007 	 0,5 	  
16:00 31.01.2019 	 2,09 	 2,13 	 7 	 13 	 352 	 1007 	 0,5 	  
15:50 31.01.2019 	 2,11 	 2,31 	 8 	 13 	 0 	 1007 	 0,7 	  
15:40 31.01.2019 	 2,12 	 2,22 	 6 	 13 	 9 	 1007 	 0,8 	  
15:30 31.01.2019 	 2,13 	 2,13 	 8 	 14 	 5 	 1007 	 0,8 	  
15:20 31.01.2019 	 2,14 	 2,22 	 5 	 12 	 13 	 1007 	 1,5 	  
15:10 31.01.2019 	 2,14 	 2,35 	 6 	 13 	 360 	 1007 	 0,9 	  
15:00 31.01.2019 	 2,14 	 2,25 	 4 	 10 	 6 	 1007 	 1,3 	  
14:50 31.01.2019 	 2,13 	 2,2 	 3 	 8 	 60 	 1007 	 1,1 	  
14:40 31.01.2019 	 2,12 	 2,12 	 4 	 9 	 26 	 1007 	 0,9 	  
