 Timabil 	 Flodatafla (m)	Vindur (m/s)	Hvida (m/s)	Vindatt (deg)	Lofthiti (degC)	
00:00 01.02.2019 	 1,52 	 6 	 10 	 80 	 -4,6 	  
23:50 31.01.2019 	 1,47 	 6 	 11 	 86 	 -4,7 	  
23:40 31.01.2019 	 1,42 	 5 	 10 	 89 	 -4,6 	  
23:30 31.01.2019 	 1,38 	 4 	 9 	 96 	 -4,4 	  
23:20 31.01.2019 	 1,35 	 5 	 10 	 90 	 -4,7 	  
23:10 31.01.2019 	 1,32 	 4 	 8 	 92 	 -4,5 	  
23:00 31.01.2019 	 1,3 	 5 	 9 	 90 	 -4,5 	  
22:50 31.01.2019 	 1,29 	 5 	 10 	 85 	 -4,5 	  
22:40 31.01.2019 	 1,28 	 6 	 10 	 84 	 -4,3 	  
22:30 31.01.2019 	 1,28 	 6 	 10 	 84 	 -4,2 	  
22:20 31.01.2019 	 1,29 	 5 	 10 	 84 	 -4,1 	  
22:10 31.01.2019 	 1,3 	 6 	 11 	 85 	 -4,1 	  
22:00 31.01.2019 	 1,32 	 6 	 12 	 86 	 -4 	  
21:50 31.01.2019 	 1,35 	 7 	 12 	 78 	 -3,8 	  
21:40 31.01.2019 	 1,38 	 6 	 11 	 83 	 -3,8 	  
21:30 31.01.2019 	 1,42 	 4 	 9 	 88 	 -3,8 	  
21:20 31.01.2019 	 1,47 	 5 	 11 	 87 	 -3,7 	  
21:10 31.01.2019 	 1,52 	 5 	 11 	 89 	 -3,7 	  
21:00 31.01.2019 	 1,57 	 5 	 11 	 87 	 -3,8 	  
20:50 31.01.2019 	 1,63 	 5 	 9 	 85 	 -3,8 	  
20:40 31.01.2019 	 1,7 	 7 	 11 	 79 	 -3,7 	  
20:30 31.01.2019 	 1,76 	 7 	 11 	 78 	 -3,5 	  
20:20 31.01.2019 	 1,83 	 7 	 11 	 78 	 -3,4 	  
20:10 31.01.2019 	 1,91 	 6 	 9 	 80 	 -3,6 	  
20:00 31.01.2019 	 1,98 	 6 	 11 	 79 	 -3,5 	  
19:50 31.01.2019 	 2,05 	 6 	 10 	 81 	 -3,5 	  
19:40 31.01.2019 	 2,13 	 6 	 11 	 82 	 -3,5 	  
19:30 31.01.2019 	 2,2 	 6 	 9 	 82 	 -3,5 	  
19:20 31.01.2019 	 2,28 	 7 	 13 	 79 	 -3,4 	  
19:10 31.01.2019 	 2,35 	 5 	 9 	 88 	 -3,5 	  
