 Timabil 	 Flodatafla (m)	Vindur (m/s)	Hvida (m/s)	Vindatt (deg)	
00:00 01.02.2019 	 1,71 	 5 	 7 	 54 	  
23:50 31.01.2019 	 1,64 	 4 	 7 	 54 	  
23:40 31.01.2019 	 1,58 	 3 	 4 	 26 	  
23:30 31.01.2019 	 1,52 	 2 	 4 	 102 	  
23:20 31.01.2019 	 1,47 	 7 	 11 	 46 	  
23:10 31.01.2019 	 1,42 	 7 	 10 	 47 	  
23:00 31.01.2019 	 1,38 	 6 	 10 	 49 	  
22:50 31.01.2019 	 1,35 	 4 	 6 	 43 	  
22:40 31.01.2019 	 1,32 	 5 	 9 	 34 	  
22:30 31.01.2019 	 1,3 	 6 	 9 	 15 	  
22:20 31.01.2019 	 1,29 	 6 	 10 	 12 	  
22:10 31.01.2019 	 1,28 	 6 	 8 	 14 	  
22:00 31.01.2019 	 1,28 	 3 	 10 	 355 	  
21:50 31.01.2019 	 1,29 	 2 	 3 	 128 	  
21:40 31.01.2019 	 1,3 	 4 	 8 	 85 	  
21:30 31.01.2019 	 1,32 	 7 	 10 	 11 	  
21:20 31.01.2019 	 1,35 	 10 	 12 	 10 	  
21:10 31.01.2019 	 1,38 	 7 	 10 	 17 	  
21:00 31.01.2019 	 1,42 	 7 	 9 	 9 	  
20:50 31.01.2019 	 1,47 	 6 	 8 	 12 	  
20:40 31.01.2019 	 1,52 	 7 	 9 	 9 	  
20:30 31.01.2019 	 1,57 	 9 	 12 	 8 	  
20:20 31.01.2019 	 1,63 	 9 	 13 	 13 	  
20:10 31.01.2019 	 1,7 	 8 	 12 	 8 	  
20:00 31.01.2019 	 1,76 	 12 	 15 	 7 	  
19:50 31.01.2019 	 1,83 	 13 	 15 	 7 	  
19:40 31.01.2019 	 1,91 	 12 	 15 	 11 	  
19:30 31.01.2019 	 1,98 	 13 	 16 	 11 	  
19:20 31.01.2019 	 2,05 	 12 	 15 	 13 	  
19:10 31.01.2019 	 2,13 	 12 	 17 	 10 	  
19:00 31.01.2019 	 2,2 	 13 	 17 	 9 	  
18:50 31.01.2019 	 2,28 	 12 	 15 	 10 	  
18:40 31.01.2019 	 2,35 	 12 	 16 	 8 	  
18:30 31.01.2019 	 2,42 	 11 	 15 	 10 	  
18:20 31.01.2019 	 2,49 	 12 	 16 	 12 	  
18:10 31.01.2019 	 2,56 	 11 	 15 	 14 	  
18:00 31.01.2019 	 2,62 	 11 	 15 	 14 	  
17:50 31.01.2019 	 2,68 	 11 	 16 	 11 	  
17:40 31.01.2019 	 2,74 	 10 	 15 	 19 	  
17:30 31.01.2019 	 2,79 	 9 	 14 	 23 	  
17:20 31.01.2019 	 2,84 	 8 	 14 	 17 	  
17:10 31.01.2019 	 2,88 	 2 	 4 	 205 	  
17:00 31.01.2019 	 2,92 	 4 	 6 	 154 	  
16:50 31.01.2019 	 2,96 	 6 	 12 	 48 	  
