 Timabil 	 Flodatafla (m)	Sjavarhaed (m)	Vindur (m/s)	Hvida (m/s)	Vindatt (deg)	Loftthrystingur (hpa)	Lofthiti (degC)	Sjavarhiti (degC)	
00:00 01.02.2019 	 1,71 	 1,69 	 3 	 7 	 97 	 1013 	 -2,6 	 2,4 	  
23:50 31.01.2019 	 1,64 	 1,58 	 1 	 3 	 122 	 1013 	 -3,5 	 2,4 	  
23:40 31.01.2019 	 1,58 	 1,57 	 1 	 3 	 176 	 1013 	 -3,6 	 2,4 	  
23:30 31.01.2019 	 1,52 	 1,49 	 2 	 3 	 117 	 1013 	 -3,4 	 2,3 	  
23:20 31.01.2019 	 1,47 	 1,46 	 4 	 10 	 88 	 1012 	 -3 	 2,3 	  
23:10 31.01.2019 	 1,42 	 1,38 	 5 	 9 	 83 	 1013 	 -2,4 	 2,4 	  
23:00 31.01.2019 	 1,38 	 1,3 	 4 	 7 	 76 	 1013 	 -2,4 	 2,4 	  
22:50 31.01.2019 	 1,35 	 1,25 	 4 	 7 	 72 	 1012 	 -2,2 	 2,3 	  
22:40 31.01.2019 	 1,32 	 1,22 	 3 	 5 	 56 	 1012 	 -2,2 	 2,3 	  
22:30 31.01.2019 	 1,3 	 1,18 	 2 	 5 	 55 	 1012 	 -2,6 	 2,3 	  
22:20 31.01.2019 	 1,29 	 1,17 	 1 	 6 	 85 	 1013 	 -2,3 	 2,3 	  
22:10 31.01.2019 	 1,28 	 1,16 	 1 	 1 	 240 	 1013 	 -4 	 2,3 	  
22:00 31.01.2019 	 1,28 	 1,12 	 1 	 3 	 211 	 1013 	 -4 	 2,3 	  
21:50 31.01.2019 	 1,29 	 1,2 	 1 	 2 	 168 	 1012 	 -3,7 	 2,3 	  
21:40 31.01.2019 	 1,3 	 1,16 	 3 	 5 	 168 	 1012 	 -3,6 	 2,3 	  
21:30 31.01.2019 	 1,32 	 1,19 	 7 	 10 	 25 	 1012 	 -2,1 	 2,3 	  
21:20 31.01.2019 	 1,35 	 1,22 	 7 	 11 	 24 	 1012 	 -2,5 	 2,3 	  
21:10 31.01.2019 	 1,38 	 1,26 	 6 	 10 	 35 	 1012 	 -1,9 	 2,4 	  
21:00 31.01.2019 	 1,42 	 1,31 	 5 	 7 	 27 	 1012 	 -1,9 	 2,4 	  
20:50 31.01.2019 	 1,47 	 1,44 	 3 	 8 	 47 	 1012 	 -2 	 2,3 	  
20:40 31.01.2019 	 1,52 	 1,49 	 6 	 8 	 16 	 1012 	 -2 	 2,3 	  
20:30 31.01.2019 	 1,57 	 1,59 	 4 	 7 	 42 	 1012 	 -2 	 2,3 	  
20:20 31.01.2019 	 1,63 	 1,6 	 2 	 7 	 48 	 1011 	 -2,2 	 2,3 	  
20:10 31.01.2019 	 1,7 	 1,63 	 6 	 12 	 30 	 1012 	 -2 	 2,3 	  
20:00 31.01.2019 	 1,76 	 1,72 	 10 	 13 	 19 	 1011 	 -2,3 	 2,3 	  
19:50 31.01.2019 	 1,83 	 1,84 	 10 	 15 	 21 	 1011 	 -2,5 	 2,3 	  
19:40 31.01.2019 	 1,91 	 1,89 	 10 	 14 	 24 	 1012 	 -2,2 	 2,3 	  
19:30 31.01.2019 	 1,98 	 1,98 	 11 	 15 	 25 	 1011 	 -2,1 	 2,3 	  
19:20 31.01.2019 	 2,05 	 2,01 	 10 	 14 	 27 	 1011 	 -2 	 2,4 	  
19:10 31.01.2019 	 2,13 	 2,04 	 10 	 15 	 22 	 1011 	 -1,9 	 2,3 	  
19:00 31.01.2019 	 2,2 	 2,11 	 10 	 15 	 22 	 1011 	 -1,9 	 2,3 	  
18:50 31.01.2019 	 2,28 	 2,22 	 10 	 13 	 23 	 1011 	 -1,9 	 2,3 	  
18:40 31.01.2019 	 2,35 	 2,24 	 9 	 15 	 22 	 1011 	 -1,8 	 2,3 	  
18:30 31.01.2019 	 2,42 	 2,32 	 9 	 12 	 22 	 1011 	 -1,6 	 2,3 	  
18:20 31.01.2019 	 2,49 	 2,39 	 10 	 14 	 28 	 1010 	 -1,7 	 2,3 	  
18:10 31.01.2019 	 2,56 	 2,49 	 9 	 12 	 28 	 1010 	 -1 	 2,3 	  
18:00 31.01.2019 	 2,62 	 2,57 	 9 	 13 	 23 	 1010 	 -1,4 	 2,3 	  
17:50 31.01.2019 	 2,68 	 2,64 	 9 	 15 	 26 	 1010 	 -1,4 	 2,4 	  
17:40 31.01.2019 	 2,74 	 2,73 	 5 	 12 	 55 	 1010 	 -1 	 2,4 	  
17:30 31.01.2019 	 2,79 	 2,76 	 6 	 12 	 51 	 1010 	 -0,9 	 2,4 	  
17:20 31.01.2019 	 2,84 	 2,82 	 3 	 10 	 332 	 1010 	 -1,5 	 2,4 	  
17:10 31.01.2019 	 2,88 	 2,85 	 1 	 3 	 224 	 1010 	 -3,2 	 2,4 	  
17:00 31.01.2019 	 2,92 	 2,99 	 3 	 6 	 181 	 1009 	 -3,3 	 2,4 	  
16:50 31.01.2019 	 2,96 	 3 	 2 	 7 	 160 	 1009 	 -3,2 	 2,4 	  
16:40 31.01.2019 	 2,98 	 3,07 	 8 	 14 	 35 	 1009 	 -0,9 	 2,4 	  
16:30 31.01.2019 	 3,01 	 3,02 	 10 	 16 	 40 	 1009 	 -0,9 	 2,4 	  
16:20 31.01.2019 	 3,03 	 3,06 	 8 	 12 	 33 	 1009 	 -0,7 	 2,4 	  
16:10 31.01.2019 	 3,04 	 3,09 	 9 	 15 	 25 	 1009 	 -0,7 	 2,4 	  
16:00 31.01.2019 	 3,05 	 3,11 	 5 	 12 	 42 	 1009 	 -0,7 	 2,4 	  
15:50 31.01.2019 	 3,05 	 3,08 	 7 	 12 	 31 	 1009 	 -1 	 2,4 	  
15:40 31.01.2019 	 3,05 	 3,13 	 4 	 11 	 67 	 1009 	 -0,9 	 2,4 	  
