 Timabil 	 Flodatafla (m)	Sjavarhaed (m)	Sjavarhaed (m)	Vindur (m/s)	Hvida (m/s)	Vindatt (deg)	Loftthrystingur (hpa)	Lofthiti (degC)	
00:00 01.02.2019 	 1,55 	 -6999 	 -6999 	 3 	 6 	 14 	 1015 	 -5,2 	  
23:50 31.01.2019 	 1,49 	 -6999 	 -6999 	 5 	 7 	 32 	 1015 	 -4,4 	  
23:40 31.01.2019 	 1,42 	 -6999 	 -6999 	 6 	 8 	 35 	 1015 	 -4,1 	  
23:30 31.01.2019 	 1,37 	 -6999 	 -6999 	 7 	 9 	 33 	 1015 	 -4,3 	  
23:20 31.01.2019 	 1,31 	 -6999 	 -6999 	 7 	 9 	 32 	 1015 	 -4,1 	  
23:10 31.01.2019 	 1,26 	 -6999 	 -6999 	 6 	 9 	 22 	 1015 	 -4 	  
23:00 31.01.2019 	 1,22 	 -6999 	 -6999 	 5 	 7 	 13 	 1015 	 -5,8 	  
22:50 31.01.2019 	 1,18 	 -6999 	 -6999 	 5 	 7 	 8 	 1015 	 -6,4 	  
22:40 31.01.2019 	 1,14 	 -6999 	 -6999 	 4 	 6 	 6 	 1014 	 -6,6 	  
22:30 31.01.2019 	 1,1 	 -6999 	 -6999 	 3 	 4 	 360 	 1014 	 -7,1 	  
22:20 31.01.2019 	 1,08 	 -6999 	 -6999 	 3 	 5 	 0 	 1014 	 -6,9 	  
22:10 31.01.2019 	 1,06 	 -6999 	 -6999 	 4 	 6 	 5 	 1014 	 -6,2 	  
22:00 31.01.2019 	 1,04 	 -6999 	 -6999 	 5 	 7 	 9 	 1014 	 -6,1 	  
21:50 31.01.2019 	 1,03 	 -6999 	 -6999 	 5 	 7 	 5 	 1014 	 -5 	  
21:40 31.01.2019 	 1,02 	 -6999 	 -6999 	 4 	 7 	 354 	 1014 	 -5,2 	  
21:30 31.01.2019 	 1,02 	 -6999 	 -6999 	 4 	 7 	 355 	 1014 	 -5,7 	  
21:20 31.01.2019 	 1,03 	 -6999 	 -6999 	 5 	 7 	 7 	 1014 	 -4,7 	  
21:10 31.01.2019 	 1,04 	 -6999 	 -6999 	 6 	 8 	 9 	 1014 	 -4,8 	  
21:00 31.01.2019 	 1,06 	 -6999 	 -6999 	 5 	 8 	 8 	 1014 	 -4,7 	  
20:50 31.01.2019 	 1,08 	 -6999 	 -6999 	 5 	 7 	 9 	 1014 	 -4,9 	  
20:40 31.01.2019 	 1,1 	 -6999 	 -6999 	 5 	 7 	 6 	 1014 	 -5,5 	  
20:30 31.01.2019 	 1,14 	 -6999 	 -6999 	 5 	 7 	 12 	 1014 	 -5,3 	  
20:20 31.01.2019 	 1,18 	 -6999 	 -6999 	 5 	 7 	 17 	 1013 	 -4,9 	  
20:10 31.01.2019 	 1,22 	 -6999 	 -6999 	 4 	 6 	 19 	 1013 	 -5,2 	  
20:00 31.01.2019 	 1,26 	 -6999 	 -6999 	 4 	 7 	 19 	 1013 	 -5,1 	  
19:50 31.01.2019 	 1,3 	 -6999 	 -6999 	 5 	 7 	 19 	 1013 	 -3,9 	  
19:40 31.01.2019 	 1,36 	 -6999 	 -6999 	 5 	 8 	 14 	 1013 	 -4 	  
19:30 31.01.2019 	 1,41 	 -6999 	 -6999 	 5 	 7 	 15 	 1013 	 -4,8 	  
19:20 31.01.2019 	 1,46 	 -6999 	 -6999 	 5 	 7 	 16 	 1013 	 -4,3 	  
19:10 31.01.2019 	 1,53 	 -6999 	 -6999 	 6 	 8 	 22 	 1013 	 -3,8 	  
19:00 31.01.2019 	 1,58 	 -6999 	 -6999 	 6 	 8 	 23 	 1012 	 -3,1 	  
18:50 31.01.2019 	 1,64 	 -6999 	 -6999 	 6 	 8 	 23 	 1012 	 -3,1 	  
18:40 31.01.2019 	 1,7 	 -6999 	 -6999 	 6 	 9 	 22 	 1012 	 -3,2 	  
18:30 31.01.2019 	 1,76 	 -6999 	 -6999 	 8 	 12 	 28 	 1012 	 -3,4 	  
18:20 31.01.2019 	 1,82 	 -6999 	 -6999 	 9 	 13 	 24 	 1012 	 -2,5 	  
18:10 31.01.2019 	 1,88 	 -6999 	 -6999 	 9 	 12 	 31 	 1012 	 -2,1 	  
18:00 31.01.2019 	 1,94 	 -6999 	 -6999 	 5 	 10 	 20 	 1012 	 -2,7 	  
17:50 31.01.2019 	 1,99 	 -6999 	 -6999 	 5 	 8 	 17 	 1012 	 -4 	  
17:40 31.01.2019 	 2,05 	 -6999 	 -6999 	 5 	 8 	 357 	 1011 	 -3,9 	  
17:30 31.01.2019 	 2,1 	 -6999 	 -6999 	 5 	 9 	 355 	 1011 	 -4,1 	  
17:20 31.01.2019 	 2,14 	 -6999 	 -6999 	 7 	 10 	 357 	 1011 	 -3,7 	  
17:10 31.01.2019 	 2,19 	 -6999 	 -6999 	 7 	 10 	 359 	 1011 	 -3,2 	  
17:00 31.01.2019 	 2,23 	 -6999 	 -6999 	 5 	 8 	 4 	 1011 	 -3,7 	  
16:50 31.01.2019 	 2,27 	 -6999 	 -6999 	 3 	 4 	 40 	 1011 	 -4,1 	  
16:40 31.01.2019 	 2,3 	 -6999 	 -6999 	 3 	 5 	 71 	 1011 	 -3,4 	  
16:30 31.01.2019 	 2,34 	 -6999 	 -6999 	 4 	 5 	 47 	 1011 	 -4,4 	  
16:20 31.01.2019 	 2,37 	 -6999 	 -6999 	 5 	 8 	 8 	 1011 	 -3,5 	  
16:10 31.01.2019 	 2,38 	 -6999 	 -6999 	 7 	 9 	 6 	 1011 	 -3,2 	  
16:00 31.01.2019 	 2,41 	 -6999 	 -6999 	 7 	 9 	 5 	 1011 	 -3,3 	  
15:50 31.01.2019 	 2,42 	 -6999 	 -6999 	 7 	 9 	 3 	 1010 	 -3,3 	  
15:40 31.01.2019 	 2,43 	 -6999 	 -6999 	 6 	 9 	 356 	 1010 	 -2,9 	  
15:30 31.01.2019 	 2,44 	 -6999 	 -6999 	 8 	 12 	 356 	 1010 	 -3,1 	  
15:20 31.01.2019 	 2,44 	 -6999 	 -6999 	 9 	 13 	 4 	 1010 	 -2,6 	  
15:10 31.01.2019 	 2,44 	 -6999 	 -6999 	 10 	 13 	 2 	 1010 	 -2,5 	  
15:00 31.01.2019 	 2,43 	 -6999 	 -6999 	 8 	 12 	 6 	 1010 	 -2,4 	  
14:50 31.01.2019 	 2,42 	 -6999 	 -6999 	 7 	 10 	 6 	 1010 	 -2,7 	  
14:40 31.01.2019 	 2,41 	 -6999 	 -6999 	 7 	 10 	 4 	 1010 	 -2,8 	  
14:30 31.01.2019 	 2,38 	 -6999 	 -6999 	 6 	 9 	 3 	 1010 	 -3 	  
14:20 31.01.2019 	 2,36 	 -6999 	 -6999 	 6 	 8 	 7 	 1010 	 -2,9 	  
14:10 31.01.2019 	 2,33 	 -6999 	 -6999 	 5 	 8 	 12 	 1010 	 -3 	  
14:00 31.01.2019 	 2,3 	 -6999 	 -6999 	 6 	 9 	 8 	 1010 	 -3,5 	  
13:50 31.01.2019 	 2,26 	 -6999 	 -6999 	 5 	 8 	 4 	 1010 	 -3,3 	  
13:40 31.01.2019 	 2,22 	 -6999 	 -6999 	 5 	 8 	 358 	 1010 	 -3,1 	  
13:30 31.01.2019 	 2,17 	 -6999 	 -6999 	 7 	 10 	 1 	 1010 	 -3,3 	  
13:20 31.01.2019 	 2,12 	 -6999 	 -6999 	 8 	 10 	 3 	 1010 	 -3,2 	  
13:10 31.01.2019 	 2,06 	 -6999 	 -6999 	 8 	 11 	 4 	 1010 	 -3,3 	  
13:00 31.01.2019 	 2,01 	 -6999 	 -6999 	 8 	 11 	 4 	 1010 	 -3,3 	  
12:50 31.01.2019 	 1,95 	 -6999 	 -6999 	 7 	 10 	 5 	 1010 	 -3,5 	  
12:40 31.01.2019 	 1,9 	 -6999 	 -6999 	 8 	 10 	 6 	 1010 	 -3,4 	  
12:30 31.01.2019 	 1,84 	 -6999 	 -6999 	 8 	 10 	 8 	 1010 	 -3,7 	  
12:20 31.01.2019 	 1,78 	 -6999 	 -6999 	 7 	 10 	 10 	 1010 	 -4,7 	  
12:10 31.01.2019 	 1,71 	 -6999 	 -6999 	 5 	 7 	 13 	 1010 	 -4,6 	  
12:00 31.01.2019 	 1,66 	 -6999 	 -6999 	 5 	 8 	 12 	 1010 	 -4,7 	  
11:50 31.01.2019 	 1,59 	 -6999 	 -6999 	 6 	 8 	 6 	 1010 	 -5,2 	  
11:40 31.01.2019 	 1,54 	 -6999 	 -6999 	 6 	 8 	 7 	 1010 	 -4,8 	  
11:30 31.01.2019 	 1,48 	 -6999 	 -6999 	 6 	 8 	 7 	 1010 	 -4,7 	  
11:20 31.01.2019 	 1,42 	 -6999 	 -6999 	 5 	 8 	 6 	 1010 	 -4,6 	  
11:10 31.01.2019 	 1,38 	 -6999 	 -6999 	 5 	 7 	 360 	 1009 	 -4,7 	  
11:00 31.01.2019 	 1,33 	 -6999 	 -6999 	 6 	 8 	 355 	 1009 	 -5 	  
10:50 31.01.2019 	 1,28 	 -6999 	 -6999 	 4 	 7 	 348 	 1009 	 -5 	  
10:40 31.01.2019 	 1,24 	 -6999 	 -6999 	 5 	 7 	 353 	 1009 	 -4,4 	  
10:30 31.01.2019 	 1,2 	 -6999 	 -6999 	 4 	 6 	 354 	 1009 	 -5,3 	  
10:20 31.01.2019 	 1,17 	 -6999 	 -6999 	 5 	 6 	 356 	 1009 	 -6,2 	  
10:10 31.01.2019 	 1,14 	 -6999 	 -6999 	 3 	 6 	 7 	 1009 	 -7,1 	  
10:00 31.01.2019 	 1,12 	 -6999 	 -6999 	 3 	 5 	 358 	 1009 	 -5,7 	  
09:50 31.01.2019 	 1,1 	 -6999 	 -6999 	 3 	 5 	 348 	 1009 	 -5,8 	  
09:40 31.01.2019 	 1,09 	 -6999 	 -6999 	 4 	 6 	 0 	 1009 	 -5,9 	  
09:30 31.01.2019 	 1,08 	 -6999 	 -6999 	 5 	 7 	 11 	 1009 	 -4,8 	  
09:20 31.01.2019 	 1,07 	 -6999 	 -6999 	 6 	 8 	 11 	 1009 	 -5,1 	  
09:10 31.01.2019 	 1,08 	 -6999 	 -6999 	 6 	 7 	 6 	 1009 	 -6,4 	  
09:00 31.01.2019 	 1,09 	 -6999 	 -6999 	 3 	 7 	 359 	 1008 	 -6,2 	  
08:50 31.01.2019 	 1,1 	 -6999 	 -6999 	 2 	 4 	 351 	 1008 	 -6,2 	  
08:40 31.01.2019 	 1,12 	 -6999 	 -6999 	 3 	 4 	 23 	 1008 	 -5,9 	  
08:30 31.01.2019 	 1,14 	 -6999 	 -6999 	 4 	 5 	 1 	 1008 	 -6,7 	  
08:20 31.01.2019 	 1,17 	 -6999 	 -6999 	 3 	 4 	 355 	 1008 	 -7,7 	  
08:10 31.01.2019 	 1,21 	 -6999 	 -6999 	 2 	 3 	 360 	 1008 	 -7,6 	  
08:00 31.01.2019 	 1,24 	 -6999 	 -6999 	 3 	 4 	 350 	 1008 	 -7,6 	  
07:50 31.01.2019 	 1,29 	 -6999 	 -6999 	 3 	 4 	 353 	 1008 	 -6,5 	  
07:40 31.01.2019 	 1,33 	 -6999 	 -6999 	 3 	 4 	 349 	 1008 	 -5,8 	  
07:30 31.01.2019 	 1,38 	 -6999 	 -6999 	 4 	 6 	 356 	 1008 	 -5,4 	  
07:20 31.01.2019 	 1,43 	 -6999 	 -6999 	 4 	 7 	 8 	 1008 	 -5,6 	  
07:10 31.01.2019 	 1,49 	 -6999 	 -6999 	 3 	 5 	 357 	 1007 	 -6,2 	  
07:00 31.01.2019 	 1,55 	 -6999 	 -6999 	 4 	 7 	 359 	 1007 	 -5,4 	  
06:50 31.01.2019 	 1,61 	 -6999 	 -6999 	 2 	 5 	 11 	 1007 	 -5,7 	  
06:40 31.01.2019 	 1,67 	 -6999 	 -6999 	 2 	 5 	 27 	 1007 	 -6,3 	  
