 Timabil 	 Flodatafla (m)	Sjavarhaed (m)	Vindur (m/s)	Hvida (m/s)	Vindatt (deg)	Loftthrystingur (hpa)	Lofthiti (degC)	Sjavarhiti (degC)	Selta (PSU)	
00:00 01.02.2019 	 1,81 	 -3,75 	 9 	 13 	 89 	 1014 	 -3,4 	 -15 	 15 	  
23:50 31.01.2019 	 1,74 	 -3,75 	 9 	 13 	 88 	 1014 	 -3,5 	 -15 	 15 	  
23:40 31.01.2019 	 1,68 	 -3,75 	 9 	 15 	 87 	 1014 	 -3,4 	 -15 	 15 	  
23:30 31.01.2019 	 1,62 	 -3,75 	 11 	 17 	 76 	 1014 	 -3,6 	 -15 	 15 	  
23:20 31.01.2019 	 1,57 	 -3,75 	 10 	 15 	 78 	 1014 	 -3,6 	 -15 	 15 	  
23:10 31.01.2019 	 1,52 	 -3,75 	 10 	 13 	 79 	 1014 	 -3,5 	 -15 	 15 	  
23:00 31.01.2019 	 1,48 	 -3,75 	 11 	 14 	 81 	 1014 	 -3,3 	 -15 	 15 	  
22:50 31.01.2019 	 1,45 	 -3,75 	 11 	 14 	 83 	 1014 	 -3,1 	 -15 	 15 	  
22:40 31.01.2019 	 1,42 	 -3,75 	 10 	 14 	 87 	 1014 	 -3 	 -15 	 15 	  
22:30 31.01.2019 	 1,4 	 -3,75 	 10 	 13 	 70 	 1014 	 -2,6 	 -15 	 15 	  
22:20 31.01.2019 	 1,39 	 -3,75 	 8 	 11 	 74 	 1014 	 -2,6 	 -15 	 15 	  
22:10 31.01.2019 	 1,38 	 -3,75 	 9 	 12 	 60 	 1014 	 -2,6 	 -15 	 15 	  
22:00 31.01.2019 	 1,38 	 -3,75 	 9 	 11 	 60 	 1014 	 -2,9 	 -15 	 15 	  
21:50 31.01.2019 	 1,39 	 -3,75 	 9 	 14 	 61 	 1014 	 -2,9 	 -15 	 15 	  
21:40 31.01.2019 	 1,4 	 -3,75 	 9 	 12 	 65 	 1014 	 -2,3 	 -15 	 15 	  
21:30 31.01.2019 	 1,42 	 -3,75 	 10 	 13 	 56 	 1013 	 -2,9 	 -15 	 15 	  
21:20 31.01.2019 	 1,45 	 -3,75 	 10 	 13 	 51 	 1013 	 -2,9 	 -15 	 15 	  
21:10 31.01.2019 	 1,48 	 -3,75 	 11 	 14 	 46 	 1013 	 -3 	 -15 	 15 	  
21:00 31.01.2019 	 1,52 	 -3,75 	 10 	 14 	 48 	 1013 	 -3,1 	 -15 	 15 	  
20:50 31.01.2019 	 1,57 	 -3,75 	 10 	 14 	 45 	 1013 	 -3 	 -15 	 15 	  
20:40 31.01.2019 	 1,62 	 -3,75 	 10 	 15 	 43 	 1013 	 -2,9 	 -15 	 15 	  
20:30 31.01.2019 	 1,67 	 -3,75 	 10 	 16 	 42 	 1012 	 -3,1 	 -15 	 15 	  
20:20 31.01.2019 	 1,73 	 -3,75 	 10 	 14 	 42 	 1012 	 -3,2 	 -15 	 15 	  
20:10 31.01.2019 	 1,8 	 -3,75 	 10 	 14 	 39 	 1012 	 -3,1 	 -15 	 15 	  
20:00 31.01.2019 	 1,86 	 -3,75 	 11 	 15 	 42 	 1012 	 -3 	 -15 	 15 	  
19:50 31.01.2019 	 1,93 	 -3,75 	 11 	 16 	 42 	 1012 	 -3,1 	 -15 	 15 	  
19:40 31.01.2019 	 2,01 	 -3,75 	 10 	 15 	 40 	 1012 	 -3 	 -15 	 15 	  
19:30 31.01.2019 	 2,08 	 -3,75 	 11 	 16 	 40 	 1012 	 -2,9 	 -15 	 15 	  
19:20 31.01.2019 	 2,15 	 -3,75 	 10 	 15 	 35 	 1011 	 -3,1 	 -15 	 15 	  
19:10 31.01.2019 	 2,23 	 -3,75 	 10 	 15 	 36 	 1011 	 -3 	 -15 	 15 	  
19:00 31.01.2019 	 2,3 	 -3,75 	 9 	 14 	 37 	 1011 	 -3 	 -15 	 15 	  
18:50 31.01.2019 	 2,38 	 -3,75 	 10 	 15 	 39 	 1011 	 -2,8 	 -15 	 15 	  
18:40 31.01.2019 	 2,45 	 -3,75 	 10 	 15 	 41 	 1011 	 -2,9 	 -15 	 15 	  
18:30 31.01.2019 	 2,52 	 -3,75 	 10 	 17 	 40 	 1011 	 -2,8 	 -15 	 15 	  
18:20 31.01.2019 	 2,59 	 -3,75 	 10 	 16 	 36 	 1011 	 -2,5 	 -15 	 15 	  
18:10 31.01.2019 	 2,66 	 -3,75 	 11 	 16 	 36 	 1011 	 -2,5 	 -15 	 15 	  
18:00 31.01.2019 	 2,72 	 -3,75 	 11 	 18 	 39 	 1011 	 -2,3 	 -15 	 15 	  
17:50 31.01.2019 	 2,78 	 -3,75 	 11 	 15 	 36 	 1011 	 -2,1 	 -15 	 15 	  
17:40 31.01.2019 	 2,84 	 -3,75 	 11 	 15 	 37 	 1011 	 -2,2 	 -15 	 15 	  
17:30 31.01.2019 	 2,89 	 -3,75 	 10 	 15 	 38 	 1010 	 -2,1 	 -15 	 15 	  
17:20 31.01.2019 	 2,94 	 -3,75 	 11 	 15 	 43 	 1010 	 -2 	 -15 	 15 	  
17:10 31.01.2019 	 2,98 	 -3,75 	 9 	 13 	 44 	 1010 	 -1,9 	 -15 	 15 	  
17:00 31.01.2019 	 3,02 	 -3,75 	 8 	 11 	 47 	 1010 	 -2 	 -15 	 15 	  
16:50 31.01.2019 	 3,06 	 -3,75 	 7 	 11 	 83 	 1010 	 -1,4 	 -15 	 15 	  
