 Timabil 	 Flodatafla (m)	Sjavarhaed (m)	
00:00 01.02.2019 	 0,71 	 0,37 	  
23:50 31.01.2019 	 0,67 	 0,33 	  
23:40 31.01.2019 	 0,63 	 0,27 	  
23:30 31.01.2019 	 0,59 	 0,24 	  
23:20 31.01.2019 	 0,56 	 0,22 	  
23:10 31.01.2019 	 0,52 	 0,17 	  
23:00 31.01.2019 	 0,49 	 0,11 	  
22:50 31.01.2019 	 0,45 	 0,06 	  
22:40 31.01.2019 	 0,43 	 0,03 	  
22:30 31.01.2019 	 0,4 	 0,01 	  
22:20 31.01.2019 	 0,38 	 -0,05 	  
22:10 31.01.2019 	 0,35 	 -0,1 	  
22:00 31.01.2019 	 0,33 	 -0,12 	  
21:50 31.01.2019 	 0,32 	 -0,14 	  
21:40 31.01.2019 	 0,31 	 -0,17 	  
21:30 31.01.2019 	 0,3 	 -0,22 	  
21:20 31.01.2019 	 0,29 	 -0,2 	  
21:10 31.01.2019 	 0,29 	 -0,22 	  
21:00 31.01.2019 	 0,29 	 -0,27 	  
20:50 31.01.2019 	 0,29 	 -0,26 	  
20:40 31.01.2019 	 0,3 	 -0,27 	  
20:30 31.01.2019 	 0,31 	 -0,26 	  
20:20 31.01.2019 	 0,32 	 -0,24 	  
20:10 31.01.2019 	 0,33 	 -0,22 	  
20:00 31.01.2019 	 0,35 	 -0,2 	  
19:50 31.01.2019 	 0,38 	 -0,17 	  
19:40 31.01.2019 	 0,4 	 -0,13 	  
19:30 31.01.2019 	 0,42 	 -0,1 	  
19:20 31.01.2019 	 0,45 	 -0,06 	  
19:10 31.01.2019 	 0,48 	 -0,04 	  
19:00 31.01.2019 	 0,51 	 0,01 	  
18:50 31.01.2019 	 0,54 	 0,05 	  
18:40 31.01.2019 	 0,58 	 0,11 	  
18:30 31.01.2019 	 0,61 	 0,14 	  
18:20 31.01.2019 	 0,64 	 0,19 	  
18:10 31.01.2019 	 0,68 	 0,23 	  
18:00 31.01.2019 	 0,71 	 0,26 	  
17:50 31.01.2019 	 0,75 	 0,3 	  
17:40 31.01.2019 	 0,78 	 0,35 	  
17:30 31.01.2019 	 0,81 	 0,39 	  
17:20 31.01.2019 	 0,85 	 0,41 	  
17:10 31.01.2019 	 0,88 	 0,45 	  
17:00 31.01.2019 	 0,91 	 0,48 	  
16:50 31.01.2019 	 0,93 	 0,52 	  
16:40 31.01.2019 	 0,96 	 0,55 	  
16:30 31.01.2019 	 0,98 	 0,59 	  
16:20 31.01.2019 	 1,01 	 0,62 	  
16:10 31.01.2019 	 1,02 	 0,64 	  
16:00 31.01.2019 	 1,04 	 0,66 	  
15:50 31.01.2019 	 1,06 	 0,7 	  
15:40 31.01.2019 	 1,07 	 0,73 	  
15:30 31.01.2019 	 1,08 	 0,73 	  
15:20 31.01.2019 	 1,09 	 0,73 	  
15:10 31.01.2019 	 1,1 	 0,74 	  
15:00 31.01.2019 	 1,1 	 0,76 	  
14:50 31.01.2019 	 1,1 	 0,72 	  
14:40 31.01.2019 	 1,1 	 0,74 	  
14:30 31.01.2019 	 1,1 	 0,74 	  
14:20 31.01.2019 	 1,09 	 0,72 	  
14:10 31.01.2019 	 1,08 	 0,7 	  
14:00 31.01.2019 	 1,07 	 0,68 	  
13:50 31.01.2019 	 1,06 	 0,68 	  
13:40 31.01.2019 	 1,04 	 0,63 	  
13:30 31.01.2019 	 1,02 	 0,63 	  
13:20 31.01.2019 	 1 	 0,59 	  
13:10 31.01.2019 	 0,97 	 0,57 	  
13:00 31.01.2019 	 0,95 	 0,55 	  
12:50 31.01.2019 	 0,92 	 0,53 	  
12:40 31.01.2019 	 0,89 	 0,49 	  
12:30 31.01.2019 	 0,85 	 0,48 	  
12:20 31.01.2019 	 0,82 	 0,48 	  
12:10 31.01.2019 	 0,79 	 0,41 	  
12:00 31.01.2019 	 0,76 	 0,38 	  
11:50 31.01.2019 	 0,72 	 0,37 	  
11:40 31.01.2019 	 0,68 	 0,33 	  
11:30 31.01.2019 	 0,65 	 0,31 	  
11:20 31.01.2019 	 0,62 	 0,28 	  
11:10 31.01.2019 	 0,58 	 0,22 	  
11:00 31.01.2019 	 0,55 	 0,18 	  
10:50 31.01.2019 	 0,52 	 0,16 	  
10:40 31.01.2019 	 0,49 	 0,13 	  
10:30 31.01.2019 	 0,46 	 0,1 	  
10:20 31.01.2019 	 0,44 	 0,1 	  
10:10 31.01.2019 	 0,41 	 0,05 	  
10:00 31.01.2019 	 0,39 	 0,05 	  
09:50 31.01.2019 	 0,37 	 0,01 	  
09:40 31.01.2019 	 0,36 	 -0,03 	  
09:30 31.01.2019 	 0,34 	 -0,01 	  
09:20 31.01.2019 	 0,33 	 -0,03 	  
09:10 31.01.2019 	 0,33 	 -0,06 	  
09:00 31.01.2019 	 0,32 	 -0,04 	  
08:50 31.01.2019 	 0,32 	 -0,06 	  
08:40 31.01.2019 	 0,32 	 -0,05 	  
08:30 31.01.2019 	 0,33 	 0,01 	  
08:20 31.01.2019 	 0,33 	 0,01 	  
08:10 31.01.2019 	 0,34 	 0,01 	  
08:00 31.01.2019 	 0,36 	 0,05 	  
07:50 31.01.2019 	 0,37 	 0,09 	  
07:40 31.01.2019 	 0,39 	 0,09 	  
07:30 31.01.2019 	 0,41 	 0,14 	  
07:20 31.01.2019 	 0,44 	 0,16 	  
07:10 31.01.2019 	 0,46 	 0,19 	  
07:00 31.01.2019 	 0,5 	 0,25 	  
06:50 31.01.2019 	 0,52 	 0,3 	  
06:40 31.01.2019 	 0,56 	 0,32 	  
06:30 31.01.2019 	 0,59 	 0,38 	  
06:20 31.01.2019 	 0,62 	 0,42 	  
06:10 31.01.2019 	 0,66 	 0,45 	  
06:00 31.01.2019 	 0,7 	 0,5 	  
05:50 31.01.2019 	 0,74 	 0,56 	  
05:40 31.01.2019 	 0,77 	 0,58 	  
05:30 31.01.2019 	 0,8 	 0,63 	  
05:20 31.01.2019 	 0,84 	 0,66 	  
05:10 31.01.2019 	 0,88 	 0,7 	  
05:00 31.01.2019 	 0,91 	 0,75 	  
04:50 31.01.2019 	 0,94 	 0,78 	  
04:40 31.01.2019 	 0,97 	 0,82 	  
04:30 31.01.2019 	 1 	 0,85 	  
04:20 31.01.2019 	 1,03 	 0,89 	  
04:10 31.01.2019 	 1,06 	 0,9 	  
04:00 31.01.2019 	 1,08 	 0,93 	  
03:50 31.01.2019 	 1,1 	 0,93 	  
03:40 31.01.2019 	 1,13 	 0,96 	  
03:30 31.01.2019 	 1,14 	 1 	  
03:20 31.01.2019 	 1,16 	 0,99 	  
03:10 31.01.2019 	 1,17 	 1 	  
03:00 31.01.2019 	 1,18 	 1,02 	  
02:50 31.01.2019 	 1,19 	 1,01 	  
02:40 31.01.2019 	 1,2 	 1 	  
02:30 31.01.2019 	 1,2 	 0,99 	  
02:20 31.01.2019 	 1,2 	 0,97 	  
02:10 31.01.2019 	 1,19 	 0,96 	  
02:00 31.01.2019 	 1,19 	 0,94 	  
01:50 31.01.2019 	 1,18 	 0,93 	  
01:40 31.01.2019 	 1,17 	 0,89 	  
01:30 31.01.2019 	 1,15 	 0,88 	  
01:20 31.01.2019 	 1,14 	 0,85 	  
01:10 31.01.2019 	 1,12 	 0,82 	  
01:00 31.01.2019 	 1,09 	 0,8 	  
00:50 31.01.2019 	 1,07 	 0,77 	  
00:40 31.01.2019 	 1,05 	 0,76 	  
00:30 31.01.2019 	 1,02 	 0,73 	  
00:20 31.01.2019 	 0,99 	 0,69 	  
00:10 31.01.2019 	 0,96 	 0,68 	  
00:00 31.01.2019 	 0,92 	 0,63 	  
23:50 30.01.2019 	 0,89 	 0,58 	  
23:40 30.01.2019 	 0,85 	 0,56 	  
23:30 30.01.2019 	 0,82 	 0,52 	  
23:20 30.01.2019 	 0,79 	 0,47 	  
23:10 30.01.2019 	 0,75 	 0,43 	  
23:00 30.01.2019 	 0,71 	 0,41 	  
22:50 30.01.2019 	 0,68 	 0,37 	  
22:40 30.01.2019 	 0,64 	 0,35 	  
22:30 30.01.2019 	 0,61 	 0,33 	  
22:20 30.01.2019 	 0,58 	 0,29 	  
22:10 30.01.2019 	 0,55 	 0,22 	  
22:00 30.01.2019 	 0,51 	 0,19 	  
21:50 30.01.2019 	 0,49 	 0,16 	  
21:40 30.01.2019 	 0,46 	 0,11 	  
21:30 30.01.2019 	 0,44 	 0,1 	  
21:20 30.01.2019 	 0,41 	 0,07 	  
21:10 30.01.2019 	 0,39 	 0,04 	  
21:00 30.01.2019 	 0,38 	 0,01 	  
20:50 30.01.2019 	 0,36 	 -0,05 	  
20:40 30.01.2019 	 0,35 	 -0,07 	  
20:30 30.01.2019 	 0,34 	 -0,12 	  
20:20 30.01.2019 	 0,33 	 -0,12 	  
20:10 30.01.2019 	 0,33 	 -0,13 	  
20:00 30.01.2019 	 0,33 	 -0,14 	  
19:50 30.01.2019 	 0,33 	 -0,13 	  
19:40 30.01.2019 	 0,33 	 -0,16 	  
19:30 30.01.2019 	 0,34 	 -0,17 	  
19:20 30.01.2019 	 0,35 	 -0,14 	  
19:10 30.01.2019 	 0,36 	 -0,16 	  
