 Timabil 	 Flodatafla (m)	Sjavarhaed (m)	Vindur (m/s)	Hvida (m/s)	Vindatt (deg)	Loftthrystingur (hpa)	Lofthiti (degC)	
00:00 01.02.2019 	 0,59 	 0,83 	 8 	 12 	 324 	 1012 	 -3,8 	  
23:50 31.01.2019 	 0,62 	 0,89 	 6 	 9 	 326 	 1011 	 -3,6 	  
23:40 31.01.2019 	 0,64 	 0,92 	 7 	 11 	 325 	 1011 	 -3,6 	  
23:30 31.01.2019 	 0,66 	 0,88 	 8 	 12 	 320 	 1011 	 -3,6 	  
23:20 31.01.2019 	 0,68 	 0,9 	 8 	 11 	 332 	 1011 	 -3,4 	  
23:10 31.01.2019 	 0,71 	 0,99 	 9 	 12 	 334 	 1011 	 -3,7 	  
23:00 31.01.2019 	 0,73 	 1 	 8 	 12 	 312 	 1011 	 -3,2 	  
22:50 31.01.2019 	 0,75 	 0,97 	 6 	 10 	 338 	 1011 	 -3,5 	  
22:40 31.01.2019 	 0,77 	 0,99 	 9 	 13 	 335 	 1011 	 -3,9 	  
22:30 31.01.2019 	 0,79 	 1,11 	 9 	 13 	 319 	 1011 	 -3,4 	  
22:20 31.01.2019 	 0,8 	 1,1 	 7 	 10 	 321 	 1011 	 -3,3 	  
22:10 31.01.2019 	 0,82 	 1,09 	 8 	 11 	 334 	 1011 	 -3,4 	  
22:00 31.01.2019 	 0,84 	 1,11 	 7 	 10 	 314 	 1011 	 -3,3 	  
21:50 31.01.2019 	 0,85 	 1,09 	 8 	 11 	 316 	 1011 	 -3 	  
21:40 31.01.2019 	 0,86 	 1,2 	 8 	 11 	 304 	 1011 	 -3 	  
21:30 31.01.2019 	 0,88 	 1,15 	 7 	 11 	 309 	 1011 	 -3,5 	  
21:20 31.01.2019 	 0,89 	 1,11 	 7 	 11 	 310 	 1011 	 -3,3 	  
21:10 31.01.2019 	 0,89 	 1,13 	 8 	 13 	 325 	 1011 	 -3,3 	  
21:00 31.01.2019 	 0,9 	 1,18 	 6 	 11 	 332 	 1011 	 -3,3 	  
20:50 31.01.2019 	 0,91 	 1,13 	 6 	 10 	 347 	 1011 	 -3,5 	  
20:40 31.01.2019 	 0,91 	 1,16 	 6 	 11 	 347 	 1011 	 -3,6 	  
20:30 31.01.2019 	 0,92 	 1,18 	 6 	 10 	 346 	 1011 	 -3,7 	  
20:20 31.01.2019 	 0,92 	 1,15 	 7 	 9 	 344 	 1011 	 -3,7 	  
20:10 31.01.2019 	 0,92 	 1,17 	 7 	 9 	 348 	 1011 	 -3,5 	  
20:00 31.01.2019 	 0,91 	 1,17 	 6 	 10 	 354 	 1011 	 -3,5 	  
19:50 31.01.2019 	 0,91 	 1,17 	 7 	 9 	 344 	 1011 	 -3,5 	  
19:40 31.01.2019 	 0,9 	 1,15 	 7 	 10 	 339 	 1011 	 -3,3 	  
19:30 31.01.2019 	 0,89 	 1,09 	 7 	 9 	 333 	 1011 	 -3,2 	  
19:20 31.01.2019 	 0,89 	 1,03 	 7 	 11 	 331 	 1010 	 -3,2 	  
19:10 31.01.2019 	 0,87 	 1,08 	 7 	 9 	 337 	 1010 	 -3 	  
19:00 31.01.2019 	 0,86 	 1,09 	 7 	 9 	 340 	 1010 	 -3,1 	  
18:50 31.01.2019 	 0,85 	 1,04 	 7 	 10 	 342 	 1010 	 -3 	  
18:40 31.01.2019 	 0,83 	 1,01 	 5 	 9 	 349 	 1010 	 -3,1 	  
18:30 31.01.2019 	 0,81 	 0,97 	 6 	 9 	 359 	 1010 	 -3,1 	  
18:20 31.01.2019 	 0,8 	 0,96 	 6 	 9 	 355 	 1010 	 -3,1 	  
18:10 31.01.2019 	 0,77 	 0,97 	 7 	 11 	 355 	 1010 	 -3 	  
18:00 31.01.2019 	 0,75 	 0,86 	 8 	 11 	 344 	 1011 	 -3 	  
17:50 31.01.2019 	 0,73 	 0,87 	 6 	 10 	 358 	 1010 	 -2,8 	  
17:40 31.01.2019 	 0,71 	 0,86 	 6 	 9 	 355 	 1010 	 -2,9 	  
17:30 31.01.2019 	 0,69 	 0,78 	 5 	 7 	 7 	 1010 	 -3 	  
17:20 31.01.2019 	 0,67 	 0,76 	 6 	 10 	 357 	 1010 	 -2,9 	  
17:10 31.01.2019 	 0,64 	 0,76 	 6 	 10 	 4 	 1010 	 -2,8 	  
17:00 31.01.2019 	 0,62 	 0,75 	 6 	 9 	 16 	 1009 	 -2,9 	  
16:50 31.01.2019 	 0,6 	 0,63 	 6 	 9 	 11 	 1009 	 -3,1 	  
16:40 31.01.2019 	 0,58 	 0,66 	 7 	 10 	 4 	 1009 	 -2,8 	  
16:30 31.01.2019 	 0,56 	 0,67 	 6 	 13 	 0 	 1009 	 -2,6 	  
16:20 31.01.2019 	 0,53 	 0,58 	 6 	 9 	 13 	 1009 	 -3 	  
16:10 31.01.2019 	 0,52 	 0,57 	 6 	 10 	 14 	 1009 	 -2,8 	  
16:00 31.01.2019 	 0,5 	 0,59 	 6 	 10 	 9 	 1009 	 -2,6 	  
15:50 31.01.2019 	 0,48 	 0,55 	 7 	 10 	 5 	 1009 	 -2,6 	  
15:40 31.01.2019 	 0,47 	 0,51 	 6 	 9 	 352 	 1009 	 -2,5 	  
15:30 31.01.2019 	 0,45 	 0,47 	 6 	 10 	 354 	 1009 	 -2,5 	  
15:20 31.01.2019 	 0,44 	 0,53 	 7 	 10 	 352 	 1009 	 -2,5 	  
15:10 31.01.2019 	 0,43 	 0,5 	 6 	 9 	 12 	 1009 	 -2,7 	  
15:00 31.01.2019 	 0,42 	 0,4 	 7 	 10 	 4 	 1009 	 -2,5 	  
14:50 31.01.2019 	 0,41 	 0,43 	 6 	 9 	 6 	 1009 	 -2,6 	  
14:40 31.01.2019 	 0,41 	 0,45 	 6 	 9 	 18 	 1009 	 -2,6 	  
14:30 31.01.2019 	 0,41 	 0,39 	 6 	 10 	 13 	 1009 	 -2,7 	  
14:20 31.01.2019 	 0,4 	 0,42 	 6 	 10 	 11 	 1009 	 -2,7 	  
14:10 31.01.2019 	 0,41 	 0,47 	 7 	 10 	 15 	 1008 	 -2,4 	  
14:00 31.01.2019 	 0,41 	 0,44 	 6 	 9 	 16 	 1008 	 -2,6 	  
13:50 31.01.2019 	 0,41 	 0,42 	 7 	 11 	 11 	 1008 	 -2,5 	  
13:40 31.01.2019 	 0,42 	 0,46 	 8 	 11 	 8 	 1008 	 -2,4 	  
13:30 31.01.2019 	 0,43 	 0,45 	 8 	 12 	 10 	 1008 	 -2,4 	  
13:20 31.01.2019 	 0,44 	 0,41 	 8 	 12 	 9 	 1008 	 -2,2 	  
13:10 31.01.2019 	 0,45 	 0,51 	 7 	 11 	 8 	 1008 	 -2,1 	  
13:00 31.01.2019 	 0,47 	 0,53 	 7 	 11 	 10 	 1008 	 -2 	  
12:50 31.01.2019 	 0,48 	 0,5 	 7 	 11 	 6 	 1008 	 -2 	  
12:40 31.01.2019 	 0,5 	 0,56 	 7 	 12 	 11 	 1007 	 -2 	  
12:30 31.01.2019 	 0,52 	 0,54 	 7 	 11 	 12 	 1007 	 -2,1 	  
12:20 31.01.2019 	 0,54 	 0,61 	 7 	 11 	 10 	 1007 	 -2 	  
12:10 31.01.2019 	 0,56 	 0,6 	 8 	 11 	 10 	 1007 	 -2,1 	  
12:00 31.01.2019 	 0,58 	 0,7 	 7 	 10 	 13 	 1007 	 -2 	  
11:50 31.01.2019 	 0,6 	 0,73 	 7 	 11 	 12 	 1007 	 -1,9 	  
11:40 31.01.2019 	 0,63 	 0,68 	 7 	 11 	 10 	 1007 	 -2,1 	  
11:30 31.01.2019 	 0,65 	 0,78 	 8 	 10 	 8 	 1007 	 -1,9 	  
11:20 31.01.2019 	 0,68 	 0,78 	 7 	 11 	 13 	 1007 	 -2,2 	  
11:10 31.01.2019 	 0,7 	 0,86 	 7 	 11 	 13 	 1006 	 -1,8 	  
11:00 31.01.2019 	 0,72 	 0,88 	 8 	 11 	 14 	 1006 	 -2 	  
10:50 31.01.2019 	 0,74 	 0,94 	 8 	 12 	 14 	 1006 	 -2,2 	  
10:40 31.01.2019 	 0,77 	 0,95 	 8 	 12 	 16 	 1006 	 -1,8 	  
10:30 31.01.2019 	 0,79 	 1,02 	 7 	 11 	 12 	 1006 	 -1,9 	  
10:20 31.01.2019 	 0,81 	 1,03 	 8 	 12 	 10 	 1006 	 -1,6 	  
10:10 31.01.2019 	 0,83 	 1,11 	 8 	 13 	 357 	 1006 	 -1,6 	  
10:00 31.01.2019 	 0,85 	 1,06 	 8 	 12 	 353 	 1005 	 -1,4 	  
09:50 31.01.2019 	 0,87 	 1,14 	 9 	 12 	 346 	 1005 	 -1,7 	  
09:40 31.01.2019 	 0,89 	 1,12 	 9 	 14 	 339 	 1005 	 -1,9 	  
09:30 31.01.2019 	 0,9 	 1,18 	 9 	 12 	 340 	 1005 	 -1,7 	  
09:20 31.01.2019 	 0,92 	 1,19 	 9 	 13 	 337 	 1005 	 -1,5 	  
09:10 31.01.2019 	 0,93 	 1,24 	 9 	 13 	 329 	 1005 	 -1,4 	  
09:00 31.01.2019 	 0,94 	 1,28 	 9 	 13 	 333 	 1006 	 -1,6 	  
08:50 31.01.2019 	 0,95 	 1,26 	 8 	 11 	 341 	 1005 	 -1,6 	  
08:40 31.01.2019 	 0,96 	 1,29 	 7 	 10 	 345 	 1005 	 -1,6 	  
08:30 31.01.2019 	 0,97 	 1,17 	 7 	 11 	 353 	 1005 	 -1,8 	  
08:20 31.01.2019 	 0,97 	 1,21 	 8 	 11 	 349 	 1005 	 -2 	  
08:10 31.01.2019 	 0,98 	 1,3 	 7 	 10 	 354 	 1005 	 -1,8 	  
08:00 31.01.2019 	 0,98 	 1,23 	 7 	 11 	 350 	 1005 	 -1,9 	  
07:50 31.01.2019 	 0,98 	 1,3 	 7 	 12 	 351 	 1005 	 -1,9 	  
07:40 31.01.2019 	 0,97 	 1,31 	 8 	 11 	 337 	 1005 	 -1,6 	  
07:30 31.01.2019 	 0,97 	 1,26 	 7 	 10 	 358 	 1005 	 -1,6 	  
07:20 31.01.2019 	 0,96 	 1,24 	 7 	 10 	 346 	 1005 	 -1,5 	  
07:10 31.01.2019 	 0,96 	 1,29 	 8 	 10 	 345 	 1005 	 -2 	  
07:00 31.01.2019 	 0,95 	 1,26 	 7 	 11 	 347 	 1005 	 -1,7 	  
06:50 31.01.2019 	 0,94 	 1,21 	 7 	 11 	 356 	 1005 	 -1,8 	  
06:40 31.01.2019 	 0,92 	 1,17 	 8 	 12 	 347 	 1005 	 -1,6 	  
06:30 31.01.2019 	 0,91 	 1,12 	 7 	 10 	 358 	 1004 	 -1,7 	  
06:20 31.01.2019 	 0,89 	 1,13 	 7 	 10 	 359 	 1004 	 -1,9 	  
06:10 31.01.2019 	 0,88 	 1,14 	 8 	 12 	 352 	 1004 	 -1,8 	  
06:00 31.01.2019 	 0,86 	 1,16 	 8 	 12 	 352 	 1005 	 -1,6 	  
05:50 31.01.2019 	 0,84 	 1,09 	 8 	 12 	 354 	 1004 	 -1,7 	  
05:40 31.01.2019 	 0,82 	 1,05 	 8 	 12 	 358 	 1004 	 -1,5 	  
05:30 31.01.2019 	 0,8 	 1,05 	 7 	 10 	 360 	 1004 	 -1,4 	  
05:20 31.01.2019 	 0,78 	 0,93 	 7 	 11 	 355 	 1004 	 -1,5 	  
05:10 31.01.2019 	 0,75 	 0,98 	 7 	 12 	 14 	 1004 	 -2 	  
05:00 31.01.2019 	 0,73 	 0,99 	 6 	 9 	 13 	 1004 	 -2 	  
04:50 31.01.2019 	 0,71 	 0,94 	 6 	 9 	 15 	 1004 	 -2,3 	  
04:40 31.01.2019 	 0,68 	 0,83 	 7 	 10 	 14 	 1004 	 -2,5 	  
04:30 31.01.2019 	 0,66 	 0,87 	 7 	 10 	 357 	 1004 	 -1,8 	  
04:20 31.01.2019 	 0,64 	 0,85 	 7 	 10 	 348 	 1004 	 -1,3 	  
04:10 31.01.2019 	 0,62 	 0,83 	 5 	 10 	 360 	 1004 	 -1,3 	  
04:00 31.01.2019 	 0,59 	 0,77 	 6 	 8 	 2 	 1004 	 -1,7 	  
03:50 31.01.2019 	 0,57 	 0,77 	 5 	 8 	 3 	 1004 	 -1,6 	  
03:40 31.01.2019 	 0,55 	 0,74 	 6 	 9 	 1 	 1004 	 -1,5 	  
03:30 31.01.2019 	 0,53 	 0,74 	 7 	 10 	 344 	 1004 	 -1,5 	  
03:20 31.01.2019 	 0,51 	 0,67 	 5 	 8 	 357 	 1004 	 -1,3 	  
03:10 31.01.2019 	 0,5 	 0,68 	 5 	 8 	 330 	 1004 	 -1,3 	  
03:00 31.01.2019 	 0,48 	 0,59 	 5 	 8 	 319 	 1004 	 -1,7 	  
02:50 31.01.2019 	 0,47 	 0,63 	 6 	 9 	 337 	 1004 	 -1,9 	  
02:40 31.01.2019 	 0,45 	 0,61 	 6 	 10 	 339 	 1004 	 -1,6 	  
02:30 31.01.2019 	 0,44 	 0,58 	 6 	 9 	 335 	 1004 	 -1,6 	  
02:20 31.01.2019 	 0,43 	 0,59 	 6 	 8 	 333 	 1004 	 -1,5 	  
02:10 31.01.2019 	 0,42 	 0,6 	 5 	 7 	 337 	 1004 	 -1,8 	  
02:00 31.01.2019 	 0,42 	 0,58 	 6 	 9 	 342 	 1004 	 -1,9 	  
01:50 31.01.2019 	 0,41 	 0,58 	 7 	 9 	 337 	 1004 	 -1,8 	  
01:40 31.01.2019 	 0,41 	 0,58 	 6 	 10 	 346 	 1004 	 -1,9 	  
01:30 31.01.2019 	 0,41 	 0,54 	 6 	 9 	 352 	 1004 	 -2,3 	  
01:20 31.01.2019 	 0,41 	 0,61 	 6 	 9 	 348 	 1004 	 -1,9 	  
01:10 31.01.2019 	 0,41 	 0,61 	 4 	 8 	 12 	 1004 	 -2,5 	  
01:00 31.01.2019 	 0,42 	 0,59 	 4 	 7 	 11 	 1004 	 -2,6 	  
00:50 31.01.2019 	 0,42 	 0,62 	 5 	 8 	 0 	 1004 	 -2,2 	  
00:40 31.01.2019 	 0,43 	 0,65 	 5 	 8 	 351 	 1004 	 -2,2 	  
00:30 31.01.2019 	 0,44 	 0,64 	 6 	 8 	 3 	 1004 	 -2,5 	  
00:20 31.01.2019 	 0,45 	 0,62 	 6 	 9 	 352 	 1004 	 -2,3 	  
00:10 31.01.2019 	 0,47 	 0,61 	 7 	 9 	 339 	 1004 	 -2,6 	  
00:00 31.01.2019 	 0,48 	 0,67 	 7 	 10 	 339 	 1004 	 -2,8 	  
23:50 30.01.2019 	 0,49 	 0,65 	 8 	 11 	 344 	 1004 	 -2,7 	  
23:40 30.01.2019 	 0,51 	 0,74 	 6 	 9 	 0 	 1004 	 -2,4 	  
23:30 30.01.2019 	 0,53 	 0,69 	 6 	 9 	 17 	 1004 	 -2,9 	  
23:20 30.01.2019 	 0,54 	 0,8 	 6 	 9 	 19 	 1004 	 -3,1 	  
23:10 30.01.2019 	 0,56 	 0,8 	 6 	 10 	 18 	 1004 	 -2,9 	  
23:00 30.01.2019 	 0,58 	 0,79 	 7 	 11 	 19 	 1003 	 -2,8 	  
22:50 30.01.2019 	 0,6 	 0,73 	 7 	 10 	 12 	 1003 	 -2,8 	  
22:40 30.01.2019 	 0,62 	 0,82 	 6 	 9 	 6 	 1003 	 -2,5 	  
22:30 30.01.2019 	 0,64 	 0,87 	 7 	 9 	 11 	 1003 	 -2,5 	  
22:20 30.01.2019 	 0,66 	 0,9 	 8 	 11 	 15 	 1003 	 -2,3 	  
22:10 30.01.2019 	 0,68 	 0,96 	 6 	 9 	 10 	 1003 	 -2 	  
22:00 30.01.2019 	 0,7 	 0,95 	 6 	 11 	 6 	 1003 	 -1,7 	  
21:50 30.01.2019 	 0,72 	 0,94 	 5 	 8 	 8 	 1003 	 -2 	  
21:40 30.01.2019 	 0,74 	 0,96 	 6 	 9 	 13 	 1003 	 -2,1 	  
21:30 30.01.2019 	 0,76 	 0,99 	 5 	 7 	 11 	 1003 	 -1,7 	  
21:20 30.01.2019 	 0,77 	 1,03 	 5 	 9 	 354 	 1003 	 -1,8 	  
21:10 30.01.2019 	 0,79 	 1,1 	 4 	 7 	 350 	 1003 	 -2,4 	  
21:00 30.01.2019 	 0,81 	 1,07 	 7 	 9 	 340 	 1003 	 -2,2 	  
20:50 30.01.2019 	 0,82 	 1,06 	 5 	 9 	 357 	 1003 	 -2 	  
20:40 30.01.2019 	 0,84 	 1,13 	 4 	 6 	 14 	 1003 	 -2,8 	  
20:30 30.01.2019 	 0,85 	 1,11 	 4 	 7 	 12 	 1003 	 -2,5 	  
20:20 30.01.2019 	 0,86 	 1,08 	 2 	 4 	 10 	 1003 	 -2,6 	  
20:10 30.01.2019 	 0,87 	 1,17 	 2 	 4 	 349 	 1003 	 -2,6 	  
20:00 30.01.2019 	 0,88 	 1,15 	 4 	 6 	 336 	 1003 	 -2,7 	  
19:50 30.01.2019 	 0,89 	 1,18 	 6 	 9 	 351 	 1003 	 -3,1 	  
19:40 30.01.2019 	 0,89 	 1,15 	 6 	 9 	 344 	 1003 	 -1,8 	  
19:30 30.01.2019 	 0,9 	 1,11 	 5 	 8 	 345 	 1003 	 -1,7 	  
19:20 30.01.2019 	 0,9 	 1,15 	 5 	 7 	 346 	 1003 	 -2 	  
19:10 30.01.2019 	 0,9 	 1,12 	 4 	 8 	 359 	 1003 	 -2 	  
19:00 30.01.2019 	 0,9 	 1,1 	 4 	 6 	 22 	 1003 	 -2,4 	  
18:50 30.01.2019 	 0,9 	 1,14 	 6 	 10 	 12 	 1003 	 -2,7 	  
18:40 30.01.2019 	 0,9 	 1,09 	 4 	 9 	 5 	 1003 	 -2 	  
18:30 30.01.2019 	 0,89 	 1,12 	 4 	 7 	 14 	 1003 	 -2,6 	  
