 Timabil 	 Flodatafla (m)	Vindur (m/s)	Hvida (m/s)	Vindatt (deg)	Lofthiti (degC)	
00:00 01.02.2019 	 1,71 	 0 	 0 	 95 	 -5,9 	  
23:50 31.01.2019 	 1,64 	 0 	 0 	 149 	 -6,1 	  
23:40 31.01.2019 	 1,58 	 0 	 0 	 137 	 -5,5 	  
23:30 31.01.2019 	 1,52 	 0 	 0 	 88 	 -5,2 	  
23:20 31.01.2019 	 1,47 	 0 	 0 	 69 	 -5,1 	  
23:10 31.01.2019 	 1,42 	 0 	 0 	 99 	 -4,6 	  
23:00 31.01.2019 	 1,38 	 0 	 4 	 111 	 -4,7 	  
22:50 31.01.2019 	 1,35 	 3 	 7 	 72 	 -3,4 	  
22:40 31.01.2019 	 1,32 	 3 	 6 	 64 	 -2,8 	  
22:30 31.01.2019 	 1,3 	 5 	 9 	 28 	 -2,4 	  
22:20 31.01.2019 	 1,29 	 5 	 8 	 34 	 -2,4 	  
22:10 31.01.2019 	 1,28 	 1 	 8 	 43 	 -2,4 	  
22:00 31.01.2019 	 1,28 	 0 	 0 	 34 	 -2,8 	  
21:50 31.01.2019 	 1,29 	 0 	 0 	 6 	 -3,6 	  
21:40 31.01.2019 	 1,3 	 0 	 0 	 77 	 -3,6 	  
21:30 31.01.2019 	 1,32 	 0 	 0 	 97 	 -4,2 	  
21:20 31.01.2019 	 1,35 	 0 	 0 	 128 	 -4,7 	  
21:10 31.01.2019 	 1,38 	 1 	 3 	 140 	 -4,4 	  
21:00 31.01.2019 	 1,42 	 3 	 6 	 77 	 -3,3 	  
20:50 31.01.2019 	 1,47 	 7 	 9 	 30 	 -2,1 	  
20:40 31.01.2019 	 1,52 	 7 	 10 	 30 	 -2,1 	  
20:30 31.01.2019 	 1,57 	 8 	 11 	 35 	 -2,1 	  
20:20 31.01.2019 	 1,63 	 7 	 10 	 39 	 -2,1 	  
20:10 31.01.2019 	 1,7 	 5 	 8 	 67 	 -2,2 	  
20:00 31.01.2019 	 1,76 	 6 	 8 	 84 	 -2,7 	  
19:50 31.01.2019 	 1,83 	 5 	 7 	 99 	 -2,8 	  
19:40 31.01.2019 	 1,91 	 4 	 8 	 50 	 -2,1 	  
19:30 31.01.2019 	 1,98 	 5 	 8 	 56 	 -2,2 	  
19:20 31.01.2019 	 2,05 	 4 	 7 	 36 	 -1,7 	  
19:10 31.01.2019 	 2,13 	 3 	 6 	 74 	 -2,2 	  
19:00 31.01.2019 	 2,2 	 4 	 7 	 64 	 -1,9 	  
18:50 31.01.2019 	 2,28 	 5 	 8 	 60 	 -1,7 	  
18:40 31.01.2019 	 2,35 	 5 	 8 	 64 	 -2 	  
18:30 31.01.2019 	 2,42 	 5 	 8 	 70 	 -1,8 	  
18:20 31.01.2019 	 2,49 	 4 	 7 	 54 	 -1,7 	  
18:10 31.01.2019 	 2,56 	 4 	 6 	 64 	 -1,8 	  
18:00 31.01.2019 	 2,62 	 4 	 8 	 69 	 -1,7 	  
17:50 31.01.2019 	 2,68 	 6 	 8 	 23 	 -1,3 	  
17:40 31.01.2019 	 2,74 	 4 	 6 	 20 	 -1,1 	  
17:30 31.01.2019 	 2,79 	 0 	 0 	 47 	 -1,8 	  
17:20 31.01.2019 	 2,84 	 0 	 0 	 224 	 -3,1 	  
17:10 31.01.2019 	 2,88 	 0 	 0 	 241 	 -3,8 	  
