 Timabil 	 Flodatafla (m)	Sjavarhaed (m)	Vindur (m/s)	Hvida (m/s)	Vindatt (deg)	Loftthrystingur (hpa)	Lofthiti (degC)	
00:00 01.02.2019 	 1,42 	 1,11 	 6 	 9 	 341 	 1010 	 -6,2 	  
23:50 31.01.2019 	 1,36 	 1,14 	 6 	 9 	 343 	 1010 	 -5,9 	  
23:40 31.01.2019 	 1,3 	 1,06 	 7 	 10 	 348 	 1010 	 -4,9 	  
23:30 31.01.2019 	 1,25 	 0,96 	 7 	 10 	 344 	 1010 	 -5,1 	  
23:20 31.01.2019 	 1,2 	 0,97 	 7 	 10 	 338 	 1010 	 -5,6 	  
23:10 31.01.2019 	 1,15 	 0,88 	 6 	 9 	 343 	 1009 	 -5,2 	  
23:00 31.01.2019 	 1,11 	 0,82 	 6 	 9 	 342 	 1009 	 -5 	  
22:50 31.01.2019 	 1,06 	 0,86 	 6 	 8 	 330 	 1009 	 -6,1 	  
22:40 31.01.2019 	 1,03 	 0,75 	 6 	 7 	 317 	 1009 	 -6,7 	  
22:30 31.01.2019 	 0,99 	 0,69 	 5 	 8 	 331 	 1009 	 -6,6 	  
22:20 31.01.2019 	 0,97 	 0,73 	 5 	 7 	 347 	 1009 	 -5,4 	  
22:10 31.01.2019 	 0,95 	 0,62 	 5 	 7 	 342 	 1009 	 -5,4 	  
22:00 31.01.2019 	 0,92 	 0,62 	 5 	 7 	 323 	 1009 	 -6,3 	  
21:50 31.01.2019 	 0,91 	 0,64 	 5 	 6 	 318 	 1009 	 -5,2 	  
21:40 31.01.2019 	 0,9 	 0,66 	 4 	 5 	 329 	 1009 	 -3,9 	  
21:30 31.01.2019 	 0,9 	 0,65 	 3 	 4 	 4 	 1009 	 -2,5 	  
21:20 31.01.2019 	 0,9 	 0,69 	 3 	 5 	 352 	 1009 	 -3,1 	  
21:10 31.01.2019 	 0,9 	 0,7 	 5 	 6 	 14 	 1009 	 -3 	  
21:00 31.01.2019 	 0,91 	 0,72 	 5 	 7 	 38 	 1009 	 -1,2 	  
20:50 31.01.2019 	 0,92 	 0,69 	 7 	 10 	 55 	 1008 	 -1 	  
20:40 31.01.2019 	 0,95 	 0,59 	 9 	 14 	 47 	 1008 	 -1 	  
20:30 31.01.2019 	 0,97 	 0,63 	 8 	 13 	 36 	 1008 	 -1,9 	  
20:20 31.01.2019 	 0,99 	 0,68 	 7 	 10 	 21 	 1008 	 -2,6 	  
20:10 31.01.2019 	 1,03 	 0,69 	 7 	 10 	 10 	 1008 	 -3,3 	  
20:00 31.01.2019 	 1,06 	 0,74 	 8 	 12 	 13 	 1008 	 -3,2 	  
19:50 31.01.2019 	 1,1 	 0,86 	 7 	 11 	 4 	 1008 	 -3,1 	  
19:40 31.01.2019 	 1,14 	 0,8 	 6 	 9 	 359 	 1008 	 -4,2 	  
19:30 31.01.2019 	 1,19 	 0,83 	 6 	 9 	 358 	 1007 	 -3,7 	  
19:20 31.01.2019 	 1,23 	 0,9 	 6 	 9 	 8 	 1007 	 -2,9 	  
19:10 31.01.2019 	 1,28 	 1,05 	 6 	 9 	 10 	 1007 	 -3 	  
19:00 31.01.2019 	 1,34 	 1,08 	 8 	 11 	 16 	 1007 	 -2,8 	  
18:50 31.01.2019 	 1,39 	 1,09 	 7 	 11 	 20 	 1007 	 -2,9 	  
18:40 31.01.2019 	 1,44 	 1,13 	 9 	 13 	 18 	 1006 	 -2,9 	  
18:30 31.01.2019 	 1,49 	 1,21 	 9 	 14 	 16 	 1006 	 -3 	  
18:20 31.01.2019 	 1,54 	 1,25 	 10 	 14 	 22 	 1006 	 -2,6 	  
18:10 31.01.2019 	 1,6 	 1,25 	 8 	 13 	 13 	 1006 	 -2,8 	  
18:00 31.01.2019 	 1,65 	 1,36 	 7 	 11 	 333 	 1006 	 -4 	  
17:50 31.01.2019 	 1,69 	 1,42 	 8 	 12 	 345 	 1006 	 -3,2 	  
17:40 31.01.2019 	 1,74 	 1,46 	 7 	 10 	 337 	 1006 	 -3,8 	  
17:30 31.01.2019 	 1,79 	 1,49 	 8 	 11 	 345 	 1006 	 -3,4 	  
17:20 31.01.2019 	 1,83 	 1,52 	 8 	 12 	 7 	 1006 	 -2,9 	  
17:10 31.01.2019 	 1,88 	 1,64 	 7 	 11 	 13 	 1006 	 -3,1 	  
17:00 31.01.2019 	 1,92 	 1,62 	 8 	 12 	 22 	 1006 	 -2,6 	  
16:50 31.01.2019 	 1,95 	 1,63 	 10 	 14 	 19 	 1005 	 -3 	  
16:40 31.01.2019 	 1,99 	 1,78 	 7 	 12 	 340 	 1005 	 -3,8 	  
16:30 31.01.2019 	 2,02 	 1,75 	 7 	 11 	 323 	 1006 	 -3,8 	  
16:20 31.01.2019 	 2,04 	 1,81 	 7 	 10 	 340 	 1006 	 -3,6 	  
16:10 31.01.2019 	 2,07 	 1,82 	 6 	 8 	 351 	 1006 	 -3,9 	  
16:00 31.01.2019 	 2,09 	 1,8 	 6 	 8 	 353 	 1006 	 -4,2 	  
15:50 31.01.2019 	 2,11 	 1,88 	 6 	 8 	 346 	 1006 	 -4,2 	  
15:40 31.01.2019 	 2,12 	 1,87 	 7 	 10 	 356 	 1006 	 -3,8 	  
15:30 31.01.2019 	 2,13 	 1,91 	 8 	 11 	 6 	 1006 	 -2,9 	  
15:20 31.01.2019 	 2,14 	 1,86 	 10 	 13 	 10 	 1005 	 -2,7 	  
15:10 31.01.2019 	 2,14 	 1,93 	 9 	 13 	 4 	 1005 	 -3,4 	  
15:00 31.01.2019 	 2,14 	 1,88 	 8 	 12 	 6 	 1005 	 -3,6 	  
14:50 31.01.2019 	 2,13 	 1,91 	 8 	 13 	 9 	 1005 	 -3 	  
14:40 31.01.2019 	 2,12 	 1,89 	 7 	 11 	 2 	 1005 	 -3,6 	  
14:30 31.01.2019 	 2,11 	 1,87 	 6 	 10 	 4 	 1005 	 -3,6 	  
14:20 31.01.2019 	 2,09 	 1,85 	 6 	 9 	 2 	 1005 	 -3,7 	  
14:10 31.01.2019 	 2,07 	 1,8 	 5 	 7 	 347 	 1005 	 -4 	  
14:00 31.01.2019 	 2,04 	 1,81 	 4 	 5 	 341 	 1005 	 -4,4 	  
13:50 31.01.2019 	 2,01 	 1,84 	 3 	 5 	 348 	 1005 	 -4,2 	  
13:40 31.01.2019 	 1,97 	 1,75 	 4 	 5 	 353 	 1005 	 -4,2 	  
13:30 31.01.2019 	 1,94 	 1,7 	 3 	 5 	 7 	 1005 	 -3,8 	  
13:20 31.01.2019 	 1,9 	 1,66 	 3 	 5 	 7 	 1005 	 -3,9 	  
13:10 31.01.2019 	 1,86 	 1,53 	 4 	 5 	 355 	 1005 	 -4,2 	  
13:00 31.01.2019 	 1,81 	 1,62 	 4 	 5 	 350 	 1005 	 -4 	  
12:50 31.01.2019 	 1,76 	 1,6 	 4 	 5 	 341 	 1005 	 -4 	  
12:40 31.01.2019 	 1,71 	 1,54 	 4 	 6 	 355 	 1005 	 -4,1 	  
12:30 31.01.2019 	 1,66 	 1,46 	 4 	 6 	 8 	 1005 	 -4,9 	  
12:20 31.01.2019 	 1,61 	 1,39 	 4 	 7 	 11 	 1005 	 -5,4 	  
12:10 31.01.2019 	 1,55 	 1,29 	 4 	 6 	 10 	 1005 	 -5,2 	  
12:00 31.01.2019 	 1,5 	 1,31 	 3 	 4 	 14 	 1005 	 -5,1 	  
