 Timabil 	 Flodatafla (m)	Sjavarhaed (m)	Vindur (m/s)	Hvida (m/s)	Vindatt (°)	Loftthrystingur (hpa)	Lofthiti (°C)	
00:00 01.02.2019 	 1,35 	 1,61 	 10 	 15 	 263 	 1009 	 -3,7 	  
23:50 31.01.2019 	 1,34 	 1,58 	 10 	 14 	 259 	 1009 	 -3,6 	  
23:40 31.01.2019 	 1,33 	 1,54 	 10 	 12 	 259 	 1009 	 -3,6 	  
23:30 31.01.2019 	 1,32 	 1,54 	 9 	 11 	 265 	 1009 	 -3,7 	  
23:20 31.01.2019 	 1,3 	 1,53 	 9 	 13 	 262 	 1009 	 -3,5 	  
23:10 31.01.2019 	 1,28 	 1,54 	 8 	 11 	 267 	 1009 	 -3,5 	  
23:00 31.01.2019 	 1,26 	 1,52 	 7 	 12 	 276 	 1009 	 -3,5 	  
22:50 31.01.2019 	 1,24 	 1,49 	 8 	 12 	 282 	 1009 	 -3,1 	  
22:40 31.01.2019 	 1,21 	 1,47 	 9 	 14 	 289 	 1009 	 -3,3 	  
22:30 31.01.2019 	 1,18 	 1,42 	 9 	 13 	 279 	 1009 	 -3,2 	  
22:20 31.01.2019 	 1,15 	 1,38 	 9 	 13 	 275 	 1009 	 -3,4 	  
22:10 31.01.2019 	 1,12 	 1,37 	 9 	 12 	 267 	 1009 	 -3,4 	  
22:00 31.01.2019 	 1,09 	 1,33 	 7 	 14 	 253 	 1009 	 -3,1 	  
21:50 31.01.2019 	 1,06 	 1,29 	 7 	 12 	 250 	 1009 	 -2,9 	  
21:40 31.01.2019 	 1,02 	 1,27 	 6 	 13 	 249 	 1009 	 -2,8 	  
21:30 31.01.2019 	 0,99 	 1,2 	 5 	 11 	 244 	 1009 	 -2,9 	  
21:20 31.01.2019 	 0,95 	 1,19 	 5 	 10 	 256 	 1008 	 -3,1 	  
21:10 31.01.2019 	 0,92 	 1,15 	 6 	 9 	 256 	 1008 	 -3 	  
21:00 31.01.2019 	 0,88 	 1,11 	 6 	 12 	 276 	 1008 	 -3 	  
20:50 31.01.2019 	 0,84 	 1,08 	 8 	 12 	 279 	 1008 	 -3,1 	  
20:40 31.01.2019 	 0,81 	 1,04 	 11 	 16 	 284 	 1008 	 -3,2 	  
