 Timabil 	 Flodatafla (m)	Sjavarhaed (m)	Vindur (m/s)	Hvida (m/s)	Vindatt (deg)	Loftthrystingur (hpa)	Lofthiti (degC)	
00:00 01.02.2019 	 1,78 	 1,76 	 8 	 12 	 44 	 1015 	 -2,9 	  
23:50 31.01.2019 	 1,71 	 1,72 	 7 	 10 	 41 	 1015 	 -2,9 	  
23:40 31.01.2019 	 1,64 	 1,58 	 8 	 11 	 43 	 1015 	 -2,8 	  
23:30 31.01.2019 	 1,58 	 1,55 	 8 	 11 	 45 	 1015 	 -3 	  
23:20 31.01.2019 	 1,52 	 1,51 	 6 	 9 	 43 	 1014 	 -2,9 	  
23:10 31.01.2019 	 1,47 	 1,46 	 6 	 10 	 37 	 1014 	 -3,1 	  
23:00 31.01.2019 	 1,42 	 1,45 	 5 	 8 	 38 	 1014 	 -2,9 	  
22:50 31.01.2019 	 1,38 	 1,3 	 6 	 8 	 36 	 1014 	 -2,9 	  
22:40 31.01.2019 	 1,35 	 1,41 	 6 	 8 	 36 	 1014 	 -3 	  
22:30 31.01.2019 	 1,32 	 1,22 	 7 	 9 	 35 	 1014 	 -2,9 	  
22:20 31.01.2019 	 1,3 	 1,33 	 7 	 10 	 41 	 1014 	 -2,9 	  
22:10 31.01.2019 	 1,29 	 1,21 	 7 	 10 	 39 	 1014 	 -2,8 	  
22:00 31.01.2019 	 1,28 	 1,33 	 7 	 11 	 38 	 1014 	 -2,8 	  
21:50 31.01.2019 	 1,28 	 1,23 	 7 	 11 	 40 	 1014 	 -2,9 	  
21:40 31.01.2019 	 1,29 	 1,21 	 7 	 11 	 42 	 1014 	 -2,7 	  
21:30 31.01.2019 	 1,3 	 1,34 	 7 	 11 	 42 	 1014 	 -2,8 	  
21:20 31.01.2019 	 1,32 	 1,21 	 7 	 11 	 40 	 1014 	 -2,5 	  
21:10 31.01.2019 	 1,35 	 1,36 	 7 	 9 	 37 	 1014 	 -2,7 	  
21:00 31.01.2019 	 1,38 	 1,33 	 7 	 10 	 39 	 1013 	 -2,7 	  
20:50 31.01.2019 	 1,42 	 1,33 	 7 	 11 	 36 	 1013 	 -2,7 	  
20:40 31.01.2019 	 1,47 	 1,44 	 7 	 12 	 38 	 1013 	 -2,5 	  
20:30 31.01.2019 	 1,52 	 1,48 	 8 	 10 	 32 	 1013 	 -2,5 	  
20:20 31.01.2019 	 1,57 	 1,45 	 8 	 11 	 33 	 1013 	 -2,5 	  
20:10 31.01.2019 	 1,63 	 1,66 	 8 	 12 	 32 	 1013 	 -2,4 	  
20:00 31.01.2019 	 1,7 	 1,59 	 8 	 10 	 37 	 1013 	 -2,5 	  
19:50 31.01.2019 	 1,76 	 1,74 	 9 	 12 	 35 	 1013 	 -2,2 	  
19:40 31.01.2019 	 1,83 	 1,77 	 8 	 11 	 38 	 1013 	 -2,4 	  
19:30 31.01.2019 	 1,91 	 1,86 	 8 	 11 	 37 	 1013 	 -2,2 	  
19:20 31.01.2019 	 1,98 	 1,88 	 8 	 11 	 32 	 1012 	 -2,2 	  
19:10 31.01.2019 	 2,05 	 1,94 	 8 	 12 	 32 	 1012 	 -2 	  
19:00 31.01.2019 	 2,13 	 2,04 	 8 	 12 	 34 	 1012 	 -2,2 	  
18:50 31.01.2019 	 2,2 	 2,1 	 8 	 12 	 35 	 1012 	 -2 	  
18:40 31.01.2019 	 2,28 	 2,21 	 9 	 13 	 34 	 1012 	 -1,9 	  
18:30 31.01.2019 	 2,35 	 2,24 	 8 	 12 	 36 	 1012 	 -1,8 	  
18:20 31.01.2019 	 2,42 	 2,35 	 8 	 12 	 34 	 1012 	 -2 	  
18:10 31.01.2019 	 2,49 	 2,34 	 9 	 12 	 36 	 1012 	 -1,7 	  
18:00 31.01.2019 	 2,56 	 2,48 	 7 	 11 	 37 	 1011 	 -1,7 	  
17:50 31.01.2019 	 2,62 	 2,46 	 7 	 10 	 37 	 1012 	 -1,6 	  
17:40 31.01.2019 	 2,68 	 2,56 	 8 	 12 	 35 	 1011 	 -1,7 	  
17:30 31.01.2019 	 2,74 	 2,64 	 9 	 12 	 37 	 1011 	 -1,7 	  
17:20 31.01.2019 	 2,79 	 2,69 	 8 	 13 	 38 	 1011 	 -1,5 	  
17:10 31.01.2019 	 2,84 	 2,69 	 10 	 15 	 26 	 1011 	 -1,5 	  
17:00 31.01.2019 	 2,88 	 2,76 	 9 	 15 	 31 	 1011 	 -1,2 	  
16:50 31.01.2019 	 2,92 	 2,88 	 9 	 13 	 38 	 1011 	 -1,4 	  
16:40 31.01.2019 	 2,96 	 2,79 	 9 	 13 	 34 	 1011 	 -1,4 	  
16:30 31.01.2019 	 2,98 	 2,94 	 9 	 14 	 34 	 1011 	 -1,3 	  
16:20 31.01.2019 	 3,01 	 2,93 	 8 	 11 	 33 	 1011 	 -1,4 	  
16:10 31.01.2019 	 3,03 	 2,9 	 8 	 11 	 35 	 1011 	 -1,5 	  
16:00 31.01.2019 	 3,04 	 2,96 	 9 	 12 	 36 	 1011 	 -1,5 	  
15:50 31.01.2019 	 3,05 	 2,94 	 8 	 12 	 38 	 1010 	 -1,6 	  
15:40 31.01.2019 	 3,05 	 2,97 	 8 	 12 	 36 	 1010 	 -1,6 	  
15:30 31.01.2019 	 3,05 	 2,92 	 9 	 13 	 33 	 1010 	 -1,6 	  
15:20 31.01.2019 	 3,04 	 2,99 	 9 	 11 	 30 	 1010 	 -1,7 	  
15:10 31.01.2019 	 3,03 	 2,88 	 9 	 13 	 34 	 1010 	 -1,5 	  
15:00 31.01.2019 	 3,01 	 2,93 	 8 	 12 	 32 	 1010 	 -1,5 	  
14:50 31.01.2019 	 2,98 	 2,82 	 8 	 11 	 36 	 1010 	 -1,6 	  
14:40 31.01.2019 	 2,95 	 2,82 	 7 	 11 	 27 	 1010 	 -1,7 	  
14:30 31.01.2019 	 2,91 	 2,84 	 8 	 12 	 29 	 1010 	 -1,7 	  
14:20 31.01.2019 	 2,87 	 2,69 	 8 	 13 	 27 	 1010 	 -1,5 	  
14:10 31.01.2019 	 2,82 	 2,73 	 9 	 12 	 33 	 1010 	 -1,7 	  
14:00 31.01.2019 	 2,77 	 2,6 	 8 	 12 	 31 	 1010 	 -1,6 	  
13:50 31.01.2019 	 2,71 	 2,61 	 8 	 12 	 32 	 1010 	 -1,6 	  
13:40 31.01.2019 	 2,65 	 2,52 	 9 	 12 	 30 	 1010 	 -1,6 	  
13:30 31.01.2019 	 2,58 	 2,44 	 9 	 12 	 31 	 1010 	 -1,5 	  
13:20 31.01.2019 	 2,51 	 2,42 	 9 	 12 	 34 	 1010 	 -1,5 	  
13:10 31.01.2019 	 2,44 	 2,29 	 8 	 12 	 32 	 1010 	 -1,6 	  
13:00 31.01.2019 	 2,37 	 2,24 	 8 	 12 	 35 	 1010 	 -1,6 	  
12:50 31.01.2019 	 2,3 	 2,24 	 9 	 13 	 33 	 1010 	 -1,7 	  
12:40 31.01.2019 	 2,22 	 2,1 	 8 	 11 	 35 	 1010 	 -1,7 	  
12:30 31.01.2019 	 2,14 	 2,12 	 8 	 12 	 37 	 1010 	 -1,6 	  
12:20 31.01.2019 	 2,07 	 1,96 	 8 	 12 	 35 	 1009 	 -1,8 	  
12:10 31.01.2019 	 1,99 	 1,91 	 7 	 11 	 31 	 1009 	 -2 	  
12:00 31.01.2019 	 1,92 	 1,8 	 7 	 11 	 41 	 1009 	 -1,9 	  
11:50 31.01.2019 	 1,85 	 1,79 	 8 	 11 	 38 	 1009 	 -1,8 	  
11:40 31.01.2019 	 1,78 	 1,74 	 8 	 12 	 29 	 1009 	 -1,8 	  
11:30 31.01.2019 	 1,72 	 1,66 	 8 	 12 	 27 	 1009 	 -1,9 	  
11:20 31.01.2019 	 1,66 	 1,62 	 8 	 12 	 33 	 1009 	 -2 	  
11:10 31.01.2019 	 1,6 	 1,58 	 8 	 11 	 28 	 1009 	 -2 	  
11:00 31.01.2019 	 1,55 	 1,5 	 8 	 12 	 25 	 1009 	 -1,9 	  
10:50 31.01.2019 	 1,5 	 1,51 	 9 	 12 	 22 	 1009 	 -2,1 	  
10:40 31.01.2019 	 1,46 	 1,38 	 9 	 12 	 22 	 1009 	 -2,2 	  
10:30 31.01.2019 	 1,43 	 1,41 	 8 	 12 	 24 	 1009 	 -2,2 	  
10:20 31.01.2019 	 1,4 	 1,29 	 7 	 11 	 26 	 1009 	 -2,2 	  
10:10 31.01.2019 	 1,37 	 1,35 	 8 	 13 	 25 	 1009 	 -2,1 	  
10:00 31.01.2019 	 1,36 	 1,31 	 8 	 11 	 21 	 1008 	 -2,3 	  
09:50 31.01.2019 	 1,35 	 1,28 	 8 	 12 	 21 	 1008 	 -2,3 	  
09:40 31.01.2019 	 1,34 	 1,33 	 9 	 13 	 20 	 1008 	 -2,2 	  
09:30 31.01.2019 	 1,35 	 1,31 	 9 	 12 	 19 	 1008 	 -2,5 	  
09:20 31.01.2019 	 1,36 	 1,28 	 10 	 13 	 16 	 1008 	 -2,1 	  
09:10 31.01.2019 	 1,37 	 1,26 	 9 	 13 	 19 	 1008 	 -2,3 	  
09:00 31.01.2019 	 1,4 	 1,38 	 9 	 12 	 22 	 1008 	 -2,4 	  
08:50 31.01.2019 	 1,43 	 1,34 	 8 	 11 	 30 	 1008 	 -2,5 	  
08:40 31.01.2019 	 1,46 	 1,46 	 8 	 12 	 29 	 1007 	 -2,7 	  
08:30 31.01.2019 	 1,51 	 1,37 	 8 	 12 	 28 	 1007 	 -2,5 	  
08:20 31.01.2019 	 1,55 	 1,56 	 9 	 13 	 32 	 1007 	 -2,1 	  
08:10 31.01.2019 	 1,61 	 1,53 	 8 	 12 	 35 	 1007 	 -2,4 	  
08:00 31.01.2019 	 1,66 	 1,58 	 7 	 11 	 30 	 1007 	 -2,8 	  
07:50 31.01.2019 	 1,73 	 1,68 	 7 	 11 	 28 	 1007 	 -2,6 	  
07:40 31.01.2019 	 1,79 	 1,71 	 8 	 11 	 26 	 1007 	 -2,7 	  
07:30 31.01.2019 	 1,86 	 1,82 	 8 	 12 	 31 	 1007 	 -2,6 	  
07:20 31.01.2019 	 1,94 	 1,85 	 8 	 11 	 31 	 1007 	 -2,9 	  
07:10 31.01.2019 	 2,01 	 1,97 	 8 	 12 	 33 	 1007 	 -2,6 	  
07:00 31.01.2019 	 2,09 	 1,95 	 9 	 12 	 33 	 1007 	 -2,6 	  
06:50 31.01.2019 	 2,17 	 2,06 	 8 	 11 	 36 	 1007 	 -2,8 	  
06:40 31.01.2019 	 2,25 	 2,16 	 8 	 11 	 40 	 1007 	 -2,7 	  
06:30 31.01.2019 	 2,32 	 2,15 	 8 	 11 	 37 	 1007 	 -2,8 	  
06:20 31.01.2019 	 2,4 	 2,33 	 8 	 11 	 38 	 1007 	 -2,8 	  
06:10 31.01.2019 	 2,48 	 2,34 	 7 	 10 	 35 	 1007 	 -2,8 	  
06:00 31.01.2019 	 2,56 	 2,47 	 7 	 11 	 36 	 1007 	 -2,8 	  
05:50 31.01.2019 	 2,63 	 2,5 	 8 	 10 	 33 	 1006 	 -3,2 	  
05:40 31.01.2019 	 2,7 	 2,53 	 7 	 11 	 35 	 1006 	 -3,1 	  
05:30 31.01.2019 	 2,77 	 2,66 	 7 	 10 	 35 	 1006 	 -2,9 	  
05:20 31.01.2019 	 2,83 	 2,7 	 7 	 10 	 33 	 1006 	 -3,1 	  
05:10 31.01.2019 	 2,9 	 2,73 	 8 	 11 	 37 	 1006 	 -2,8 	  
05:00 31.01.2019 	 2,95 	 2,8 	 8 	 11 	 38 	 1006 	 -2,8 	  
04:50 31.01.2019 	 3,01 	 2,86 	 7 	 10 	 37 	 1006 	 -2,9 	  
04:40 31.01.2019 	 3,05 	 2,88 	 8 	 13 	 35 	 1006 	 -3,1 	  
04:30 31.01.2019 	 3,1 	 2,98 	 8 	 11 	 32 	 1006 	 -2,9 	  
04:20 31.01.2019 	 3,14 	 2,96 	 8 	 10 	 34 	 1006 	 -2,8 	  
04:10 31.01.2019 	 3,17 	 2,99 	 8 	 11 	 41 	 1006 	 -2,6 	  
04:00 31.01.2019 	 3,2 	 3,07 	 7 	 12 	 37 	 1006 	 -2,4 	  
03:50 31.01.2019 	 3,22 	 3,02 	 7 	 12 	 41 	 1006 	 -2,6 	  
03:40 31.01.2019 	 3,24 	 3,15 	 7 	 10 	 37 	 1006 	 -2,6 	  
03:30 31.01.2019 	 3,25 	 3,1 	 6 	 10 	 30 	 1006 	 -3 	  
03:20 31.01.2019 	 3,25 	 3,1 	 6 	 8 	 39 	 1006 	 -2,8 	  
03:10 31.01.2019 	 3,25 	 3,1 	 6 	 9 	 45 	 1006 	 -2,7 	  
