 Timabil 	 Flodatafla (m)	Sjavarhaed (m)	Vindur (m/s)	Hvida (m/s)	Vindatt (deg)	Loftthrystingur (hpa)	Lofthiti (degC)	
00:00 01.02.2019 	 0,68 	 0,54 	 4 	 5 	 14 	 1016 	 -6,3 	  
23:50 31.01.2019 	 0,7 	 0,6 	 4 	 6 	 14 	 1016 	 -6,4 	  
23:40 31.01.2019 	 0,73 	 0,62 	 4 	 6 	 14 	 1017 	 -6,5 	  
23:30 31.01.2019 	 0,76 	 0,63 	 5 	 6 	 13 	 1017 	 -6,4 	  
23:20 31.01.2019 	 0,79 	 0,66 	 4 	 7 	 18 	 1016 	 -6,2 	  
23:10 31.01.2019 	 0,82 	 0,69 	 5 	 8 	 14 	 1016 	 -6,3 	  
23:00 31.01.2019 	 0,85 	 0,7 	 6 	 8 	 12 	 1016 	 -6 	  
22:50 31.01.2019 	 0,88 	 0,71 	 7 	 10 	 10 	 1016 	 -6,3 	  
22:40 31.01.2019 	 0,91 	 0,74 	 7 	 10 	 359 	 1016 	 -5,9 	  
22:30 31.01.2019 	 0,94 	 0,76 	 7 	 11 	 357 	 1016 	 -6 	  
22:20 31.01.2019 	 0,97 	 0,8 	 7 	 10 	 5 	 1016 	 -5,7 	  
22:10 31.01.2019 	 1 	 0,81 	 6 	 10 	 2 	 1016 	 -5,7 	  
22:00 31.01.2019 	 1,02 	 0,83 	 7 	 11 	 5 	 1016 	 -5,7 	  
21:50 31.01.2019 	 1,05 	 0,83 	 7 	 10 	 4 	 1016 	 -5,5 	  
21:40 31.01.2019 	 1,07 	 0,84 	 7 	 11 	 1 	 1016 	 -5,6 	  
21:30 31.01.2019 	 1,1 	 0,85 	 7 	 11 	 2 	 1016 	 -5,7 	  
21:20 31.01.2019 	 1,12 	 0,86 	 8 	 11 	 354 	 1016 	 -5,3 	  
21:10 31.01.2019 	 1,14 	 0,91 	 8 	 12 	 360 	 1016 	 -5,4 	  
21:00 31.01.2019 	 1,15 	 0,92 	 7 	 9 	 2 	 1016 	 -5,4 	  
20:50 31.01.2019 	 1,17 	 0,94 	 7 	 9 	 358 	 1016 	 -5,4 	  
20:40 31.01.2019 	 1,18 	 0,96 	 8 	 12 	 356 	 1016 	 -5,2 	  
20:30 31.01.2019 	 1,19 	 0,97 	 8 	 10 	 1 	 1016 	 -5,3 	  
20:20 31.01.2019 	 1,2 	 0,99 	 7 	 11 	 360 	 1016 	 -5,2 	  
20:10 31.01.2019 	 1,21 	 1 	 7 	 10 	 360 	 1016 	 -5,1 	  
20:00 31.01.2019 	 1,22 	 1,03 	 7 	 11 	 359 	 1016 	 -5,2 	  
19:50 31.01.2019 	 1,22 	 1,01 	 7 	 10 	 3 	 1016 	 -5,2 	  
19:40 31.01.2019 	 1,22 	 1,03 	 7 	 11 	 5 	 1016 	 -5,2 	  
19:30 31.01.2019 	 1,22 	 1 	 7 	 10 	 5 	 1015 	 -5,2 	  
19:20 31.01.2019 	 1,22 	 1 	 8 	 11 	 4 	 1015 	 -5,1 	  
19:10 31.01.2019 	 1,21 	 0,99 	 8 	 11 	 3 	 1015 	 -4,9 	  
19:00 31.01.2019 	 1,2 	 0,99 	 8 	 11 	 6 	 1015 	 -5 	  
18:50 31.01.2019 	 1,19 	 0,97 	 8 	 11 	 2 	 1015 	 -5 	  
18:40 31.01.2019 	 1,18 	 0,94 	 8 	 10 	 2 	 1015 	 -5 	  
18:30 31.01.2019 	 1,16 	 0,91 	 8 	 11 	 360 	 1015 	 -5 	  
18:20 31.01.2019 	 1,15 	 0,92 	 8 	 11 	 359 	 1015 	 -4,7 	  
18:10 31.01.2019 	 1,13 	 0,89 	 8 	 11 	 357 	 1015 	 -4,9 	  
18:00 31.01.2019 	 1,11 	 0,86 	 8 	 12 	 354 	 1015 	 -4,9 	  
17:50 31.01.2019 	 1,08 	 0,83 	 9 	 13 	 355 	 1014 	 -4,9 	  
17:40 31.01.2019 	 1,06 	 0,8 	 8 	 12 	 359 	 1014 	 -4,9 	  
17:30 31.01.2019 	 1,03 	 0,77 	 9 	 12 	 2 	 1014 	 -4,8 	  
17:20 31.01.2019 	 1 	 0,75 	 8 	 12 	 359 	 1014 	 -4,9 	  
17:10 31.01.2019 	 0,98 	 0,73 	 9 	 13 	 5 	 1014 	 -4,8 	  
17:00 31.01.2019 	 0,95 	 0,71 	 9 	 12 	 7 	 1013 	 -5,2 	  
16:50 31.01.2019 	 0,92 	 0,68 	 10 	 13 	 8 	 1013 	 -5,1 	  
16:40 31.01.2019 	 0,89 	 0,67 	 9 	 14 	 5 	 1013 	 -4,9 	  
16:30 31.01.2019 	 0,86 	 0,65 	 9 	 13 	 4 	 1013 	 -4,9 	  
16:20 31.01.2019 	 0,83 	 0,63 	 9 	 13 	 2 	 1013 	 -4,9 	  
16:10 31.01.2019 	 0,8 	 0,6 	 9 	 13 	 3 	 1013 	 -4,9 	  
16:00 31.01.2019 	 0,77 	 0,59 	 9 	 13 	 1 	 1013 	 -4,8 	  
15:50 31.01.2019 	 0,74 	 0,56 	 8 	 13 	 359 	 1013 	 -4,7 	  
15:40 31.01.2019 	 0,71 	 0,55 	 9 	 12 	 0 	 1013 	 -4,7 	  
15:30 31.01.2019 	 0,69 	 0,53 	 9 	 13 	 2 	 1013 	 -4,7 	  
15:20 31.01.2019 	 0,66 	 0,51 	 10 	 14 	 3 	 1013 	 -4,6 	  
15:10 31.01.2019 	 0,64 	 0,47 	 10 	 15 	 360 	 1013 	 -4,5 	  
15:00 31.01.2019 	 0,62 	 0,45 	 10 	 16 	 1 	 1012 	 -4,4 	  
14:50 31.01.2019 	 0,6 	 0,41 	 11 	 16 	 3 	 1012 	 -4,2 	  
14:40 31.01.2019 	 0,58 	 0,39 	 10 	 15 	 3 	 1012 	 -4,2 	  
14:30 31.01.2019 	 0,57 	 0,38 	 11 	 15 	 7 	 1012 	 -4,1 	  
14:20 31.01.2019 	 0,56 	 0,37 	 10 	 15 	 7 	 1012 	 -4,1 	  
14:10 31.01.2019 	 0,55 	 0,34 	 11 	 15 	 8 	 1012 	 -4 	  
14:00 31.01.2019 	 0,54 	 0,32 	 9 	 14 	 7 	 1012 	 -3,8 	  
13:50 31.01.2019 	 0,54 	 0,27 	 10 	 15 	 11 	 1012 	 -3,6 	  
13:40 31.01.2019 	 0,54 	 0,27 	 10 	 15 	 10 	 1012 	 -3,5 	  
13:30 31.01.2019 	 0,54 	 0,25 	 10 	 15 	 10 	 1012 	 -3,5 	  
13:20 31.01.2019 	 0,54 	 0,26 	 11 	 16 	 17 	 1011 	 -3,4 	  
13:10 31.01.2019 	 0,55 	 0,27 	 11 	 15 	 27 	 1011 	 -3,3 	  
13:00 31.01.2019 	 0,56 	 0,29 	 10 	 15 	 22 	 1011 	 -3,2 	  
12:50 31.01.2019 	 0,57 	 0,3 	 11 	 16 	 22 	 1011 	 -3,3 	  
12:40 31.01.2019 	 0,58 	 0,32 	 11 	 15 	 21 	 1011 	 -3,2 	  
12:30 31.01.2019 	 0,6 	 0,34 	 11 	 15 	 20 	 1011 	 -3,2 	  
12:20 31.01.2019 	 0,62 	 0,36 	 9 	 14 	 12 	 1011 	 -3 	  
12:10 31.01.2019 	 0,64 	 0,38 	 9 	 14 	 3 	 1011 	 -3 	  
12:00 31.01.2019 	 0,66 	 0,39 	 9 	 13 	 5 	 1011 	 -3,2 	  
11:50 31.01.2019 	 0,69 	 0,45 	 9 	 13 	 359 	 1011 	 -3,2 	  
11:40 31.01.2019 	 0,72 	 0,49 	 9 	 13 	 1 	 1011 	 -3,2 	  
11:30 31.01.2019 	 0,74 	 0,52 	 9 	 13 	 2 	 1011 	 -3,3 	  
11:20 31.01.2019 	 0,78 	 0,55 	 9 	 14 	 2 	 1011 	 -3,5 	  
11:10 31.01.2019 	 0,8 	 0,58 	 9 	 12 	 6 	 1011 	 -3,5 	  
11:00 31.01.2019 	 0,84 	 0,61 	 9 	 13 	 9 	 1011 	 -3,5 	  
10:50 31.01.2019 	 0,87 	 0,66 	 8 	 10 	 12 	 1011 	 -3,3 	  
10:40 31.01.2019 	 0,9 	 0,69 	 8 	 12 	 7 	 1011 	 -3,5 	  
10:30 31.01.2019 	 0,93 	 0,72 	 8 	 12 	 11 	 1011 	 -3,4 	  
10:20 31.01.2019 	 0,96 	 0,76 	 8 	 13 	 17 	 1010 	 -3,2 	  
10:10 31.01.2019 	 0,99 	 0,8 	 8 	 11 	 14 	 1010 	 -3,2 	  
10:00 31.01.2019 	 1,02 	 0,83 	 9 	 12 	 17 	 1010 	 -3,4 	  
09:50 31.01.2019 	 1,05 	 0,84 	 10 	 15 	 17 	 1010 	 -3,7 	  
09:40 31.01.2019 	 1,08 	 0,88 	 10 	 13 	 17 	 1010 	 -3,5 	  
09:30 31.01.2019 	 1,11 	 0,9 	 10 	 15 	 16 	 1010 	 -3,2 	  
09:20 31.01.2019 	 1,13 	 0,93 	 10 	 13 	 10 	 1010 	 -3,5 	  
09:10 31.01.2019 	 1,16 	 0,95 	 9 	 14 	 8 	 1010 	 -3,5 	  
09:00 31.01.2019 	 1,18 	 0,98 	 8 	 12 	 8 	 1010 	 -3,4 	  
08:50 31.01.2019 	 1,2 	 1,02 	 9 	 12 	 10 	 1010 	 -3,5 	  
08:40 31.01.2019 	 1,22 	 1,05 	 9 	 13 	 11 	 1010 	 -3,6 	  
08:30 31.01.2019 	 1,24 	 1,08 	 10 	 14 	 17 	 1009 	 -3,6 	  
08:20 31.01.2019 	 1,26 	 1,11 	 11 	 15 	 14 	 1009 	 -3,5 	  
08:10 31.01.2019 	 1,27 	 1,14 	 10 	 15 	 13 	 1009 	 -3,4 	  
08:00 31.01.2019 	 1,28 	 1,15 	 9 	 13 	 11 	 1009 	 -3,5 	  
07:50 31.01.2019 	 1,29 	 1,19 	 9 	 14 	 13 	 1009 	 -3,5 	  
07:40 31.01.2019 	 1,3 	 1,2 	 8 	 12 	 9 	 1009 	 -3,3 	  
07:30 31.01.2019 	 1,3 	 1,18 	 8 	 12 	 16 	 1009 	 -3,5 	  
07:20 31.01.2019 	 1,3 	 1,2 	 7 	 12 	 10 	 1009 	 -3,3 	  
07:10 31.01.2019 	 1,3 	 1,2 	 8 	 11 	 11 	 1009 	 -3,3 	  
07:00 31.01.2019 	 1,3 	 1,17 	 9 	 12 	 17 	 1009 	 -3,1 	  
06:50 31.01.2019 	 1,29 	 1,16 	 8 	 14 	 28 	 1009 	 -3,4 	  
06:40 31.01.2019 	 1,28 	 1,17 	 8 	 12 	 12 	 1009 	 -3,4 	  
06:30 31.01.2019 	 1,28 	 1,13 	 7 	 11 	 6 	 1009 	 -3,5 	  
