 Timabil 	 Flodatafla (m)	Sjavarhaed (m)	Vindur (m/s)	Hvida (m/s)	Vindatt (deg)	Lofthiti (degC)	
00:00 01.02.2019 	 1,71 	 1,88 	 2 	 9 	 128 	 -3 	  
23:50 31.01.2019 	 1,64 	 1,81 	 2 	 3 	 144 	 -3,8 	  
23:40 31.01.2019 	 1,58 	 1,75 	 3 	 5 	 110 	 -3 	  
23:30 31.01.2019 	 1,52 	 1,68 	 4 	 6 	 81 	 -2,2 	  
23:20 31.01.2019 	 1,47 	 1,64 	 4 	 8 	 71 	 -2,5 	  
23:10 31.01.2019 	 1,42 	 1,58 	 3 	 5 	 121 	 -3,4 	  
23:00 31.01.2019 	 1,38 	 1,54 	 5 	 9 	 71 	 -2,4 	  
22:50 31.01.2019 	 1,35 	 1,51 	 5 	 8 	 82 	 -2,5 	  
22:40 31.01.2019 	 1,32 	 1,42 	 7 	 10 	 48 	 -2,3 	  
22:30 31.01.2019 	 1,3 	 1,36 	 8 	 11 	 39 	 -2,4 	  
22:20 31.01.2019 	 1,29 	 1,36 	 9 	 13 	 33 	 -2,3 	  
22:10 31.01.2019 	 1,28 	 1,34 	 7 	 11 	 35 	 -2,3 	  
22:00 31.01.2019 	 1,28 	 1,34 	 4 	 8 	 26 	 -2,1 	  
21:50 31.01.2019 	 1,29 	 1,38 	 1 	 2 	 13 	 -2,4 	  
21:40 31.01.2019 	 1,3 	 1,36 	 3 	 5 	 91 	 -2,3 	  
21:30 31.01.2019 	 1,32 	 1,41 	 1 	 2 	 153 	 -3,2 	  
21:20 31.01.2019 	 1,35 	 1,43 	 2 	 3 	 141 	 -3,1 	  
21:10 31.01.2019 	 1,38 	 1,46 	 4 	 5 	 122 	 -2,5 	  
21:00 31.01.2019 	 1,42 	 1,52 	 6 	 10 	 57 	 -2,1 	  
20:50 31.01.2019 	 1,47 	 1,62 	 8 	 11 	 31 	 -1,8 	  
20:40 31.01.2019 	 1,52 	 1,68 	 7 	 11 	 42 	 -2 	  
20:30 31.01.2019 	 1,57 	 1,76 	 6 	 10 	 50 	 -1,5 	  
