 Timabil 	 Flodatafla (m)	Sjavarhaed (m)	Vindur (m/s)	Hvida (m/s)	Vindatt (deg)	Loftthrystingur (hpa)	Lofthiti (degC)	
00:00 01.02.2019 	 1,46 	 1,3 	 6 	 8 	 4 	 1013 	 -5,6 	  
23:50 31.01.2019 	 1,4 	 1,19 	 5 	 8 	 12 	 1013 	 -5,7 	  
23:40 31.01.2019 	 1,34 	 1,16 	 4 	 7 	 14 	 1013 	 -5,9 	  
23:30 31.01.2019 	 1,28 	 1,1 	 5 	 6 	 8 	 1013 	 -5,5 	  
23:20 31.01.2019 	 1,23 	 1,03 	 4 	 5 	 11 	 1013 	 -5,3 	  
23:10 31.01.2019 	 1,19 	 0,94 	 4 	 5 	 7 	 1013 	 -6 	  
23:00 31.01.2019 	 1,14 	 0,96 	 3 	 5 	 9 	 1013 	 -5,9 	  
22:50 31.01.2019 	 1,1 	 0,94 	 4 	 5 	 13 	 1013 	 -5,7 	  
22:40 31.01.2019 	 1,07 	 0,84 	 4 	 5 	 11 	 1013 	 -5,8 	  
22:30 31.01.2019 	 1,04 	 0,78 	 4 	 6 	 15 	 1012 	 -6,4 	  
22:20 31.01.2019 	 1,01 	 0,8 	 5 	 7 	 34 	 1012 	 -4,7 	  
22:10 31.01.2019 	 0,99 	 0,71 	 6 	 8 	 36 	 1012 	 -4,5 	  
22:00 31.01.2019 	 0,98 	 0,76 	 5 	 8 	 36 	 1012 	 -4 	  
21:50 31.01.2019 	 0,97 	 0,74 	 4 	 6 	 19 	 1012 	 -6 	  
21:40 31.01.2019 	 0,96 	 0,71 	 5 	 6 	 1 	 1012 	 -6,5 	  
21:30 31.01.2019 	 0,96 	 0,77 	 4 	 7 	 15 	 1012 	 -6,5 	  
21:20 31.01.2019 	 0,97 	 0,66 	 5 	 6 	 25 	 1012 	 -6 	  
21:10 31.01.2019 	 0,98 	 0,71 	 5 	 8 	 39 	 1012 	 -4,9 	  
21:00 31.01.2019 	 0,99 	 0,71 	 5 	 7 	 38 	 1012 	 -4,6 	  
20:50 31.01.2019 	 1,01 	 0,74 	 4 	 6 	 36 	 1012 	 -5 	  
20:40 31.01.2019 	 1,04 	 0,79 	 4 	 6 	 51 	 1012 	 -4,7 	  
20:30 31.01.2019 	 1,07 	 0,81 	 2 	 4 	 47 	 1012 	 -5,2 	  
20:20 31.01.2019 	 1,1 	 0,88 	 4 	 5 	 63 	 1012 	 -5,2 	  
20:10 31.01.2019 	 1,14 	 0,85 	 4 	 5 	 48 	 1011 	 -5,3 	  
20:00 31.01.2019 	 1,18 	 0,87 	 4 	 5 	 37 	 1011 	 -5,5 	  
19:50 31.01.2019 	 1,22 	 1,01 	 5 	 8 	 46 	 1011 	 -5,3 	  
