 Timabil 	 Flodatafla (m)	Vindur (m/s)	Hvida (m/s)	Vindatt (deg)	
00:00 01.02.2019 	 1,71 	 0 	 1 	 250 	  
23:50 31.01.2019 	 1,64 	 1 	 3 	 74 	  
23:40 31.01.2019 	 1,58 	 2 	 3 	 79 	  
23:30 31.01.2019 	 1,52 	 2 	 4 	 72 	  
23:20 31.01.2019 	 1,47 	 3 	 5 	 65 	  
23:10 31.01.2019 	 1,42 	 3 	 4 	 76 	  
23:00 31.01.2019 	 1,38 	 1 	 2 	 144 	  
22:50 31.01.2019 	 1,35 	 1 	 3 	 120 	  
22:40 31.01.2019 	 1,32 	 2 	 4 	 79 	  
22:30 31.01.2019 	 1,3 	 2 	 4 	 75 	  
22:20 31.01.2019 	 1,29 	 2 	 3 	 79 	  
22:10 31.01.2019 	 1,28 	 1 	 2 	 66 	  
22:00 31.01.2019 	 1,28 	 2 	 4 	 49 	  
21:50 31.01.2019 	 1,29 	 4 	 5 	 58 	  
21:40 31.01.2019 	 1,3 	 4 	 6 	 66 	  
21:30 31.01.2019 	 1,32 	 4 	 6 	 65 	  
21:20 31.01.2019 	 1,35 	 3 	 5 	 70 	  
21:10 31.01.2019 	 1,38 	 1 	 4 	 149 	  
21:00 31.01.2019 	 1,42 	 2 	 3 	 153 	  
20:50 31.01.2019 	 1,47 	 3 	 5 	 69 	  
20:40 31.01.2019 	 1,52 	 3 	 5 	 55 	  
20:30 31.01.2019 	 1,57 	 2 	 4 	 57 	  
20:20 31.01.2019 	 1,63 	 2 	 4 	 49 	  
20:10 31.01.2019 	 1,7 	 4 	 6 	 71 	  
20:00 31.01.2019 	 1,76 	 5 	 7 	 63 	  
19:50 31.01.2019 	 1,83 	 6 	 8 	 56 	  
19:40 31.01.2019 	 1,91 	 5 	 7 	 58 	  
19:30 31.01.2019 	 1,98 	 5 	 7 	 57 	  
19:20 31.01.2019 	 2,05 	 5 	 6 	 57 	  
19:10 31.01.2019 	 2,13 	 5 	 9 	 43 	  
19:00 31.01.2019 	 2,2 	 4 	 7 	 49 	  
18:50 31.01.2019 	 2,28 	 6 	 9 	 44 	  
18:40 31.01.2019 	 2,35 	 6 	 8 	 42 	  
18:30 31.01.2019 	 2,42 	 6 	 9 	 46 	  
18:20 31.01.2019 	 2,49 	 5 	 8 	 45 	  
18:10 31.01.2019 	 2,56 	 5 	 7 	 45 	  
18:00 31.01.2019 	 2,62 	 4 	 6 	 48 	  
17:50 31.01.2019 	 2,68 	 4 	 6 	 67 	  
17:40 31.01.2019 	 2,74 	 4 	 6 	 70 	  
17:30 31.01.2019 	 2,79 	 4 	 6 	 38 	  
17:20 31.01.2019 	 2,84 	 1 	 4 	 315 	  
17:10 31.01.2019 	 2,88 	 1 	 2 	 354 	  
17:00 31.01.2019 	 2,92 	 1 	 2 	 233 	  
16:50 31.01.2019 	 2,96 	 2 	 4 	 212 	  
16:40 31.01.2019 	 2,98 	 3 	 4 	 203 	  
16:30 31.01.2019 	 3,01 	 3 	 4 	 202 	  
16:20 31.01.2019 	 3,03 	 3 	 4 	 201 	  
16:10 31.01.2019 	 3,04 	 3 	 4 	 191 	  
16:00 31.01.2019 	 3,05 	 3 	 3 	 156 	  
15:50 31.01.2019 	 3,05 	 1 	 3 	 212 	  
15:40 31.01.2019 	 3,05 	 1 	 2 	 214 	  
15:30 31.01.2019 	 3,04 	 1 	 2 	 243 	  
15:20 31.01.2019 	 3,03 	 1 	 2 	 210 	  
15:10 31.01.2019 	 3,01 	 2 	 3 	 220 	  
15:00 31.01.2019 	 2,98 	 2 	 3 	 224 	  
14:50 31.01.2019 	 2,95 	 1 	 3 	 201 	  
14:40 31.01.2019 	 2,91 	 2 	 3 	 166 	  
14:30 31.01.2019 	 2,87 	 1 	 2 	 180 	  
14:20 31.01.2019 	 2,82 	 2 	 3 	 202 	  
14:10 31.01.2019 	 2,77 	 2 	 3 	 217 	  
14:00 31.01.2019 	 2,71 	 2 	 3 	 212 	  
13:50 31.01.2019 	 2,65 	 2 	 4 	 202 	  
13:40 31.01.2019 	 2,58 	 2 	 4 	 187 	  
13:30 31.01.2019 	 2,51 	 2 	 4 	 205 	  
13:20 31.01.2019 	 2,44 	 3 	 4 	 188 	  
13:10 31.01.2019 	 2,37 	 3 	 4 	 181 	  
13:00 31.01.2019 	 2,3 	 3 	 4 	 195 	  
12:50 31.01.2019 	 2,22 	 1 	 2 	 208 	  
12:40 31.01.2019 	 2,14 	 2 	 3 	 212 	  
12:30 31.01.2019 	 2,07 	 2 	 3 	 212 	  
12:20 31.01.2019 	 1,99 	 2 	 3 	 195 	  
12:10 31.01.2019 	 1,92 	 3 	 4 	 184 	  
12:00 31.01.2019 	 1,85 	 2 	 3 	 201 	  
11:50 31.01.2019 	 1,78 	 1 	 3 	 175 	  
11:40 31.01.2019 	 1,72 	 1 	 4 	 18 	  
11:30 31.01.2019 	 1,66 	 1 	 3 	 359 	  
11:20 31.01.2019 	 1,6 	 2 	 4 	 352 	  
11:10 31.01.2019 	 1,55 	 2 	 5 	 357 	  
11:00 31.01.2019 	 1,5 	 1 	 4 	 272 	  
10:50 31.01.2019 	 1,46 	 1 	 3 	 249 	  
10:40 31.01.2019 	 1,43 	 1 	 2 	 188 	  
10:30 31.01.2019 	 1,4 	 2 	 2 	 178 	  
10:20 31.01.2019 	 1,37 	 1 	 3 	 135 	  
10:10 31.01.2019 	 1,36 	 2 	 7 	 83 	  
10:00 31.01.2019 	 1,35 	 4 	 9 	 12 	  
09:50 31.01.2019 	 1,34 	 5 	 7 	 26 	  
09:40 31.01.2019 	 1,35 	 5 	 7 	 45 	  
09:30 31.01.2019 	 1,36 	 4 	 5 	 68 	  
09:20 31.01.2019 	 1,37 	 4 	 6 	 73 	  
09:10 31.01.2019 	 1,4 	 5 	 7 	 63 	  
09:00 31.01.2019 	 1,43 	 3 	 7 	 110 	  
08:50 31.01.2019 	 1,46 	 2 	 4 	 136 	  
08:40 31.01.2019 	 1,51 	 1 	 2 	 112 	  
08:30 31.01.2019 	 1,55 	 1 	 2 	 150 	  
08:20 31.01.2019 	 1,61 	 1 	 2 	 149 	  
08:10 31.01.2019 	 1,66 	 2 	 4 	 131 	  
08:00 31.01.2019 	 1,73 	 2 	 4 	 157 	  
07:50 31.01.2019 	 1,79 	 2 	 4 	 112 	  
07:40 31.01.2019 	 1,86 	 4 	 5 	 130 	  
07:30 31.01.2019 	 1,94 	 3 	 5 	 149 	  
07:20 31.01.2019 	 2,01 	 4 	 5 	 137 	  
07:10 31.01.2019 	 2,09 	 3 	 5 	 157 	  
07:00 31.01.2019 	 2,17 	 2 	 4 	 145 	  
06:50 31.01.2019 	 2,25 	 1 	 3 	 209 	  
06:40 31.01.2019 	 2,32 	 2 	 3 	 180 	  
06:30 31.01.2019 	 2,4 	 2 	 2 	 180 	  
06:20 31.01.2019 	 2,48 	 1 	 3 	 171 	  
06:10 31.01.2019 	 2,56 	 2 	 5 	 166 	  
06:00 31.01.2019 	 2,63 	 1 	 2 	 190 	  
05:50 31.01.2019 	 2,7 	 1 	 2 	 208 	  
05:40 31.01.2019 	 2,77 	 1 	 2 	 197 	  
05:30 31.01.2019 	 2,83 	 2 	 3 	 190 	  
05:20 31.01.2019 	 2,9 	 2 	 3 	 197 	  
05:10 31.01.2019 	 2,95 	 2 	 3 	 191 	  
05:00 31.01.2019 	 3,01 	 2 	 2 	 188 	  
04:50 31.01.2019 	 3,05 	 2 	 3 	 196 	  
04:40 31.01.2019 	 3,1 	 2 	 3 	 196 	  
04:30 31.01.2019 	 3,14 	 3 	 4 	 193 	  
04:20 31.01.2019 	 3,17 	 2 	 3 	 202 	  
04:10 31.01.2019 	 3,2 	 2 	 4 	 196 	  
04:00 31.01.2019 	 3,22 	 1 	 2 	 195 	  
03:50 31.01.2019 	 3,24 	 1 	 2 	 198 	  
03:40 31.01.2019 	 3,25 	 1 	 2 	 169 	  
03:30 31.01.2019 	 3,25 	 1 	 2 	 157 	  
03:20 31.01.2019 	 3,25 	 1 	 3 	 180 	  
03:10 31.01.2019 	 3,24 	 1 	 2 	 180 	  
03:00 31.01.2019 	 3,23 	 2 	 3 	 165 	  
02:50 31.01.2019 	 3,21 	 2 	 3 	 179 	  
02:40 31.01.2019 	 3,19 	 2 	 2 	 176 	  
02:30 31.01.2019 	 3,16 	 1 	 2 	 180 	  
02:20 31.01.2019 	 3,12 	 1 	 2 	 182 	  
02:10 31.01.2019 	 3,08 	 1 	 2 	 174 	  
02:00 31.01.2019 	 3,03 	 1 	 2 	 150 	  
01:50 31.01.2019 	 2,98 	 1 	 2 	 157 	  
01:40 31.01.2019 	 2,93 	 1 	 2 	 161 	  
01:30 31.01.2019 	 2,86 	 1 	 2 	 177 	  
01:20 31.01.2019 	 2,8 	 1 	 2 	 178 	  
01:10 31.01.2019 	 2,73 	 1 	 2 	 183 	  
01:00 31.01.2019 	 2,66 	 1 	 1 	 170 	  
00:50 31.01.2019 	 2,59 	 1 	 2 	 170 	  
00:40 31.01.2019 	 2,51 	 2 	 2 	 173 	  
00:30 31.01.2019 	 2,44 	 1 	 2 	 172 	  
00:20 31.01.2019 	 2,36 	 1 	 2 	 184 	  
00:10 31.01.2019 	 2,28 	 1 	 1 	 156 	  
00:00 31.01.2019 	 2,2 	 1 	 1 	 168 	  
23:50 30.01.2019 	 2,13 	 1 	 3 	 170 	  
23:40 30.01.2019 	 2,05 	 2 	 3 	 180 	  
23:30 30.01.2019 	 1,98 	 2 	 2 	 172 	  
23:20 30.01.2019 	 1,91 	 2 	 3 	 180 	  
23:10 30.01.2019 	 1,84 	 2 	 3 	 175 	  
23:00 30.01.2019 	 1,77 	 3 	 4 	 182 	  
22:50 30.01.2019 	 1,71 	 2 	 4 	 178 	  
22:40 30.01.2019 	 1,65 	 3 	 4 	 184 	  
22:30 30.01.2019 	 1,6 	 2 	 3 	 190 	  
22:20 30.01.2019 	 1,55 	 2 	 3 	 214 	  
22:10 30.01.2019 	 1,51 	 2 	 3 	 188 	  
22:00 30.01.2019 	 1,47 	 1 	 2 	 191 	  
21:50 30.01.2019 	 1,44 	 1 	 3 	 203 	  
21:40 30.01.2019 	 1,41 	 1 	 2 	 173 	  
21:30 30.01.2019 	 1,39 	 1 	 3 	 177 	  
21:20 30.01.2019 	 1,38 	 2 	 4 	 160 	  
21:10 30.01.2019 	 1,37 	 2 	 3 	 165 	  
21:00 30.01.2019 	 1,36 	 1 	 3 	 259 	  
20:50 30.01.2019 	 1,37 	 1 	 2 	 237 	  
20:40 30.01.2019 	 1,38 	 3 	 7 	 53 	  
20:30 30.01.2019 	 1,39 	 4 	 7 	 84 	  
20:20 30.01.2019 	 1,41 	 4 	 6 	 95 	  
20:10 30.01.2019 	 1,44 	 3 	 4 	 107 	  
20:00 30.01.2019 	 1,47 	 3 	 4 	 113 	  
19:50 30.01.2019 	 1,51 	 4 	 5 	 107 	  
19:40 30.01.2019 	 1,55 	 4 	 5 	 113 	  
19:30 30.01.2019 	 1,59 	 3 	 4 	 119 	  
19:20 30.01.2019 	 1,64 	 3 	 4 	 114 	  
19:10 30.01.2019 	 1,7 	 4 	 6 	 109 	  
19:00 30.01.2019 	 1,75 	 6 	 8 	 97 	  
18:50 30.01.2019 	 1,81 	 5 	 8 	 97 	  
18:40 30.01.2019 	 1,87 	 4 	 6 	 91 	  
18:30 30.01.2019 	 1,94 	 2 	 6 	 89 	  
18:20 30.01.2019 	 2 	 2 	 3 	 94 	  
18:10 30.01.2019 	 2,07 	 2 	 4 	 92 	  
18:00 30.01.2019 	 2,14 	 2 	 4 	 78 	  
17:50 30.01.2019 	 2,2 	 3 	 5 	 99 	  
17:40 30.01.2019 	 2,27 	 4 	 5 	 102 	  
17:30 30.01.2019 	 2,33 	 5 	 6 	 104 	  
17:20 30.01.2019 	 2,4 	 5 	 6 	 103 	  
17:10 30.01.2019 	 2,46 	 4 	 6 	 105 	  
17:00 30.01.2019 	 2,52 	 2 	 4 	 94 	  
16:50 30.01.2019 	 2,58 	 4 	 5 	 97 	  
16:40 30.01.2019 	 2,64 	 4 	 5 	 100 	  
16:30 30.01.2019 	 2,69 	 4 	 5 	 94 	  
16:20 30.01.2019 	 2,74 	 3 	 5 	 88 	  
16:10 30.01.2019 	 2,79 	 3 	 5 	 88 	  
16:00 30.01.2019 	 2,83 	 4 	 5 	 99 	  
15:50 30.01.2019 	 2,87 	 3 	 5 	 89 	  
15:40 30.01.2019 	 2,91 	 3 	 5 	 80 	  
15:30 30.01.2019 	 2,93 	 4 	 6 	 66 	  
15:20 30.01.2019 	 2,96 	 4 	 5 	 58 	  
15:10 30.01.2019 	 2,98 	 5 	 6 	 62 	  
15:00 30.01.2019 	 2,99 	 4 	 6 	 62 	  
14:50 30.01.2019 	 3 	 6 	 8 	 72 	  
14:40 30.01.2019 	 3,01 	 6 	 8 	 74 	  
14:30 30.01.2019 	 3,01 	 4 	 7 	 56 	  
14:20 30.01.2019 	 3 	 5 	 7 	 55 	  
14:10 30.01.2019 	 2,99 	 5 	 7 	 60 	  
14:00 30.01.2019 	 2,97 	 5 	 7 	 64 	  
13:50 30.01.2019 	 2,95 	 5 	 6 	 70 	  
13:40 30.01.2019 	 2,92 	 5 	 7 	 60 	  
13:30 30.01.2019 	 2,88 	 4 	 6 	 63 	  
13:20 30.01.2019 	 2,84 	 4 	 6 	 97 	  
13:10 30.01.2019 	 2,8 	 4 	 6 	 93 	  
13:00 30.01.2019 	 2,75 	 4 	 5 	 75 	  
12:50 30.01.2019 	 2,7 	 3 	 5 	 93 	  
12:40 30.01.2019 	 2,64 	 5 	 6 	 85 	  
12:30 30.01.2019 	 2,58 	 5 	 6 	 79 	  
12:20 30.01.2019 	 2,52 	 5 	 7 	 86 	  
12:10 30.01.2019 	 2,45 	 6 	 8 	 83 	  
12:00 30.01.2019 	 2,39 	 6 	 8 	 90 	  
11:50 30.01.2019 	 2,32 	 5 	 7 	 83 	  
11:40 30.01.2019 	 2,25 	 5 	 6 	 75 	  
11:30 30.01.2019 	 2,18 	 6 	 8 	 83 	  
11:20 30.01.2019 	 2,11 	 6 	 7 	 85 	  
11:10 30.01.2019 	 2,04 	 6 	 7 	 86 	  
11:00 30.01.2019 	 1,97 	 6 	 9 	 83 	  
10:50 30.01.2019 	 1,91 	 6 	 7 	 92 	  
10:40 30.01.2019 	 1,84 	 5 	 6 	 98 	  
10:30 30.01.2019 	 1,78 	 4 	 6 	 108 	  
10:20 30.01.2019 	 1,73 	 5 	 8 	 107 	  
10:10 30.01.2019 	 1,67 	 6 	 9 	 108 	  
10:00 30.01.2019 	 1,62 	 5 	 7 	 113 	  
09:50 30.01.2019 	 1,58 	 5 	 7 	 111 	  
09:40 30.01.2019 	 1,54 	 4 	 6 	 120 	  
09:30 30.01.2019 	 1,5 	 4 	 5 	 150 	  
09:20 30.01.2019 	 1,47 	 2 	 4 	 167 	  
09:10 30.01.2019 	 1,45 	 1 	 2 	 96 	  
09:00 30.01.2019 	 1,43 	 2 	 3 	 134 	  
08:50 30.01.2019 	 1,42 	 3 	 5 	 134 	  
08:40 30.01.2019 	 1,41 	 4 	 7 	 91 	  
08:30 30.01.2019 	 1,41 	 6 	 9 	 60 	  
08:20 30.01.2019 	 1,42 	 7 	 9 	 53 	  
08:10 30.01.2019 	 1,43 	 7 	 9 	 50 	  
08:00 30.01.2019 	 1,45 	 6 	 8 	 54 	  
07:50 30.01.2019 	 1,47 	 5 	 6 	 63 	  
07:40 30.01.2019 	 1,5 	 5 	 7 	 75 	  
07:30 30.01.2019 	 1,54 	 6 	 7 	 73 	  
07:20 30.01.2019 	 1,58 	 6 	 7 	 77 	  
07:10 30.01.2019 	 1,62 	 4 	 6 	 95 	  
07:00 30.01.2019 	 1,67 	 3 	 4 	 112 	  
06:50 30.01.2019 	 1,73 	 3 	 5 	 83 	  
06:40 30.01.2019 	 1,78 	 3 	 5 	 83 	  
06:30 30.01.2019 	 1,85 	 3 	 5 	 89 	  
06:20 30.01.2019 	 1,91 	 4 	 5 	 88 	  
06:10 30.01.2019 	 1,98 	 3 	 4 	 88 	  
06:00 30.01.2019 	 2,04 	 2 	 4 	 103 	  
05:50 30.01.2019 	 2,12 	 2 	 3 	 117 	  
05:40 30.01.2019 	 2,19 	 1 	 2 	 160 	  
05:30 30.01.2019 	 2,26 	 0 	 1 	 202 	  
05:20 30.01.2019 	 2,33 	 1 	 2 	 191 	  
05:10 30.01.2019 	 2,4 	 1 	 2 	 186 	  
05:00 30.01.2019 	 2,47 	 1 	 2 	 155 	  
04:50 30.01.2019 	 2,54 	 1 	 1 	 140 	  
04:40 30.01.2019 	 2,61 	 1 	 2 	 169 	  
