 Timabil 	 Flodatafla (m)	Sjavarhaed (m)	Vindur (m/s)	Hvida (m/s)	Vindatt (°)	Loftthrystingur (hpa)	Lofthiti (°C)	
00:00 01.02.2019 	 1,69 	 1,52 	 7 	 11 	 61 	 1015 	 -3 	  
23:50 31.01.2019 	 1,64 	 1,44 	 8 	 11 	 65 	 1016 	 -3 	  
23:40 31.01.2019 	 1,59 	 1,37 	 8 	 11 	 61 	 1016 	 -2,9 	  
23:30 31.01.2019 	 1,55 	 1,36 	 9 	 11 	 63 	 1015 	 -2,9 	  
23:20 31.01.2019 	 1,52 	 1,34 	 8 	 12 	 60 	 1015 	 -2,8 	  
23:10 31.01.2019 	 1,49 	 1,31 	 9 	 12 	 64 	 1015 	 -2,8 	  
23:00 31.01.2019 	 1,47 	 1,28 	 9 	 12 	 67 	 1015 	 -2,8 	  
22:50 31.01.2019 	 1,46 	 1,29 	 9 	 12 	 60 	 1015 	 -2,7 	  
22:40 31.01.2019 	 1,45 	 1,29 	 9 	 12 	 74 	 1015 	 -2,7 	  
22:30 31.01.2019 	 1,45 	 1,28 	 10 	 12 	 79 	 1015 	 -2,9 	  
22:20 31.01.2019 	 1,46 	 1,29 	 9 	 12 	 76 	 1015 	 -2,8 	  
22:10 31.01.2019 	 1,47 	 1,31 	 10 	 12 	 79 	 1015 	 -2,6 	  
22:00 31.01.2019 	 1,49 	 1,31 	 9 	 12 	 78 	 1015 	 -2,5 	  
21:50 31.01.2019 	 1,52 	 1,33 	 9 	 12 	 80 	 1015 	 -2,4 	  
21:40 31.01.2019 	 1,55 	 1,36 	 10 	 13 	 79 	 1015 	 -2,4 	  
21:30 31.01.2019 	 1,59 	 1,4 	 10 	 12 	 77 	 1015 	 -2,3 	  
21:20 31.01.2019 	 1,64 	 1,44 	 9 	 12 	 81 	 1015 	 -2,3 	  
21:10 31.01.2019 	 1,69 	 1,48 	 9 	 12 	 83 	 1015 	 -2,4 	  
21:00 31.01.2019 	 1,74 	 1,54 	 9 	 12 	 85 	 1014 	 -2,4 	  
20:50 31.01.2019 	 1,8 	 1,63 	 8 	 11 	 86 	 1014 	 -2,3 	  
20:40 31.01.2019 	 1,87 	 1,67 	 9 	 13 	 88 	 1014 	 -2,5 	  
20:30 31.01.2019 	 1,93 	 1,76 	 9 	 12 	 88 	 1014 	 -2,4 	  
20:20 31.01.2019 	 2 	 1,78 	 9 	 12 	 84 	 1014 	 -2,3 	  
20:10 31.01.2019 	 2,08 	 1,85 	 9 	 12 	 82 	 1014 	 -2,2 	  
20:00 31.01.2019 	 2,15 	 1,95 	 10 	 12 	 82 	 1014 	 -2,2 	  
19:50 31.01.2019 	 2,22 	 2,02 	 9 	 12 	 76 	 1014 	 -2,1 	  
19:40 31.01.2019 	 2,3 	 2,11 	 9 	 12 	 82 	 1014 	 -2,1 	  
19:30 31.01.2019 	 2,37 	 2,18 	 10 	 13 	 81 	 1014 	 -2 	  
19:20 31.01.2019 	 2,45 	 2,25 	 10 	 14 	 78 	 1014 	 -1,9 	  
19:10 31.01.2019 	 2,52 	 2,35 	 10 	 12 	 80 	 1014 	 -1,8 	  
19:00 31.01.2019 	 2,59 	 2,38 	 10 	 13 	 74 	 1014 	 -1,8 	  
18:50 31.01.2019 	 2,66 	 2,48 	 9 	 12 	 76 	 1014 	 -1,8 	  
18:40 31.01.2019 	 2,73 	 2,55 	 10 	 12 	 76 	 1014 	 -1,8 	  
18:30 31.01.2019 	 2,79 	 2,6 	 10 	 13 	 78 	 1014 	 -1,8 	  
18:20 31.01.2019 	 2,85 	 2,67 	 10 	 13 	 84 	 1013 	 -1,9 	  
18:10 31.01.2019 	 2,91 	 2,72 	 10 	 12 	 80 	 1013 	 -1,9 	  
18:00 31.01.2019 	 2,96 	 2,79 	 9 	 12 	 81 	 1013 	 -1,8 	  
17:50 31.01.2019 	 3,01 	 2,84 	 9 	 13 	 75 	 1013 	 -1,7 	  
17:40 31.01.2019 	 3,05 	 2,91 	 10 	 13 	 73 	 1013 	 -1,7 	  
17:30 31.01.2019 	 3,09 	 2,96 	 11 	 14 	 69 	 1013 	 -1,5 	  
17:20 31.01.2019 	 3,13 	 2,98 	 11 	 14 	 67 	 1013 	 -1,6 	  
17:10 31.01.2019 	 3,15 	 3,03 	 11 	 14 	 66 	 1013 	 -1,4 	  
17:00 31.01.2019 	 3,18 	 3,07 	 11 	 14 	 68 	 1013 	 -1,4 	  
16:50 31.01.2019 	 3,2 	 3,07 	 11 	 14 	 70 	 1012 	 -1,4 	  
16:40 31.01.2019 	 3,21 	 3,1 	 10 	 13 	 72 	 1012 	 -1,4 	  
16:30 31.01.2019 	 3,22 	 3,09 	 10 	 12 	 58 	 1012 	 -1,4 	  
16:20 31.01.2019 	 3,22 	 3,14 	 10 	 13 	 64 	 1012 	 -1,2 	  
16:10 31.01.2019 	 3,22 	 3,16 	 11 	 13 	 64 	 1012 	 -1,3 	  
16:00 31.01.2019 	 3,21 	 3,08 	 10 	 12 	 61 	 1012 	 -1,1 	  
15:50 31.01.2019 	 3,2 	 3,08 	 10 	 13 	 65 	 1012 	 -1,1 	  
15:40 31.01.2019 	 3,18 	 3,07 	 10 	 13 	 65 	 1012 	 -1,1 	  
15:30 31.01.2019 	 3,15 	 3,06 	 10 	 13 	 66 	 1012 	 -1,1 	  
15:20 31.01.2019 	 3,12 	 3,03 	 10 	 13 	 67 	 1012 	 -1,3 	  
15:10 31.01.2019 	 3,08 	 2,97 	 10 	 13 	 69 	 1012 	 -1,2 	  
15:00 31.01.2019 	 3,04 	 2,9 	 10 	 14 	 70 	 1012 	 -1,2 	  
14:50 31.01.2019 	 2,99 	 2,87 	 9 	 12 	 76 	 1012 	 -1,1 	  
14:40 31.01.2019 	 2,94 	 2,83 	 9 	 12 	 77 	 1011 	 -1,1 	  
14:30 31.01.2019 	 2,88 	 2,72 	 8 	 11 	 76 	 1011 	 -1,2 	  
14:20 31.01.2019 	 2,82 	 2,71 	 9 	 11 	 78 	 1011 	 -1,2 	  
14:10 31.01.2019 	 2,75 	 2,63 	 9 	 11 	 71 	 1011 	 -1,2 	  
14:00 31.01.2019 	 2,68 	 2,59 	 9 	 12 	 74 	 1011 	 -1,1 	  
13:50 31.01.2019 	 2,61 	 2,52 	 9 	 11 	 76 	 1011 	 -1,2 	  
13:40 31.01.2019 	 2,54 	 2,44 	 9 	 11 	 67 	 1011 	 -1,2 	  
13:30 31.01.2019 	 2,47 	 2,38 	 9 	 12 	 66 	 1011 	 -1,2 	  
13:20 31.01.2019 	 2,39 	 2,3 	 8 	 12 	 69 	 1011 	 -1,2 	  
13:10 31.01.2019 	 2,31 	 2,17 	 9 	 12 	 63 	 1011 	 -1,1 	  
13:00 31.01.2019 	 2,24 	 2,11 	 9 	 12 	 65 	 1011 	 -1,2 	  
12:50 31.01.2019 	 2,16 	 2,05 	 9 	 11 	 61 	 1011 	 -1,1 	  
12:40 31.01.2019 	 2,09 	 1,97 	 9 	 11 	 68 	 1011 	 -1,1 	  
12:30 31.01.2019 	 2,02 	 1,89 	 10 	 13 	 83 	 1011 	 -1,3 	  
12:20 31.01.2019 	 1,95 	 1,85 	 10 	 12 	 78 	 1011 	 -1,3 	  
12:10 31.01.2019 	 1,89 	 1,74 	 10 	 13 	 72 	 1011 	 -1,2 	  
12:00 31.01.2019 	 1,83 	 1,69 	 10 	 12 	 71 	 1011 	 -1,3 	  
11:50 31.01.2019 	 1,77 	 1,62 	 10 	 13 	 69 	 1011 	 -1,3 	  
11:40 31.01.2019 	 1,72 	 1,58 	 10 	 13 	 67 	 1011 	 -1,3 	  
11:30 31.01.2019 	 1,67 	 1,54 	 11 	 14 	 67 	 1011 	 -1,3 	  
11:20 31.01.2019 	 1,63 	 1,5 	 10 	 13 	 66 	 1011 	 -1,3 	  
11:10 31.01.2019 	 1,6 	 1,45 	 10 	 12 	 69 	 1010 	 -1,3 	  
11:00 31.01.2019 	 1,57 	 1,44 	 10 	 13 	 68 	 1010 	 -1,3 	  
10:50 31.01.2019 	 1,54 	 1,4 	 11 	 13 	 72 	 1010 	 -1,3 	  
10:40 31.01.2019 	 1,53 	 1,38 	 10 	 13 	 68 	 1010 	 -1,2 	  
10:30 31.01.2019 	 1,52 	 1,37 	 10 	 13 	 69 	 1010 	 -1,2 	  
10:20 31.01.2019 	 1,51 	 1,37 	 10 	 13 	 70 	 1010 	 -1,3 	  
10:10 31.01.2019 	 1,52 	 1,37 	 10 	 13 	 67 	 1010 	 -1,2 	  
10:00 31.01.2019 	 1,53 	 1,4 	 11 	 13 	 73 	 1010 	 -1,2 	  
09:50 31.01.2019 	 1,54 	 1,42 	 10 	 14 	 66 	 1010 	 -1,3 	  
09:40 31.01.2019 	 1,57 	 1,47 	 9 	 13 	 65 	 1010 	 -1,1 	  
09:30 31.01.2019 	 1,6 	 1,51 	 9 	 13 	 64 	 1009 	 -1,2 	  
09:20 31.01.2019 	 1,63 	 1,53 	 9 	 11 	 73 	 1009 	 -1,2 	  
09:10 31.01.2019 	 1,68 	 1,59 	 8 	 11 	 63 	 1009 	 -1,3 	  
09:00 31.01.2019 	 1,72 	 1,66 	 9 	 11 	 70 	 1009 	 -1,3 	  
08:50 31.01.2019 	 1,78 	 1,72 	 9 	 11 	 63 	 1009 	 -1,2 	  
08:40 31.01.2019 	 1,83 	 1,76 	 9 	 11 	 66 	 1009 	 -1,2 	  
08:30 31.01.2019 	 1,9 	 1,84 	 9 	 11 	 73 	 1009 	 -1,2 	  
08:20 31.01.2019 	 1,96 	 1,91 	 8 	 11 	 69 	 1009 	 -1,2 	  
08:10 31.01.2019 	 2,03 	 1,97 	 9 	 12 	 76 	 1009 	 -1,2 	  
08:00 31.01.2019 	 2,11 	 2,07 	 9 	 11 	 70 	 1009 	 -1,4 	  
07:50 31.01.2019 	 2,18 	 2,12 	 9 	 12 	 66 	 1009 	 -1,3 	  
07:40 31.01.2019 	 2,26 	 2,17 	 8 	 11 	 76 	 1009 	 -1,4 	  
07:30 31.01.2019 	 2,34 	 2,28 	 8 	 11 	 76 	 1009 	 -1,4 	  
07:20 31.01.2019 	 2,42 	 2,39 	 7 	 10 	 78 	 1009 	 -1,4 	  
07:10 31.01.2019 	 2,49 	 2,47 	 7 	 11 	 73 	 1008 	 -1,5 	  
07:00 31.01.2019 	 2,57 	 2,52 	 8 	 11 	 66 	 1008 	 -1,4 	  
06:50 31.01.2019 	 2,65 	 2,63 	 9 	 11 	 67 	 1008 	 -1,4 	  
06:40 31.01.2019 	 2,73 	 2,68 	 9 	 12 	 65 	 1008 	 -1,3 	  
06:30 31.01.2019 	 2,8 	 2,78 	 9 	 12 	 69 	 1008 	 -1,2 	  
06:20 31.01.2019 	 2,87 	 2,81 	 9 	 12 	 69 	 1008 	 -1,2 	  
06:10 31.01.2019 	 2,94 	 2,91 	 10 	 13 	 65 	 1008 	 -1,2 	  
06:00 31.01.2019 	 3 	 2,97 	 9 	 13 	 60 	 1008 	 -1,1 	  
05:50 31.01.2019 	 3,07 	 3,04 	 10 	 12 	 63 	 1008 	 -1,2 	  
05:40 31.01.2019 	 3,12 	 3,11 	 9 	 12 	 59 	 1008 	 -1,1 	  
05:30 31.01.2019 	 3,18 	 3,14 	 9 	 12 	 60 	 1008 	 -1,2 	  
05:20 31.01.2019 	 3,22 	 3,18 	 10 	 12 	 65 	 1008 	 -1,2 	  
05:10 31.01.2019 	 3,27 	 3,24 	 10 	 13 	 68 	 1008 	 -1,1 	  
05:00 31.01.2019 	 3,31 	 3,29 	 10 	 12 	 63 	 1008 	 -1,2 	  
04:50 31.01.2019 	 3,34 	 3,33 	 10 	 13 	 70 	 1008 	 -1 	  
04:40 31.01.2019 	 3,37 	 3,38 	 10 	 14 	 70 	 1008 	 -1,1 	  
04:30 31.01.2019 	 3,39 	 3,37 	 10 	 14 	 62 	 1008 	 -1,2 	  
04:20 31.01.2019 	 3,41 	 3,39 	 10 	 13 	 64 	 1007 	 -1,1 	  
04:10 31.01.2019 	 3,42 	 3,39 	 10 	 14 	 66 	 1007 	 -1,1 	  
04:00 31.01.2019 	 3,42 	 3,42 	 11 	 14 	 66 	 1007 	 -1,1 	  
03:50 31.01.2019 	 3,42 	 3,37 	 10 	 14 	 61 	 1007 	 -1,1 	  
03:40 31.01.2019 	 3,41 	 3,35 	 10 	 14 	 67 	 1007 	 -1,4 	  
03:30 31.01.2019 	 3,4 	 3,36 	 10 	 13 	 68 	 1007 	 -1,3 	  
03:20 31.01.2019 	 3,38 	 3,32 	 10 	 13 	 68 	 1007 	 -1,1 	  
03:10 31.01.2019 	 3,36 	 3,3 	 10 	 12 	 72 	 1007 	 -1,3 	  
03:00 31.01.2019 	 3,33 	 3,27 	 9 	 11 	 72 	 1007 	 -1,2 	  
02:50 31.01.2019 	 3,29 	 3,21 	 9 	 11 	 68 	 1007 	 -1,3 	  
02:40 31.01.2019 	 3,25 	 3,2 	 9 	 12 	 73 	 1007 	 -1,1 	  
02:30 31.01.2019 	 3,2 	 3,11 	 7 	 10 	 85 	 1007 	 -1,1 	  
02:20 31.01.2019 	 3,15 	 3,05 	 6 	 8 	 97 	 1007 	 -1,5 	  
02:10 31.01.2019 	 3,1 	 3 	 8 	 12 	 87 	 1007 	 -1,4 	  
02:00 31.01.2019 	 3,03 	 2,93 	 9 	 13 	 78 	 1007 	 -1,2 	  
01:50 31.01.2019 	 2,97 	 2,86 	 10 	 14 	 78 	 1007 	 -0,9 	  
01:40 31.01.2019 	 2,9 	 2,78 	 9 	 12 	 79 	 1007 	 -1,1 	  
01:30 31.01.2019 	 2,83 	 2,73 	 9 	 12 	 85 	 1007 	 -1,3 	  
01:20 31.01.2019 	 2,76 	 2,66 	 9 	 13 	 81 	 1007 	 -1,2 	  
01:10 31.01.2019 	 2,68 	 2,62 	 10 	 13 	 82 	 1007 	 -1,6 	  
01:00 31.01.2019 	 2,61 	 2,54 	 10 	 13 	 78 	 1007 	 -1,2 	  
00:50 31.01.2019 	 2,53 	 2,46 	 11 	 14 	 75 	 1007 	 -1,2 	  
00:40 31.01.2019 	 2,45 	 2,4 	 11 	 14 	 76 	 1006 	 -1,3 	  
00:30 31.01.2019 	 2,37 	 2,35 	 12 	 15 	 69 	 1006 	 -1,2 	  
00:20 31.01.2019 	 2,3 	 2,24 	 11 	 15 	 70 	 1006 	 -1,3 	  
00:10 31.01.2019 	 2,22 	 2,15 	 11 	 14 	 63 	 1006 	 -1,6 	  
00:00 31.01.2019 	 2,15 	 2,1 	 11 	 13 	 63 	 1006 	 -1,5 	  
23:50 30.01.2019 	 2,08 	 2,01 	 11 	 15 	 62 	 1006 	 -1,4 	  
23:40 30.01.2019 	 2,01 	 1,93 	 11 	 15 	 67 	 1006 	 -1,1 	  
23:30 30.01.2019 	 1,94 	 1,87 	 10 	 14 	 63 	 1006 	 -1 	  
23:20 30.01.2019 	 1,88 	 1,81 	 10 	 15 	 57 	 1006 	 -1,3 	  
23:10 30.01.2019 	 1,82 	 1,75 	 10 	 14 	 61 	 1006 	 -1,3 	  
23:00 30.01.2019 	 1,77 	 1,69 	 10 	 14 	 62 	 1006 	 -1,5 	  
22:50 30.01.2019 	 1,72 	 1,66 	 9 	 13 	 68 	 1006 	 -1,7 	  
22:40 30.01.2019 	 1,68 	 1,63 	 9 	 12 	 59 	 1006 	 -1,8 	  
