X,Y,Nafn,Rekstur,Umsjón,Eigandi
-20.115354874199312,63.530866496588523,Landeyjahöfn,Já,mogt,Vegagerðin
-21.371904036175096,63.860271190534185,Þorlákshöfn,Já,mogt,Þorlákshöfn
-21.937832041585448,64.152468771324436,Rvk. Miðbakki,Já,mogt,Faxaflóahafnir
-21.774922153799601,64.358931197538723,Grundartangi,Já,mogt,FaxaflóahafnirL
-22.42253939279707,63.839605100003787,Grindavík,Já,mogt,Grindavík
-22.716380374186294,64.039043864864539,Sandgerði,Já,mogt,Sandgerði
-23.70181830456459,64.897482778318448,Ólafsvík,Já,mogt,Snæfellsbær
-24.00547478443864,65.59826187640202,Patreksfjörður,Nei,?,?
-23.1310233504975,66.067444594711432,Ísafjörður,Já,vista,Ísafjörður
-20.316569923861202,65.82531057027569,Skagaströnd,Já,mogt,Skagaströnd
-17.351054160755279,66.045831169488636,Húsavík,Já,mogt,Húsavík
-14.115873424562983,65.027137764264083,Reyðarfjörður-Mjóeyri,Já,mogt,Fjarðabyggð
-15.188768055398928,64.230853009775387,Hornafjörður-Hvanney,Já,mogt,Hornafjörður
-15.203768150058318,64.24967420087502,Hornafjörður-Höfn,Já,mogt,Hornafjörður
-20.275013492757775,63.445441082768987,Vestmannaeyjar,Já,mogt,Vestmannaeyjabær
-21.961607199598536,64.067114919948082,Hafnarfjarðarhöfn,Já,vista,Hafnarfjörður
-22.04196863169183,64.045685378775062,Straumsvík,?,vista,Hafnarfjörður
-22.079985584243573,64.313754296857951,Akraneshöfn,Já,mogt,Faxaflóahafnir
-21.853644287546992,64.15107535422554,Skarfagarður,Já,mogt,Faxaflóahafnir
-21.773945285820673,65.111390988907331,Búðardalur,Nei,vista,?
-22.725040089390262,65.079126162106661,Stykkishólmur,Nei,?,
-18.522496191754623,65.97336056368718,Dalvík,Nei,?,Dalvík
